Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions,Detection Result,Correction Result
"Sa sa kuwento ni Cata Tibayan sa ""Dapat Alam Mo!"".","Sa kuwento ni Cata Tibayan sa ""Dapat Alam Mo!"".","Sa sa kuwento ni carta Tibayan sa ""Dapat Alam Mo!"".",['Cata'],"{'Cata': ['ata', 'bata', 'carta', 'casa', 'cat']}",TP,FN
"Inilunsad ng pinakamalaking multi-channel payment platform sa Pilipinas ang ??Bayad Asenso?? na isang makabago at madaling pamamaraan pa ra umangat ang kita ng mga micro-entrepreneur, na bumubuo sa siyam sa bawat 10 negosyanteng Pilipino.","Inilunsad ng pinakamalaking multi-channel payment platform sa Pilipinas ang ??Bayad Asenso?? na isang makabago at madaling pamamaraan para umangat ang kita ng mga micro-entrepreneur, na bumubuo sa siyam sa bawat 10 negosyanteng Pilipino.","Inilunsad ng pinakamalaking multi-channel payment platform sa Pilipinas ang ??Bayad Asenso?? na isang makabago at maraling pamamaraan pa ra umangat ang kita ng mga micro-entrepreneur, na bumubuo sa siyam sa bawat ag negosyanteng Pilipino.",['10'],"{'10': ['ab', 'ad', 'ag', 'ah', 'ak']}",TP,FN
"Sumama ang host ng programang ""Born To Be Wild"" na si Doc Nielsen Donato, sa grupo ng mga mangingisda na pumalaot sa Tablas upang manghuli ng dalupapa na tinatayang nasa 300 metro sa sa kailaliman ng dagat.","Sumama ang host ng programang ""Born To Be Wild"" na si Doc Nielsen Donato, sa grupo ng mga mangingisda na pumalaot sa Tablas upang manghuli ng dalupapa na tinatayang nasa 300 metro sa kailaliman ng dagat.","Sumama ang host ng programang ""Born To Be Wild"" na si docu helen binato, sa grupo ng mga mangingisda na pumalaot sa tablan upang manghuli ng dalupani na tinatayang nasa aam metro sa sa kailaliman ng dagat.","['Doc', 'Nielsen', 'Donato', 'Tablas', 'dalupapa', '300']","{'Doc': ['do', 'dock', 'docu', 'dog', 'doh'], 'Nielsen': ['diease', 'diesel', 'helen', 'kitsen', 'newsmen'], 'Donato': ['donat', 'donate', 'binato', 'bonito', 'dato'], 'Tablas': ['tabas', 'tabla', 'tablan', 'tablaw', 'tablay'], 'dalupapa': ['alipapa', 'dalupang', 'dalupani', 'talipapa', 'alipala'], '300': ['aag', 'aal', 'aam', 'aat', 'aaw']}",TP,FN
"So kung talagang gusto niyang makipag-usap kay kay Presidente, dapat hindi muna niya inuna ang media, ani Roque.","So kung talagang gusto niyang makipag-usap kay Presidente, dapat hindi muna niya inuna ang media, ani Roque.","So kung talagang gusto niyang makipag-usap kay kay Presidente, dapat hindi muna niya inuna ang media, ani Roque.",[],{},FN,FN
Bago bago dominahin ang Singapore ay yumukod muna ang koponan sa host Vietnam.,Bago dominahin ang Singapore ay yumukod muna ang koponan sa host Vietnam.,Bago bago dominahin ang Singapore ay yumukod muna ang koponan sa host Vietnam.,[],{},FN,FN
"Nang magdalaga na si Jennifer, pinakilala nito ang kan yang manliligaw kay Elaine.","Nang magdalaga na si Jennifer, pinakilala nito ang kanyang manliligaw kay Elaine.","Nang magdalaga na si banner, kinikilala nito ang kan yang manliligaw kay engine.","['Jennifer', 'pinakilala', 'Elaine']","{'Jennifer': ['dinifer', 'banlider', 'banner', 'center', 'consider'], 'pinakilala': ['ipinakilala', 'ipakilala', 'kinikilala', 'nakilala', 'pinaalala'], 'Elaine': ['elise', 'elite', 'engine', 'examine', 'lainer']}",TP,FN
"Hindi na umabot ng buhay sa Bondoc Peninsula District Hospital ( BPDH) dahil sa pagkabasag ng mga bungo at at grabeng pinsala sa mga katawan ang mga biktimang sina Jasper Dela Pena, 26; at Marvin Toledo, 30, kapwa may live in partner at mga empleyado ng lending investor residente ng Barangay Progreso, Gumaca ng lalawigan.","Hindi na umabot ng buhay sa Bondoc Peninsula District Hospital ( BPDH) dahil sa pagkabasag ng mga bungo at grabeng pinsala sa mga katawan ang mga biktimang sina Jasper Dela Pena, 26; at Marvin Toledo, 30, kapwa may live in partner at mga empleyado ng lending investor residente ng Barangay Progreso, Gumaca ng lalawigan.","Hindi na umabot ng buhay sa bonded Peninsula District Hospital ( bdo) dahil sa pagkabasag ng mga bungo at at grabeng pinsala sa mga katawan ang mga biktimang sina easier Dela Pena, ag; at mariin solido, ag, kapwa may live in partner at mga empleyado ng lending investor residente ng Barangay Progreso, gumana ng lalawigan.","['Bondoc', 'BPDH', 'Jasper', '26', 'Marvin', 'Toledo', '30', 'Gumaca']","{'Bondoc': ['bando', 'bond', 'bonded', 'bonds', 'bono'], 'BPDH': ['apdo', 'bad', 'bdo', 'bed', 'beds'], 'Jasper': ['bamper', 'daster', 'easier', 'haspe', 'jester'], '26': ['ab', 'ad', 'ag', 'ah', 'ak'], 'Marvin': ['margin', 'marhin', 'mariin', 'aariin', 'ariin'], 'Toledo': ['bolero', 'oleo', 'solido', 'todo', 'told'], '30': ['ab', 'ad', 'ag', 'ah', 'ak'], 'Gumaca': ['gumaga', 'gumala', 'gumana', 'gumawa', 'gumaya']}",TP,FN
"Paalala pa ni De Guia, hindi laruang laruang sekswal ang mga babae sa panahon ng eleksyon para makakuha ng boto mula sa madla bilang gimik.","Paalala pa ni De Guia, hindi laruang sekswal ang mga babae sa panahon ng eleksyon para makakuha ng boto mula sa madla bilang gimik.","Paalala pa ni De gura, hindi laruang laruang sekswal ang mga babae sa panahon ng eleksyon para makakuha ng boto mula sa mala bilang gimik.","['Guia', 'marla']","{'Guia': ['gia', 'gula', 'gura', 'guya', 'aguha'], 'marla': ['madla', 'magla', 'mala', 'mara', 'marka']}",TP,FN
Nawala si Cone sa huling apat na naglalaro ng Gin Kings dahil sa pagiging miyembro ng coaching staff ng Miami Heat sa NBA Summer League.,Nawala si Cone sa huling apat na laro ng Gin Kings dahil sa pagiging miyembro ng coaching staff ng Miami Heat sa NBA Summer League.,Nawala si Cone sa huling apat na naglalaro ng Gin rings dahil sa pagiging miyembro ng coaching staff ng bami Heat sa iba Summer League.,"['Kings', 'Miami', 'NBA']","{'Kings': ['king', 'kinis', 'rings', 'wings', 'aing'], 'Miami': ['mami', 'ami', 'bami', 'cami', 'dami'], 'NBA': ['aba', 'ba', 'iba', 'na', 'naa']}",TP,FN
Kinilala ang mga nasawing sina Jocelyn Nombre; Gemma Espinosa; Michael Espinosa; at ang anim na taong gulang na bata na hindi na pinangalanan na pinaniniwalaang tatlong araw nang mga patay bago ito marespondehan ng mga pulis nang magreport ang mga kaanak.,Kinilala ang mga nasawing sina Jocelyn Nombre; Gemma Espinosa; Michael Espinosa; at ang anim na taong gulang na bata na hindi na pinangalanan na pinaniniwalaang tatlong araw nang mga patay bago ito marespondehan ng mga pulis nang mag-report ang mga kaanak.,Kinilala ang mga nasawing sina ocean pobre; demya esposa; Michael esposa; at ang anim na taong gulang na bata na hindi na pinangalanan na pinaniniwalaang tatlong araw nang mga patay bago ito marespondehan ng mga pulis nang magreport ang mga kaanak.,"['Jocelyn', 'Nombre', 'Gemma', 'Espinosa', 'Espinosa']","{'Jocelyn': ['botelya', 'jockey', 'ocean', 'bodily', 'bokilya'], 'Nombre': ['kobre', 'noble', 'pobre', 'sobre', 'sombra'], 'Gemma': ['comma', 'dedma', 'demya', 'derma', 'geim'], 'Espinosa': ['espina', 'espinaka', 'esposa', 'epidota', 'eskina']}",TP,FN
Ipinaliwanag ni Abalos na ang kasalukuyang ECQ ay iba sa mga dinaratnan pagpapairal nito dahil ngayon ay may vaccination program na patuloy na isinasagawa na umabot na hanggang sa A5 categories o indigent population.,Ipinaliwanag ni Abalos na ang kasalukuyang ECQ ay iba sa mga dating pagpapairal nito dahil ngayon ay may vaccination program na patuloy na isinasagawa na umabot na hanggang sa A5 categories o indigent population.,Ipinaliwanag ni Abalos na ang kasalukuyang ECQ ay iba sa mga daratnan pagpapairal nito dahil ngayon ay may vaccination program na patuloy na isinasagawa na umabot na hanggang sa ag categories o indigent population.,"['dinaratnan', 'A5']","{'dinaratnan': ['dinadatnan', 'dinaraanan', 'daratnan', 'dinaanan', 'dinadaanan'], 'A5': ['ab', 'ad', 'ag', 'ah', 'ak']}",TP,FN
"Yung pang karaniwang mamamayan, huli na naman.","Yung pangkaraniwang mamamayan, huli na naman.","Yung pang karaniwang mamamayan, huli na naman.",[],{},FN,FN
Karamihan aniya sa mga bahay na nasunog sa lugar ay pag-aari ng mga tribong inilikas matapos ang nagdaang sunud-sunod na lindol sa sa probinsya.,Karamihan aniya sa mga bahay na nasunog sa lugar ay pag-aari ng mga tribong inilikas matapos ang nagdaang sunud-sunod na lindol sa probinsya.,Karamihan aniya sa mga bahay na nasunog sa lugar ay pag-aari ng mga tribong inilikas matapos ang nagdaang sunud-sunod na lindol sa sa probinsya.,[],{},FN,FN
Nabanggit din ni Rocco na may listahan na sila ng ma giging ninong at ninang ni Baby N.,Nabanggit din ni Rocco na may listahan na sila ng magiging ninong at ninang ni Baby N.,Nabanggit din ni rolyo na may listahan na sila ng ma giging ninong at ninang ni Baby N.,['Rocco'],"{'Rocco': ['coco', 'rock', 'rolyo', 'roo', 'socio']}",TP,FN
"Mahilig lang ako sa seafood pero wala akong alam sa business side, pagamin niya.","Mahilig lang ako sa seafood pero wala akong alam sa business side, pag-amin niya.","Mahilig lang ako sa seafood pero wala akong alam sa business side, pagatin niya.",['pagamin'],"{'pagamin': ['agamin', 'pagamit', 'pagatin', 'aagarin', 'aagawin']}",TP,FN
Kung ganyan ang ratings mo mukhang puwedeng papanatilihin ni Gabby ang isang young image at ngayong nagpaturo pa nga raw itong magTikTok sa kanyang naging leading lady na si Sanya Lopez.,Kung ganyan ang ratings mo mukhang puwedeng papanatilihin ni Gabby ang isang young image at ngayong nagpaturo pa nga raw itong mag-TikTok sa kanyang naging leading lady na si Sanya Lopez.,Kung ganyan ang ratings mo mukhang puwedeng papanatilihin ni aaboy ang isang young image at ngayong nagpaturo pa nga raw itong magtitik sa kanyang naging leading lady na si manya lone.,"['Gabby', 'magTikTok', 'Sanya', 'Lopez']","{'Gabby': ['gabay', 'aabay', 'aaboy', 'abay', 'aboy'], 'magTikTok': ['magtiklop', 'magtikom', 'magtitik', 'magtutok', 'pagtuktok'], 'Sanya': ['anya', 'kanya', 'manya', 'panya', 'sadya'], 'Lopez': ['hope', 'leper', 'lone', 'lopoy', 'lose']}",TP,FN
Dumami ang mga tao na nagtutungo sa bahay nina Abdul at Noraisa mula nang magviral ang video ng kanilang anak na sinasabing nakauupo na raw mag-isa at nakapagsasalita na.,Dumami ang mga tao na nagtutungo sa bahay nina Abdul at Noraisa mula nang mag-viral ang video ng kanilang anak na sinasabing nakauupo na raw mag-isa at nakapagsasalita na.,Dumami ang mga tao na nagtutungo sa bahay nina abril at brasa mula nang magpairal ang video ng kanilang anak na sinasabing nakauupo na raw mag-isa at nakapagsasalita na.,"['Abdul', 'Noraisa', 'magviral']","{'Abdul': ['abduct', 'about', 'abril', 'abut', 'abuy'], 'Noraisa': ['nakaisa', 'baisa', 'brasa', 'corals', 'daragsa'], 'magviral': ['nagviral', 'maghirap', 'magpairal', 'magpira', 'magtira']}",TP,FN
Simula pa kagabi ay bugbog sarado na ang TV host-actress sa mga nakapanood ng viral video kung saan makikitang pinahiran niya ng chocolate cake sa mukha ang waiter sa kanyang harapan.,Simula pa kagabi ay bugbog-sarado na ang TV host-actress sa mga nakapanood ng viral video kung saan makikitang pinahiran niya ng chocolate cake sa mukha ang waiter sa kanyang harapan.,Simula pa kagabi ay bugbog sarado na ang TV host-actress sa mga nakapanood ng viral video kung saan makikitang pinahiran niya ng chocolate cake sa mukha ang waiter sa kanyang harapan.,[],{},FN,FN
Tiniyak ng kasalukuyang BOC leadership na magpapatuloy ang kanilang anti smuggling operations sa susunod na administrasyon.,Tiniyak ng kasalukuyang BOC leadership na magpapatuloy ang kanilang anti-smuggling operations sa susunod na administrasyon.,Tiniyak ng kasalukuyang bog leadership na magpapatuloy ang kanilang anti smuggling operations sa susunod na administrasyon.,['BOC'],"{'BOC': ['bloc', 'bo', 'bog', 'bot', 'bow']}",TP,FN
May social distancing si si Yan sa mga kasama niya sa TVC.,May social distancing si Yan sa mga kasama niya sa TVC.,May social distancing si si Yan sa mga kasama niya sa c.,['TVC'],"{'TVC': ['tic', 'tv', 'c', 'cc', 'csc']}",TP,FN
"Kung hindi lang dahil sa coronavirus coronavirus pandemic, babalik daw sana siyang muli sa Pilipinas.","Kung hindi lang dahil sa coronavirus pandemic, babalik daw sana siyang muli sa Pilipinas.","Kung hindi lang dahil sa coronavirus coronavirus pandemic, babalik daw sana siyang muli sa Pilipinas.",[],{},FN,FN
"Fu dahil anuman ang marating niya, at least naging ba hagi kami ng growth niya.","Fu dahil anuman ang marating niya, at least naging bahagi kami ng growth niya.","Fu dahil anuman ang marating niya, at least naging ba hagip kami ng growth niya.",['hagi'],"{'hagi': ['habi', 'haga', 'hagip', 'hagis', 'hali']}",TP,FN
Naninindigan ang kanyang kampo na panay bogus ang mga-reklamong ito.,Naninindigan ang kanyang kampo na panay bogus ang mga reklamong ito.,Naninindigan ang kanyang kampo na panay bogus ang mga-reklamong ito.,[],{},FN,FN
"Pagtawanan mo o hindi, hindi mo alam ang sakit, iyak at mga dugo na pinagdaanan ko bago ako nagkaroon ng confidence na buong buo ko i post ito, kumpisal niya.","Pagtawanan mo o hindi, hindi mo alam ang sakit, iyak at mga dugo na pinagdaanan ko bago ako nagkaroon ng confidence na buong buo ko i-post ito, kumpisal niya.","Pagtawanan mo o hindi, hindi mo alam ang sakit, iyak at mga dugo na pinagdaanan ko bago ako nagkaroon ng confidence na buong buo ko i post ito, kumisay niya.",['kumpisal'],"{'kumpisal': ['ikumpisal', 'kumisap', 'kumisay', 'kumiwal', 'kumpasan']}",TP,FN
"Siyempre kung magsisimula na ulit ang kanyang mga taping at s hooting, matatabi na naman ang pagga-ganchillo niya.","Siyempre kung magsisimula na ulit ang kanyang mga taping at shooting, matatabi na naman ang pagga-ganchillo niya.","Siyempre kung magsisimula na ulit ang kanyang mga taping at s booking, matatali na naman ang paga-anilyo niya.","['hooting', 'matatabi', 'pagga', 'ganchillo']","{'hooting': ['footing', 'shooting', 'booking', 'boosting', 'cooking'], 'matatabi': ['magtatabi', 'matataba', 'matatali', 'itatabi', 'magkatabi'], 'pagga': ['magga', 'paaga', 'paga', 'pagba', 'pagda'], 'ganchillo': ['gansilyo', 'gantsilyo', 'anilyo', 'chill', 'chills']}",TP,FN
"So nung nagsabi niya na ipalaglag ko, sabi ko ayoko.","So nung sinabi niya na ipalaglag ko, sabi ko ayoko.","So nung nagsabi niya na ipalaglag ko, sabi ko ayoko.",[],{},FN,FN
Pero bakit nga ba may mga baby na katulad ni Mark na isinisilang na na ubod nang laki?,Pero bakit nga ba may mga baby na katulad ni Mark na isinisilang na ubod nang laki?,Pero bakit nga ba may mga baby na katulad ni Mark na isinisilang na na ubod nang laki?,[],{},FN,FN
"Kaugnay nito, kinumpirma rin ng alkalde na dahil sa biglaang pagtaas ng mga aktibong kaso ng COVID-19, ang kanilang mga pagamutan ay nagooperate na ngayon ng lampas sa kanilang kapasidad.Napipilitan.","Kaugnay nito, kinumpirma rin ng alkalde na dahil sa biglaang pagtaas ng mga aktibong kaso ng COVID-19, ang kanilang mga pagamutan ay nag-ooperate na ngayon ng lampas sa kanilang kapasidad.Napipilitan.","Kaugnay nito, kinumpirma rin ng alkalde na dahil sa biglaang pagtaas ng mga aktibong kaso ng COVID-ag, ang kanilang mga pagamutan ay nagooperate na ngayon ng lampas sa kanilang kapasidad.Napipilitan.",['19'],"{'19': ['ab', 'ad', 'ag', 'ah', 'ak']}",TP,FN
"Dahil sa kanyang mga pangarap, e, ginagawa niya ang lahat lahat!","Dahil sa kanyang mga pangarap, e, ginagawa niya ang lahat-lahat!","Dahil sa kanyang mga pangarap, e, ginagawa niya ang lahat lahat!",[],{},FN,FN
"Ayun ang analogy niya sa bumuhay ng tao, kaya nung bata ako gusto ko maging pari.","Ayun ang analogy niya sa buhay ng tao, kaya nung bata ako gusto ko maging pari.","Ayun ang apology niya sa bumuhay ng tao, kaya nung bata ako gusto ko maging pari.",['analogy'],"{'analogy': ['analog', 'aalog', 'apology', 'inalog', 'aaboy']}",TP,FN
Magaan sa kalooban na tumatanggap ng mga magulang ang pagdadalang-tao ni Winwyn.,Magaan sa kalooban na tinanggap ng mga magulang ang pagdadalang-tao ni Winwyn.,Magaan sa kalooban na tumatanggap ng mga magulang ang pagdadalang-tao ni binayo.,['Winwyn'],"{'Winwyn': ['binaon', 'binay', 'binayo', 'binbin', 'binwit']}",TP,FN
Ikinatwiran ng DOH na ito ay dahil sa backlogs o kabagalan ng pag-uulat ng mga lokal na unit bago pumasok sa kanilang COVIDKaya system kaya nagkakapatung patong ang mga numero.,Ikinatwiran ng DOH na ito ay dahil sa backlogs o kabagalan ng pag-uulat ng mga lokal na unit bago pumasok sa kanilang COVIDKaya system kaya nagkakapatung-patong ang mga numero.,Ikinatwiran ng DOH na ito ay dahil sa backlogs o kabagalan ng pag-uulat ng mga lokal na unit bago pumasok sa kanilang holiday system kaya nagkakapatung patong ang mga numero.,['COVIDKaya'],"{'COVIDKaya': ['botikarya', 'covid', 'holiday', 'holidays', 'tokaya']}",TP,FN
"Sa ulat ni Rod Vega sa Super Radyo dzBB nitong Biyernes, sinabi ni MPD-SMaRT chief Police Colonel Rosalino Ibay, na nagsagawa sila ng follow-up follow-up operation matapos na malaman na sangkot din si Altamirano sa ilegal na droga.","Sa ulat ni Rod Vega sa Super Radyo dzBB nitong Biyernes, sinabi ni MPD-SMaRT chief Police Colonel Rosalino Ibay, na nagsagawa sila ng follow-up operation matapos na malaman na sangkot din si Altamirano sa ilegal na droga.","Sa ulat ni rad vera sa Super Radyo dzBB nitong Biyernes, sinabi ni mud-SMaRT chief Police Colonel aasaling Ibay, na nagsagawa sila ng follow-up follow-up operation matapos na malaman na sangkot din si aamihan sa ilegal na droga.","['Rod', 'Vega', 'MPD', 'Rosalino', 'Altamirano']","{'Rod': ['brod', 'prod', 'rad', 'red', 'ro'], 'Vega': ['mega', 'nega', 'vera', 'aga', 'amga'], 'MPD': ['med', 'mid', 'mud', 'ad', 'add'], 'Rosalino': ['rosario', 'aasalin', 'aasaling', 'asalin', 'asaling'], 'Altamirano': ['lamiran', 'lamirang', 'aamihan', 'aamihang', 'alaman']}",TP,FN
"Ayon sa ulat ng Unang Balita nitong Huwbes, batay sa follow up report ng GMA Regional TV One Mindanao, nagsasagawa pa rin ng search and rescue operation ang mga awtoridad upang hanapin ang biktima na kinilalang si Melham Ibrahim.","Ayon sa ulat ng Unang Balita nitong Huwbes, batay sa follow-up report ng GMA Regional TV One Mindanao, nagsasagawa pa rin ng search and rescue operation ang mga awtoridad upang hanapin ang biktima na kinilalang si Melham Ibrahim.","Ayon sa ulat ng Unang Balita nitong hombes, batay sa follow up report ng gia Regional TV One Mindanao, nagsasagawa pa rin ng search and rescue operation ang mga awtoridad upang hanapin ang biktima na kinilalang si aalam abahin.","['Huwbes', 'GMA', 'Melham', 'Ibrahim']","{'Huwbes': ['huwebes', 'huwes', 'hombes', 'hubs', 'Huwebes'], 'GMA': ['ama', 'ga', 'gia', 'goma', 'gra'], 'Melham': ['mecha', 'mulhay', 'aalam', 'agham', 'alam'], 'Ibrahim': ['ibahin', 'librahin', 'abahin', 'bahid', 'bahin']}",TP,FN
Maghuhubad ng kapitan ang kaniyang mataas na katungkulan at itinuring ang kaniyang sarili na isang ordinaryong tao.,Hinubad ng kapitan ang kaniyang mataas na katungkulan at itinuring ang kaniyang sarili na isang ordinaryong tao.,Maghuhubad ng kapitan ang kaniyang mataas na katungkulan at itinuring ang kaniyang sarili na isang ordinaryong tao.,[],{},FN,FN
Nakuha ng mga pulis sa crime-scene ang dalawang basyo ng bala ng kalibre 45 at M16 armalite rifle.,Nakuha ng mga pulis sa crime scene ang dalawang basyo ng bala ng kalibre 45 at M16 armalite rifle.,Nakuha ng mga pulis sa crime-scene ang dalawang basyo ng bala ng kalibre ag at maa armalite rifle.,"['45', 'M16']","{'45': ['ab', 'ad', 'ag', 'ah', 'ak'], 'M16': ['m', 'ma', 'maa', 'mae', 'mag']}",TP,FN
"7, ayon sa pagka kasunod.","7, ayon sa pagkakasunod.","d, ayon sa pagka kasunod.",['7'],"{'7': ['b', 'c', 'd', 'e', 'f']}",TP,FN
Subalit nangangailangan ni So na dumaan sa butas ng karayom bago makuha ang kampeonato.,Subalit kinailangan ni So na dumaan sa butas ng karayom bago makuha ang kampeonato.,Subalit nangangailangan ni So na dumaan sa butas ng karayom bago makuha ang kampeonato.,[],{},FN,FN
"Base sa imbestigasyon ng mga-awtoridad, iniwasan ng truck ang isang motorsiklong lumipat sa kanilang lane.","Base sa imbestigasyon ng mga awtoridad, iniwasan ng truck ang isang motorsiklong lumipat sa kanilang lane.","Base sa imbestigasyon ng mga-awtoridad, iniwasan ng truck ang isang motorsiklong lumipat sa kanilang lane.",[],{},FN,FN
"Nakikipag usap na ang Pilipinas sa Russia para bumili ng gasolina at iba pang pangunahing bilihin, ayon kay Pangulong Ferdinand Marcos Jr.","Nakikipag-usap na ang Pilipinas sa Russia para bumili ng gasolina at iba pang pangunahing bilihin, ayon kay Pangulong Ferdinand Marcos Jr.","Nakikipag usap na ang Pilipinas sa bassic para bumili ng gasolina at iba pang pangunahing bilihin, ayon kay Pangulong Ferdinand Marcos Jr.",['Russia'],"{'Russia': ['bussa', 'rustika', 'bassic', 'buhia', 'bulsa']}",TP,FN
