Sentence No, Expected, Actual,Detection Result, Expected, Actual,Correction Result
93,0,1,FP,0,1,FP
94,1,1,TP,1,0,FN
95,0,0,TN,0,0,TN
96,1,0,FN,1,0,FN
97,0,0,TN,0,0,TN
98,1,1,TP,1,0,FN
99,1,1,TP,1,1,TP
100,0,0,TN,0,0,TN
101,0,1,FP,0,1,FP
102,1,0,FN,1,0,FN
103,0,0,TN,0,0,TN
104,1,1,TP,1,1,TP
105,0,1,FP,0,1,FP
106,0,1,FP,0,1,FP
107,0,1,FP,0,1,FP
108,0,0,TN,0,0,TN
109,1,1,TP,1,0,FN
110,0,0,TN,0,0,TN
111,0,1,FP,0,1,FP
112,0,0,TN,0,0,TN
113,1,1,TP,1,1,TP
114,0,0,TN,0,0,TN
115,1,1,TP,1,0,FN
116,1,0,FN,1,0,FN
117,1,1,TP,1,0,FN
118,1,1,TP,1,1,TP
119,0,1,FP,0,1,FP
120,1,0,FN,1,0,FN
121,0,0,TN,0,0,TN
122,1,0,FN,1,0,FN
123,0,1,FP,0,1,FP
124,1,1,TP,1,1,TP
125,1,1,TP,1,0,FN
126,0,1,FP,0,1,FP
127,0,1,FP,0,1,FP
128,1,1,TP,1,1,TP
129,0,0,TN,0,0,TN
130,0,0,TN,0,0,TN
131,0,1,FP,0,1,FP
132,0,0,TN,0,0,TN
133,1,1,TP,1,1,TP
134,1,1,TP,1,1,TP
135,0,1,FP,0,1,FP
136,1,1,TP,1,1,TP
137,1,1,TP,1,0,FN
138,1,1,TP,1,0,FN
139,1,1,TP,1,1,TP
140,1,1,TP,1,0,FN
141,1,1,TP,1,1,TP
142,1,1,TP,1,0,FN
143,0,1,FP,0,1,FP
144,1,0,FN,1,0,FN
145,0,0,TN,0,0,TN
146,0,0,TN,0,0,TN
147,0,0,TN,0,0,TN
148,1,1,TP,1,0,FN
149,0,0,TN,0,0,TN
150,1,0,FN,1,0,FN
151,0,1,FP,0,1,FP
152,1,1,TP,1,0,FN
153,1,1,TP,1,1,TP
154,1,0,FN,1,0,FN
155,0,0,TN,0,0,TN
156,1,1,TP,1,1,TP
157,1,0,FN,1,0,FN
158,0,1,FP,0,1,FP
159,1,1,TP,1,1,TP
160,0,0,TN,0,0,TN
161,0,1,FP,0,1,FP
162,0,0,TN,0,0,TN
163,0,1,FP,0,1,FP
164,0,1,FP,0,1,FP
165,0,0,TN,0,0,TN
166,0,1,FP,0,1,FP
167,1,0,FN,1,0,FN
168,0,1,FP,0,1,FP
169,1,0,FN,1,0,FN
170,1,0,FN,1,0,FN
171,1,0,FN,1,0,FN
172,1,1,TP,1,1,TP
173,1,1,TP,1,0,FN
174,1,1,TP,1,1,TP
175,1,1,TP,1,1,TP
176,1,0,FN,1,0,FN
177,1,1,TP,1,1,TP
178,1,1,TP,1,1,TP
179,0,0,TN,0,0,TN
180,0,1,FP,0,1,FP
181,1,1,TP,1,1,TP
182,0,1,FP,0,1,FP
183,1,0,FN,1,0,FN
184,0,1,FP,0,1,FP
185,0,0,TN,0,0,TN
186,1,1,TP,1,0,FN
187,1,0,FN,1,0,FN
188,1,0,FN,1,0,FN
189,0,0,TN,0,0,TN
190,0,0,TN,0,0,TN
191,0,0,TN,0,0,TN
192,0,0,TN,0,0,TN
193,0,1,FP,0,1,FP
194,1,1,TP,1,0,FN
195,1,1,TP,1,0,FN
196,1,0,FN,1,0,FN
197,1,0,FN,1,0,FN
198,1,1,TP,1,0,FN
199,0,1,FP,0,1,FP
200,1,1,TP,1,0,FN
201,1,1,TP,1,1,TP
202,0,1,FP,0,1,FP
203,0,1,FP,0,1,FP
204,0,1,FP,0,1,FP
205,0,0,TN,0,0,TN
206,0,1,FP,0,1,FP
207,1,1,TP,1,0,FN
208,0,0,TN,0,0,TN
209,1,1,TP,1,1,TP
210,0,0,TN,0,0,TN
211,1,1,TP,1,1,TP
212,1,1,TP,1,0,FN
213,0,0,TN,0,0,TN
214,0,0,TN,0,0,TN
215,0,1,FP,0,1,FP
216,1,0,FN,1,0,FN
217,0,1,FP,0,1,FP
218,1,1,TP,1,0,FN
219,0,0,TN,0,0,TN
220,0,1,FP,0,1,FP
221,1,0,FN,1,0,FN
222,0,1,FP,0,1,FP
223,0,0,TN,0,0,TN
224,1,1,TP,1,1,TP
225,0,0,TN,0,0,TN
226,1,1,TP,1,1,TP
227,0,1,FP,0,1,FP
228,1,0,FN,1,0,FN
229,0,0,TN,0,0,TN
230,0,1,FP,0,1,FP
231,1,0,FN,1,0,FN
232,1,1,TP,1,1,TP
233,1,1,TP,1,1,TP
234,0,1,FP,0,1,FP
235,1,1,TP,1,1,TP
236,1,1,TP,1,1,TP
237,1,1,TP,1,0,FN
238,0,0,TN,0,0,TN
239,1,1,TP,1,0,FN
240,1,0,FN,1,0,FN
241,1,1,TP,1,1,TP
242,1,1,TP,1,0,FN
243,0,1,FP,0,1,FP
244,0,0,TN,0,0,TN
245,1,0,FN,1,0,FN
246,1,1,TP,1,0,FN
247,1,0,FN,1,0,FN
248,1,1,TP,1,0,FN
249,1,1,TP,1,0,FN
250,1,0,FN,1,0,FN
251,1,1,TP,1,0,FN
252,1,1,TP,1,1,TP
253,0,0,TN,0,0,TN
254,0,0,TN,0,0,TN
255,1,0,FN,1,0,FN
256,1,0,FN,1,0,FN
257,0,1,FP,0,1,FP
258,0,0,TN,0,0,TN
259,0,0,TN,0,0,TN
260,1,1,TP,1,1,TP
261,0,1,FP,0,1,FP
262,1,1,TP,1,1,TP
263,1,1,TP,1,0,FN
264,1,1,TP,1,1,TP
265,1,0,FN,1,0,FN
266,0,0,TN,0,0,TN
267,0,0,TN,0,0,TN
268,1,0,FN,1,0,FN
269,0,1,FP,0,1,FP
270,1,0,FN,1,0,FN
271,1,1,TP,1,1,TP
272,1,1,TP,1,0,FN
273,0,0,TN,0,0,TN
274,1,1,TP,1,0,FN
275,0,1,FP,0,1,FP
276,1,1,TP,1,1,TP
277,1,1,TP,1,0,FN
278,0,1,FP,0,1,FP
279,1,1,TP,1,0,FN
280,0,0,TN,0,0,TN
281,0,1,FP,0,1,FP
282,0,0,TN,0,0,TN
283,1,1,TP,1,0,FN
284,1,0,FN,1,0,FN
285,1,1,TP,1,0,FN
286,0,1,FP,0,1,FP
287,1,0,FN,1,0,FN
288,1,1,TP,1,1,TP
289,1,1,TP,1,0,FN
290,0,0,TN,0,0,TN
291,0,0,TN,0,0,TN
292,0,0,TN,0,0,TN
293,0,1,FP,0,1,FP
294,1,1,TP,1,1,TP
295,1,0,FN,1,0,FN
296,1,1,TP,1,1,TP
297,0,0,TN,0,0,TN
298,1,0,FN,1,0,FN
299,1,1,TP,1,1,TP
300,1,1,TP,1,0,FN
301,0,1,FP,0,1,FP
302,1,0,FN,1,0,FN
303,1,1,TP,1,1,TP
304,1,0,FN,1,0,FN
305,0,0,TN,0,0,TN
306,0,0,TN,0,0,TN
307,1,0,FN,1,0,FN
308,0,1,FP,0,1,FP
309,0,0,TN,0,0,TN
310,0,1,FP,0,1,FP
311,0,1,FP,0,1,FP
312,0,1,FP,0,1,FP
313,0,1,FP,0,1,FP
314,0,1,FP,0,1,FP
315,1,1,TP,1,1,TP
316,1,1,TP,1,1,TP
317,1,1,TP,1,0,FN
318,1,0,FN,1,0,FN
319,0,1,FP,0,1,FP
320,1,1,TP,1,0,FN
321,1,1,TP,1,0,FN
322,1,1,TP,1,0,FN
323,1,0,FN,1,0,FN
324,0,1,FP,0,1,FP
325,0,0,TN,0,0,TN
326,0,1,FP,0,1,FP
327,1,0,FN,1,0,FN
328,1,1,TP,1,1,TP
329,0,1,FP,0,1,FP
330,1,1,TP,1,0,FN
331,0,1,FP,0,1,FP
332,1,0,FN,1,0,FN
333,0,1,FP,0,1,FP
334,0,1,FP,0,1,FP
335,1,1,TP,1,1,TP
336,1,0,FN,1,0,FN
337,0,1,FP,0,1,FP
338,0,1,FP,0,1,FP
339,0,0,TN,0,0,TN
340,0,1,FP,0,1,FP
341,1,1,TP,1,1,TP
342,1,0,FN,1,0,FN
343,1,1,TP,1,0,FN
344,1,1,TP,1,0,FN
345,1,0,FN,1,0,FN
346,1,0,FN,1,0,FN
347,0,1,FP,0,1,FP
348,0,0,TN,0,0,TN
349,1,1,TP,1,0,FN
350,0,0,TN,0,0,TN
351,1,1,TP,1,0,FN
352,1,1,TP,1,1,TP
353,0,0,TN,0,0,TN
354,1,1,TP,1,1,TP
355,1,0,FN,1,0,FN
356,1,1,TP,1,0,FN
357,1,0,FN,1,0,FN
358,1,0,FN,1,0,FN
359,1,0,FN,1,0,FN
360,1,1,TP,1,0,FN
361,1,0,FN,1,0,FN
362,0,1,FP,0,1,FP
363,1,1,TP,1,0,FN
364,1,1,TP,1,1,TP
365,1,1,TP,1,0,FN
366,1,1,TP,1,1,TP
367,0,0,TN,0,0,TN
368,1,1,TP,1,0,FN
369,1,0,FN,1,0,FN
370,0,0,TN,0,0,TN
371,1,1,TP,1,0,FN
372,0,1,FP,0,1,FP
373,1,1,TP,1,0,FN
374,1,1,TP,1,0,FN
375,1,1,TP,1,1,TP
376,0,0,TN,0,0,TN
377,1,1,TP,1,1,TP
378,1,1,TP,1,0,FN
379,0,0,TN,0,0,TN
380,0,0,TN,0,0,TN
381,1,1,TP,1,0,FN
382,1,1,TP,1,0,FN
383,0,0,TN,0,0,TN
384,1,1,TP,1,0,FN
385,1,1,TP,1,0,FN
386,0,0,TN,0,0,TN
387,1,1,TP,1,1,TP
388,1,1,TP,1,0,FN
389,1,1,TP,1,1,TP
390,0,0,TN,0,0,TN
391,1,1,TP,1,0,FN
392,1,1,TP,1,1,TP
393,0,1,FP,0,1,FP
394,1,1,TP,1,0,FN
395,0,1,FP,0,1,FP
396,1,1,TP,1,1,TP
397,1,0,FN,1,0,FN
398,1,0,FN,1,0,FN
399,0,0,TN,0,0,TN
400,1,1,TP,1,1,TP
401,1,1,TP,1,1,TP
402,1,1,TP,1,1,TP
403,0,1,FP,0,1,FP
404,0,1,FP,0,1,FP
405,0,1,FP,0,1,FP
406,0,1,FP,0,1,FP
407,0,0,TN,0,0,TN
408,1,0,FN,1,0,FN
409,1,1,TP,1,1,TP
410,0,1,FP,0,1,FP
411,0,1,FP,0,1,FP
412,0,0,TN,0,0,TN
413,0,0,TN,0,0,TN
414,1,1,TP,1,1,TP
415,0,0,TN,0,0,TN
416,0,1,FP,0,1,FP
417,0,1,FP,0,1,FP
418,0,0,TN,0,0,TN
419,0,1,FP,0,1,FP
420,1,1,TP,1,1,TP
421,1,1,TP,1,1,TP
422,0,1,FP,0,1,FP
423,1,1,TP,1,1,TP
424,0,1,FP,0,1,FP
425,1,0,FN,1,0,FN
426,1,0,FN,1,0,FN
427,1,1,TP,1,0,FN
428,1,1,TP,1,1,TP
429,0,1,FP,0,1,FP
430,1,1,TP,1,1,TP
431,1,0,FN,1,0,FN
432,1,0,FN,1,0,FN
433,1,0,FN,1,0,FN
434,1,1,TP,1,1,TP
435,1,1,TP,1,1,TP
436,1,1,TP,1,1,TP
437,1,1,TP,1,0,FN
438,1,0,FN,1,0,FN
439,0,0,TN,0,0,TN
440,0,1,FP,0,1,FP
441,1,1,TP,1,0,FN
442,0,1,FP,0,1,FP
443,0,0,TN,0,0,TN
444,0,1,FP,0,1,FP
445,0,1,FP,0,1,FP
446,0,1,FP,0,1,FP
447,0,1,FP,0,1,FP
448,1,1,TP,1,0,FN
449,0,1,FP,0,1,FP
450,0,1,FP,0,1,FP
451,0,1,FP,0,1,FP
452,0,0,TN,0,0,TN
453,1,0,FN,1,0,FN
454,1,1,TP,1,0,FN
455,1,1,TP,1,0,FN
456,0,1,FP,0,1,FP
457,0,0,TN,0,0,TN
458,0,1,FP,0,1,FP
459,1,0,FN,1,0,FN
460,1,0,FN,1,0,FN
461,1,1,TP,1,0,FN
462,1,1,TP,1,0,FN
463,0,1,FP,0,1,FP
464,0,0,TN,0,0,TN
465,1,0,FN,1,0,FN
466,1,1,TP,1,0,FN
467,1,1,TP,1,0,FN
468,1,0,FN,1,0,FN
469,0,1,FP,0,1,FP
470,1,1,TP,1,1,TP
471,1,0,FN,1,0,FN
472,1,1,TP,1,0,FN
473,0,0,TN,0,0,TN
474,1,1,TP,1,0,FN
475,1,0,FN,1,0,FN
476,1,1,TP,1,1,TP
477,0,0,TN,0,0,TN
478,0,0,TN,0,0,TN
479,0,1,FP,0,1,FP
480,0,1,FP,0,1,FP
481,0,1,FP,0,1,FP
482,1,1,TP,1,0,FN
483,1,1,TP,1,1,TP
484,1,0,FN,1,0,FN
485,0,1,FP,0,1,FP
486,1,1,TP,1,1,TP
487,1,1,TP,1,1,TP
488,1,0,FN,1,0,FN
489,1,1,TP,1,0,FN
490,1,1,TP,1,1,TP
491,0,0,TN,0,0,TN
492,0,1,FP,0,1,FP
493,0,0,TN,0,0,TN
494,1,1,TP,1,0,FN
495,1,0,FN,1,0,FN
496,1,1,TP,1,0,FN
497,1,1,TP,1,1,TP
498,1,0,FN,1,0,FN
499,0,0,TN,0,0,TN
500,0,0,TN,0,0,TN
501,0,1,FP,0,1,FP
502,1,1,TP,1,0,FN
503,1,0,FN,1,0,FN
504,0,0,TN,0,0,TN
505,0,0,TN,0,0,TN
506,0,0,TN,0,0,TN
507,0,1,FP,0,1,FP
508,1,0,FN,1,0,FN
509,0,0,TN,0,0,TN
510,0,0,TN,0,0,TN
511,1,1,TP,1,1,TP
512,0,1,FP,0,1,FP
513,1,0,FN,1,0,FN
514,1,1,TP,1,1,TP
515,1,0,FN,1,0,FN
516,0,0,TN,0,0,TN
517,1,1,TP,1,0,FN
518,1,1,TP,1,0,FN
519,1,1,TP,1,1,TP
520,1,1,TP,1,1,TP
521,1,0,FN,1,0,FN
522,0,1,FP,0,1,FP
523,0,0,TN,0,0,TN
524,1,0,FN,1,0,FN
525,1,0,FN,1,0,FN
526,0,1,FP,0,1,FP
527,0,0,TN,0,0,TN
528,1,1,TP,1,0,FN
529,0,1,FP,0,1,FP
530,1,1,TP,1,0,FN
531,0,1,FP,0,1,FP
532,1,1,TP,1,1,TP
533,0,1,FP,0,1,FP
534,1,0,FN,1,0,FN
535,0,0,TN,0,0,TN
536,1,0,FN,1,0,FN
537,1,1,TP,1,0,FN
538,1,1,TP,1,0,FN
539,0,1,FP,0,1,FP
540,1,1,TP,1,1,TP
541,1,1,TP,1,0,FN
542,1,1,TP,1,1,TP
543,1,1,TP,1,0,FN
544,1,1,TP,1,1,TP
545,1,1,TP,1,0,FN
546,0,0,TN,0,0,TN
547,0,1,FP,0,1,FP
548,0,0,TN,0,0,TN
549,0,1,FP,0,1,FP
550,1,1,TP,1,0,FN
551,1,1,TP,1,0,FN
552,1,1,TP,1,1,TP
553,0,1,FP,0,1,FP
554,1,1,TP,1,1,TP
555,0,0,TN,0,0,TN
556,0,0,TN,0,0,TN
557,1,0,FN,1,0,FN
558,1,1,TP,1,1,TP
559,1,1,TP,1,1,TP
560,1,0,FN,1,0,FN
561,1,1,TP,1,0,FN
562,1,1,TP,1,1,TP
563,0,0,TN,0,0,TN
564,0,1,FP,0,1,FP
565,1,1,TP,1,1,TP
566,1,1,TP,1,1,TP
567,0,1,FP,0,1,FP
568,1,0,FN,1,0,FN
569,1,0,FN,1,0,FN
570,0,0,TN,0,0,TN
571,1,1,TP,1,0,FN
572,1,1,TP,1,0,FN
573,0,0,TN,0,0,TN
574,1,1,TP,1,1,TP
575,1,0,FN,1,0,FN
576,0,0,TN,0,0,TN
577,1,1,TP,1,0,FN
578,1,1,TP,1,1,TP
579,1,0,FN,1,0,FN
580,0,1,FP,0,1,FP
581,1,0,FN,1,0,FN
582,1,1,TP,1,1,TP
583,0,0,TN,0,0,TN
584,0,0,TN,0,0,TN
585,0,0,TN,0,0,TN
586,1,0,FN,1,0,FN
587,0,1,FP,0,1,FP
588,0,1,FP,0,1,FP
589,1,1,TP,1,1,TP
590,1,1,TP,1,0,FN
591,1,1,TP,1,0,FN
592,0,0,TN,0,0,TN
593,0,1,FP,0,1,FP
594,0,0,TN,0,0,TN
595,0,0,TN,0,0,TN
596,1,1,TP,1,0,FN
597,1,0,FN,1,0,FN
598,0,1,FP,0,1,FP
599,0,1,FP,0,1,FP
600,0,0,TN,0,0,TN
601,1,1,TP,1,1,TP
602,1,1,TP,1,0,FN
603,1,0,FN,1,0,FN
604,1,1,TP,1,1,TP
605,0,1,FP,0,1,FP
606,0,0,TN,0,0,TN
607,1,1,TP,1,0,FN
608,1,1,TP,1,0,FN
609,0,1,FP,0,1,FP
610,0,1,FP,0,1,FP
611,1,1,TP,1,0,FN
612,1,0,FN,1,0,FN
613,0,0,TN,0,0,TN
614,0,1,FP,0,1,FP
615,0,1,FP,0,1,FP
616,0,1,FP,0,1,FP
617,1,1,TP,1,1,TP
618,0,1,FP,0,1,FP
619,1,1,TP,1,1,TP
620,1,1,TP,1,1,TP
621,0,0,TN,0,0,TN
622,1,1,TP,1,0,FN
623,0,0,TN,0,0,TN
624,1,1,TP,1,0,FN
625,1,1,TP,1,1,TP
626,0,1,FP,0,1,FP
627,1,1,TP,1,1,TP
628,0,0,TN,0,0,TN
629,0,0,TN,0,0,TN
630,0,1,FP,0,1,FP
631,0,0,TN,0,0,TN
632,1,1,TP,1,1,TP
633,1,0,FN,1,0,FN
634,0,1,FP,0,1,FP
635,0,0,TN,0,0,TN
636,1,1,TP,1,0,FN
637,1,1,TP,1,1,TP
638,0,0,TN,0,0,TN
639,1,0,FN,1,0,FN
640,0,0,TN,0,0,TN
641,1,0,FN,1,0,FN
642,1,1,TP,1,0,FN
643,1,1,TP,1,1,TP
644,0,0,TN,0,0,TN
645,1,0,FN,1,0,FN
646,1,1,TP,1,1,TP
647,0,0,TN,0,0,TN
648,0,0,TN,0,0,TN
649,0,1,FP,0,1,FP
650,0,0,TN,0,0,TN
651,1,1,TP,1,0,FN
652,0,0,TN,0,0,TN
653,0,0,TN,0,0,TN
654,0,1,FP,0,1,FP
655,0,0,TN,0,0,TN
656,0,0,TN,0,0,TN
657,0,1,FP,0,1,FP
658,0,0,TN,0,0,TN
659,1,1,TP,1,0,FN
660,0,0,TN,0,0,TN
661,1,1,TP,1,0,FN
662,0,0,TN,0,0,TN
663,1,1,TP,1,1,TP
664,0,0,TN,0,0,TN
665,1,1,TP,1,0,FN
666,1,1,TP,1,0,FN
667,0,1,FP,0,1,FP
668,1,1,TP,1,0,FN
669,1,0,FN,1,0,FN
670,1,0,FN,1,0,FN
671,0,0,TN,0,0,TN
672,0,1,FP,0,1,FP
673,0,0,TN,0,0,TN
674,0,1,FP,0,1,FP
675,1,1,TP,1,0,FN
676,1,1,TP,1,1,TP
677,1,1,TP,1,0,FN
678,1,0,FN,1,0,FN
679,0,0,TN,0,0,TN
680,1,1,TP,1,0,FN
681,0,1,FP,0,1,FP
682,0,0,TN,0,0,TN
683,0,0,TN,0,0,TN
684,1,1,TP,1,1,TP
685,0,0,TN,0,0,TN
686,1,1,TP,1,1,TP
687,1,1,TP,1,1,TP
688,0,1,FP,0,1,FP
689,1,1,TP,1,1,TP
690,1,0,FN,1,0,FN
691,0,0,TN,0,0,TN
692,0,1,FP,0,1,FP
693,0,1,FP,0,1,FP
694,0,1,FP,0,1,FP
695,0,0,TN,0,0,TN
696,1,1,TP,1,1,TP
697,0,1,FP,0,1,FP
698,1,0,FN,1,0,FN
699,1,0,FN,1,0,FN
700,1,1,TP,1,0,FN
701,0,0,TN,0,0,TN
702,0,1,FP,0,1,FP
703,0,0,TN,0,0,TN
704,0,1,FP,0,1,FP
705,0,0,TN,0,0,TN
706,1,1,TP,1,1,TP
707,1,1,TP,1,0,FN
708,1,1,TP,1,0,FN
709,0,1,FP,0,1,FP
710,0,0,TN,0,0,TN
711,0,0,TN,0,0,TN
712,0,1,FP,0,1,FP
713,1,0,FN,1,0,FN
714,1,1,TP,1,1,TP
715,1,0,FN,1,0,FN
716,1,1,TP,1,0,FN
717,1,1,TP,1,0,FN
718,0,0,TN,0,0,TN
719,0,1,FP,0,1,FP
720,1,1,TP,1,0,FN
721,0,0,TN,0,0,TN
722,1,1,TP,1,0,FN
723,0,1,FP,0,1,FP
724,1,1,TP,1,1,TP
725,1,0,FN,1,0,FN
726,1,0,FN,1,0,FN
727,1,1,TP,1,0,FN
728,1,1,TP,1,0,FN
729,1,1,TP,1,0,FN
730,1,0,FN,1,0,FN
731,1,1,TP,1,0,FN
732,1,0,FN,1,0,FN
733,0,0,TN,0,0,TN
734,0,0,TN,0,0,TN
735,0,0,TN,0,0,TN
736,0,0,TN,0,0,TN
737,0,0,TN,0,0,TN
738,1,1,TP,1,0,FN
739,0,1,FP,0,1,FP
740,1,0,FN,1,0,FN
741,0,0,TN,0,0,TN
742,0,0,TN,0,0,TN
743,0,1,FP,0,1,FP
744,0,0,TN,0,0,TN
745,1,1,TP,1,0,FN
746,0,1,FP,0,1,FP
747,0,0,TN,0,0,TN
748,0,0,TN,0,0,TN
749,0,0,TN,0,0,TN
750,0,0,TN,0,0,TN
751,0,1,FP,0,1,FP
752,0,0,TN,0,0,TN
753,0,0,TN,0,0,TN
754,1,0,FN,1,0,FN
755,0,0,TN,0,0,TN
756,0,1,FP,0,1,FP
757,1,1,TP,1,1,TP
758,0,0,TN,0,0,TN
759,1,0,FN,1,0,FN
760,1,1,TP,1,1,TP
761,1,1,TP,1,0,FN
762,0,1,FP,0,1,FP
763,1,1,TP,1,0,FN
764,0,0,TN,0,0,TN
765,0,1,FP,0,1,FP
766,0,1,FP,0,1,FP
767,1,0,FN,1,0,FN
768,1,1,TP,1,1,TP
769,0,0,TN,0,0,TN
770,1,1,TP,1,0,FN
771,0,0,TN,0,0,TN
772,0,1,FP,0,1,FP
773,1,0,FN,1,0,FN
774,0,1,FP,0,1,FP
775,1,0,FN,1,0,FN
776,0,0,TN,0,0,TN
777,0,1,FP,0,1,FP
778,1,0,FN,1,0,FN
779,1,1,TP,1,1,TP
780,0,0,TN,0,0,TN
781,0,1,FP,0,1,FP
782,0,1,FP,0,1,FP
783,1,0,FN,1,0,FN
784,1,0,FN,1,0,FN
785,1,0,FN,1,0,FN
786,1,1,TP,1,0,FN
787,0,0,TN,0,0,TN
788,0,0,TN,0,0,TN
789,1,1,TP,1,1,TP
790,1,0,FN,1,0,FN
791,0,1,FP,0,1,FP
792,0,1,FP,0,1,FP
793,1,1,TP,1,1,TP
794,0,0,TN,0,0,TN
795,0,0,TN,0,0,TN
796,0,1,FP,0,1,FP
797,0,0,TN,0,0,TN
798,0,0,TN,0,0,TN
799,0,1,FP,0,1,FP
800,0,0,TN,0,0,TN
801,0,1,FP,0,1,FP
802,0,0,TN,0,0,TN
803,0,1,FP,0,1,FP
804,0,0,TN,0,0,TN
805,1,1,TP,1,0,FN
806,1,1,TP,1,0,FN
807,0,1,FP,0,1,FP
808,1,1,TP,1,0,FN
809,0,1,FP,0,1,FP
810,1,1,TP,1,1,TP
811,0,1,FP,0,1,FP
812,1,1,TP,1,0,FN
813,0,1,FP,0,1,FP
814,0,0,TN,0,0,TN
815,0,0,TN,0,0,TN
816,0,0,TN,0,0,TN
817,0,0,TN,0,0,TN
818,0,1,FP,0,1,FP
819,1,1,TP,1,0,FN
820,0,1,FP,0,1,FP
821,1,1,TP,1,0,FN
822,0,0,TN,0,0,TN
823,0,1,FP,0,1,FP
824,0,1,FP,0,1,FP
825,1,1,TP,1,1,TP
826,0,1,FP,0,1,FP
827,0,0,TN,0,0,TN
828,1,1,TP,1,0,FN
829,1,0,FN,1,0,FN
830,0,0,TN,0,0,TN
831,1,0,FN,1,0,FN
832,0,0,TN,0,0,TN
833,0,0,TN,0,0,TN
834,1,1,TP,1,0,FN
835,1,1,TP,1,1,TP
836,0,0,TN,0,0,TN
837,0,1,FP,0,1,FP
838,0,0,TN,0,0,TN
839,0,1,FP,0,1,FP
840,0,0,TN,0,0,TN
841,0,1,FP,0,1,FP
842,0,1,FP,0,1,FP
843,0,1,FP,0,1,FP
844,1,1,TP,1,0,FN
845,0,0,TN,0,0,TN
846,0,1,FP,0,1,FP
847,0,1,FP,0,1,FP
848,1,0,FN,1,0,FN
849,0,1,FP,0,1,FP
850,1,1,TP,1,1,TP
851,1,1,TP,1,1,TP
852,0,0,TN,0,0,TN
853,0,0,TN,0,0,TN
854,1,1,TP,1,0,FN
855,1,1,TP,1,0,FN
856,1,1,TP,1,1,TP
857,0,0,TN,0,0,TN
858,1,1,TP,1,0,FN
859,1,1,TP,1,1,TP
860,0,0,TN,0,0,TN
861,1,0,FN,1,0,FN
862,1,0,FN,1,0,FN
863,1,0,FN,1,0,FN
864,0,1,FP,0,1,FP
865,1,0,FN,1,0,FN
866,0,1,FP,0,1,FP
867,1,1,TP,1,1,TP
868,1,1,TP,1,0,FN
869,1,1,TP,1,1,TP
870,1,1,TP,1,1,TP
