Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions,Detection Result,Correction Result
"Kung susundin ito, nagsasabi ni Panelo na: (u)nahin dapat ng pamahalaan ang mga PWD, kasama ang children with disabilities (CWD), dahil meron silang mga pasanin na hindi nararanasan ng karamihan sa atin.","Kung susundin ito, sinabi ni Panelo na: (u)nahin dapat ng pamahalaan ang mga PWD, kasama ang children with disabilities (CWD), dahil meron silang mga pasanin na hindi nararanasan ng karamihan sa atin.","Kung susundin ito, nagsasabi ni panels na: (u)inahin dapat ng pamahalaan ang mga add, kasama ang children with disabilities (add), dahil meron silang mga pasanin na hindi nararanasan ng karamihan sa atin.","['Panelo', 'nahin', 'PWD', 'CWD']","{'Panelo': ['panalo', 'panel', 'panels', 'anglo', 'danilo'], 'nahin': ['ahin', 'bahin', 'inahin', 'nakin', 'namin'], 'PWD': ['pad', 'ad', 'add', 'aid', 'amd'], 'CWD': ['acid', 'ad', 'add', 'aid', 'amd']}",TP,FN
Wala pang eksaktong petsa kung kailan itinuloy ang qualifying event ngunit posible itong ganapin sa Mayo o sa Hunyo bago ang Tokyo Olympics sa Hulyo.,Wala pang eksaktong petsa kung kailan itutuloy ang qualifying event ngunit posible itong ganapin sa Mayo o sa Hunyo bago ang Tokyo Olympics sa Hulyo.,Wala pang eksaktong petsa kung kailan itutuloy ang qualifying event ngunit posible itong ganapin sa Mayo o sa Hunyo bago ang Tokyo Olympics sa Hulyo.,[],{},TP,TP
"Nandito pa rin siya, humaharap pa rin sa mga camera at maraming trabaho, pero talagang iwas na iwas na siya sa pagpunta sa parlor.","Nandito pa rin siya, humaharap pa rin sa mga camera at maraming trabaho, pero talagang iwas na iwas na siya sa pagpunta sa parlor.","Nandito pa rin siya, humaharap pa rin sa mga camera at maraming trabaho, pero talagang iwas na iwas na siya sa pagpunta sa parlor.",[],{},TN,TN
Kabilang din sa features nito ang lighting panel na puwedeng baguhin ang tema depende sa mood ng gumagamit.,Kabilang din sa features nito ang lighting panel na puwedeng baguhin ang tema depende sa mood ng gumagamit.,Kabilang din sa features nito ang lighting panel na puwedeng baguhin ang tema depende sa mood ng gumagamit.,[],{},TN,TN
Sanay magkaroon saysay ang kanyang salapi para sa kanyang paggaling.,Sanay magkaroon ng saysay ang kanyang salapi para sa kanyang paggaling.,Sanay magkaroon saysay ang kanyang salapi para sa kanyang paggaling.,[],{},FN,FN
"Kaugnay nito dalawa ang nadakip sa isinagawang-operasyon na kinilalang sina Bryan Salceda, 26, construction worker at Jerome Gaje, 27, kapwa ng Pasay City.","Kaugnay nito dalawa ang nadakip sa isinagawang operasyon na kinilalang sina Bryan Salceda, 26, construction worker at Jerome Gaje, 27, kapwa ng Pasay City.","Kaugnay nito dalawa ang dinarakip sa isinagawang-operasyon na kinilalang sina apyan amyeda, ag, construction worker at aroma game, ag, kapwa ng panay City.","['narakip', 'Bryan', 'Salceda', '26', 'Jerome', 'Gaje', '27', 'Pasay']","{'narakip': ['nadakip', 'dadakip', 'dinarakip', 'kalakip', 'madakip'], 'Bryan': ['bayan', 'abayan', 'apyan', 'arian', 'arya'], 'Salceda': ['salida', 'salted', 'amyeda', 'balada', 'balda'], '26': ['ab', 'ad', 'ag', 'ah', 'ak'], 'Jerome': ['become', 'genome', 'aroma', 'became', 'before'], 'Gaje': ['gabe', 'gale', 'game', 'gate', 'gave'], '27': ['ab', 'ad', 'ag', 'ah', 'ak'], 'Pasay': ['pakay', 'palay', 'panay', 'pasa', 'pasag']}",TP,FN
Maya-maya ay itinutok ng suspek sa biktima ang hawak nitong improvised 12 gauge shot gun saka binaril na tumama lahat sa dibdib nito.,Maya-maya ay itinutok ng suspek sa biktima ang hawak nitong improvised 12 gauge shot gun saka binaril na tumama lahat sa dibdib nito.,Maya-maya ay itinutok ng suspek sa biktima ang hawak nitong improvised ag gauge shot gun saka binaril na tumama lahat sa dibdib nito.,['12'],"{'12': ['ab', 'ad', 'ag', 'ah', 'ak']}",FP,FP
Nilinaw naman na hindi nila pinipigilan ang mga walang bakuna na magtrabaho dahil puwede pa din silang pumasok sa kanilang mga workplace.,Nilinaw naman na hindi nila pinipigilan ang mga walang bakuna na magtrabaho dahil puwede pa rin silang pumasok sa kanilang mga workplace.,Nilinaw naman na hindi nila pinipigilan ang mga walang bakuna na magtrabaho dahil puwede pa rin silang pumasok sa kanilang mga workplace.,[],{},TP,TP
"Sa sandaling makita ng investor ang kanilang investments-at kinita, mas naeengganyo ang mga investor na dagdagan ang kanilang investment.","Sa sandaling makita ng investor ang kanilang investments at kinita, mas naeengganyo ang mga investor na dagdagan ang kanilang investment.","Sa sandaling makita ng investor ang kanilang investments-at kinita, mas naeengganyo ang mga investor na dagdagan ang kanilang investment.",[],{},FN,FN
Noong u na ay ayoslangnaman.,Noong una ay ayoslangnaman.,Noong u na ay alinlanganan.,['ayoslangnaman'],"{'ayoslangnaman': ['aalanganan', 'alanganan', 'alinlanganan', 'aalagaan', 'aalangan']}",TP,FN
Sinabi ni Zamora na hindi dahilan ang pan-demya upang mahadla-ngan ang kanilang misyon na mabigyan ang mga mag-aaral sa lungsod ng de kalidad na edukasyon.,Sinabi ni Zamora na hindi dahilan ang pan-demya upang mahadla-ngan ang kanilang misyon na mabigyan ang mga mag-aaral sa lungsod ng de kalidad na edukasyon.,Sinabi ni damira na hindi dahilan ang pan-demya upang kahala-ngan ang kanilang misyon na mabigyan ang mga mag-aaral sa lungsod ng de kalidad na edukasyon.,"['Zamora', 'mahadla']","{'Zamora': ['amor', 'camera', 'damira', 'kamara', 'kamera'], 'mahadla': ['mahabla', 'bahala', 'kahala', 'maaadwa', 'maaadya']}",FP,FP
Doon pa lang nakatunog ang caller na si Kuya Wil ang kausap niya pagkaraan ng mahaba nilang pag-uusap.,Doon pa lang nakatunog ang caller na si Kuya Wil ang kausap niya pagkaraan ng mahaba nilang pag-uusap.,Doon pa lang nakatunog ang caller na si Kuya il ang kausap niya pagkaraan ng mahaba nilang pag-uusap.,['Wil'],"{'Wil': ['bil', 'hil', 'il', 'kil', 'mil']}",FP,FP
Inaalam na ng mga kapulisan ang posibleng pagkakakilanlan sa mga magulang ng sanggol.,Inaalam na ng mga kapulisan ang posibleng pagkakakilanlan sa mga magulang ng sanggol.,Inaalam na ng mga kapulisan ang posibleng pagkakakilanlan sa mga magulang ng sanggol.,[],{},TN,TN
Pinakiusapan na daw niya ang babae noon na itigil na ang ginagawa pero hindi raw ito nakinig.,Pinakiusapan na raw niya ang babae noon na itigil na ang ginagawa pero hindi raw ito nakinig.,Pinakiusapan na raw niya ang babae noon na itigil na ang ginagawa pero hindi raw ito nakinig.,[],{},TP,TP
"Pangalawa, kulang ng vaccinators sa mga-probinsiya.","Pangalawa, kulang ng vaccinators sa mga probinsiya.","Pangalawa, kulang ng vaccinators sa mga-probinsiya.",[],{},FN,FN
"Konektado rin ang mga suspek sa empleyado ng Smartmatic na si Ricardo Argana, na pinaghahanap ng National Bureau of Investigation (NBI) na una nang sumuko subalit tinaguan na, saad pa ni Mancao.","Konektado rin ang mga suspek sa empleyado ng Smartmatic na si Ricardo Argana, na pinaghahanap ng National Bureau of Investigation (NBI) na una nang sumuko subalit nagtatago na, saad pa ni Mancao.","Konektado rin ang mga suspek sa empleyado ng automatic na si bikaryo agang, na pinaghahanap ng National Bureau of Investigation (nabi) na una nang sumuko subalit tinayuan na, saad pa ni macho.","['Smartmatic', 'Ricardo', 'Argana', 'NBI', 'tinaguan', 'Mancao']","{'Smartmatic': ['aromatic', 'magmatic', 'automatic', 'charismatic', 'dramatic'], 'Ricardo': ['richard', 'rikado', 'bikaryo', 'binaro', 'card'], 'Argana': ['adwana', 'agan', 'agang', 'agata', 'andana'], 'NBI': ['bi', 'ibi', 'nabi', 'nai', 'nbg'], 'tinaguan': ['tinagusan', 'tinanguan', 'tinayuan', 'binaruan', 'dinagukan'], 'Mancao': ['banca', 'bancas', 'macho', 'macro', 'magco']}",TP,FN
"Lumalaki na ang mga anak nila, marami ng pangangailangan, kaya concerned sila dun.","Lumalaki na ang mga anak nila, marami nang pangangailangan, kaya concerned sila dun.","Lumalaki na ang mga anak nila, marami ng pangangailangan, kaya concerned sila dun.",[],{},FN,FN
Hindi ko siya kakantahin kung hindi siya maganda.,Hindi ko siya kakantahin kung hindi siya maganda.,Hindi ko siya kakantahin kung hindi siya maganda.,[],{},TN,TN
Nagpapalitan sila ng video kung anu ano ang ganap sa buhay nila dahil magkalayo nga sila.,Nagpapalitan sila ng video kung anu-ano ang ganap sa buhay nila dahil magkalayo nga sila.,Nagpapalitan sila ng video kung anu ano ang ganap sa buhay nila dahil magkalayo nga sila.,[],{},FN,FN
"Kasi ok nang libre ang bakuna natin, ok na din yung facilities para sa COVID patients, pati quarantine, iyon lang testing ang dapat medyo babaan naman ang singil.","Kasi ok nang libre ang bakuna natin, ok na rin yung facilities para sa COVID patients, pati quarantine, iyon lang testing ang dapat medyo babaan naman ang singil.","Kasi ok nang libre ang bakuna natin, ok na rin yung facilities para sa COVID patients, pati quarantine, iyon lang testing ang dapat medyo babaan naman ang singil.",[],{},TP,TP
Masuwerte namang hindi tinamaan ng bala ng baril ang bunso niyang kapatid na lalaki na dumapa na lamang din sa likod bahay.,Masuwerte namang hindi tinamaan ng bala ng baril ang bunso niyang kapatid na lalaki na dumapa na lamang din sa likod bahay.,Masuwerte namang hindi tinamaan ng bala ng baril ang bunso niyang kapatid na lalaki na dumapa na lamang din sa likod bahay.,[],{},TN,TN
"Nakakuha rin ang mga awtoridad sa lugar ng ilang kawad ng telco na naputol na umano ng lalaki Jamil Santos/VBL, GMA Integrated News.","Nakakuha rin ang mga awtoridad sa lugar ng ilang kawad ng telco na naputol na umano ng lalaki Jamil Santos/VBL, GMA Integrated News.","Nakakuha rin ang mga awtoridad sa lugar ng ilang kawad ng telco na naputol na umano ng lalaki jail tantos/aal, gia Integrated News.","['Jamil', 'Santos', 'VBL', 'GMA']","{'Jamil': ['aamil', 'amil', 'jail', 'samil', 'aamin'], 'Santos': ['santo', 'santol', 'tantos', 'aantok', 'aantot'], 'VBL': ['vel', 'vul', 'aal', 'ab', 'aba'], 'GMA': ['ama', 'ga', 'gia', 'goma', 'gra']}",FP,FP
Babantayan din aniya ng Kabataan party-list ang pagpapatupad ng DepEd MATATAG Education Agenda na pangako ng pagbibigay ng mental health services sa bawat paaralan.,Babantayan din aniya ng Kabataan party-list ang pagpapatupad ng DepEd MATATAG Education Agenda na nangangako ng pagbibigay ng mental health services sa bawat paaralan.,Babantayan din aniya ng Kabataan party-list ang pagpapatupad ng DepEd MATATAG Education Agenda na pangako ng pagbibigay ng mental health services sa bawat paaralan.,[],{},FN,FN
Talagang apat na lalaki ang nagpasasa sa katawan niya.,Talagang apat na lalaki ang nagpasasa sa katawan niya.,Talagang apat na lalaki ang nagpasasa sa katawan niya.,[],{},TN,TN
"Magkaroon man siya nang sangdamakmak na sasakyan, e, balewala rin, walang saysay ang salapi niya!","Magkaroon man siya nang sangdamakmak na sasakyan, e, balewala rin, walang saysay ang salapi niya!","Magkaroon man siya nang manghahamak na sasakyan, e, balewala rin, walang saysay ang salapi niya!",['sangdamakmak'],"{'sangdamakmak': ['sandamakmak', 'sandakmakmak', 'manghahamak', 'nanghahamak', 'panghahamak']}",FP,FP
"Viral din ngayon ang pagbabagsak-presyo ng wedding supplies dahil ang bride na dapat gagamit nito, diumano, niloko ng groom?","Viral din ngayon ang pagbabagsak-presyo ng wedding supplies dahil ang bride na dapat gagamit nito, diumano, niloko ng groom?","Viral din ngayon ang pagbabagsak-presyo ng wedding supplies dahil ang bride na dapat gagamit nito, diumano, niloko ng groom?",[],{},TN,TN
Desisyon na din umano ng LGUs kung magpapatupad ng granular lockdown.,Desisyon na rin umano ng LGUs kung magpapatupad ng granular lockdown.,Desisyon na rin umano ng LGUs kung magpapatupad ng granular lockdown.,[],{},TP,TP
"Nasakote rin ang apat pa na bumibili ng droga na sina Danilo Borja, 40; Randy Aquino, 35; Angelo Bulibuli, 20; at Denver De Jesus, 25, pawang mga nakatira sa Tondo, Maynila.","Nasakote rin ang apat pa na bumibili ng droga na sina Danilo Borja, 40; Randy Aquino, 35; Angelo Bulibuli, 20; at Denver De Jesus, 25, pawang mga nakatira sa Tondo, Maynila.","Nasakote rin ang apat pa na bumibili ng droga na sina Danilo bersa, ag; candy aluin, ag; anger bumibili, ag; at danger De desks, ad, pawang mga nakatira sa todo, Maynila.","['Borja', '40', 'Randy', 'Aquino', '35', 'Angelo', 'Bulibuli', '20', 'Denver', 'Jesus', '25', 'Tondo']","{'Borja': ['bara', 'barya', 'bersa', 'bira', 'boba'], '40': ['ab', 'ad', 'ag', 'ah', 'ak'], 'Randy': ['andy', 'brandy', 'candy', 'anay', 'and'], 'Aquino': ['akuin', 'akuing', 'aluin', 'aluing', 'alumno'], '35': ['ab', 'ad', 'ag', 'ah', 'ak'], 'Angelo': ['anglo', 'angal', 'anger', 'anggo', 'anggulo'], 'Bulibuli': ['balibulin', 'bubuli', 'bumibili', 'bumubuli', 'uliuli'], '20': ['ab', 'ad', 'ag', 'ah', 'ak'], 'Denver': ['center', 'dancer', 'danger', 'dealer', 'deber'], 'Jesus': ['beses', 'census', 'desks', 'deus', 'fetus'], '25': ['p25', 'ab', 'ad', 'ag', 'ah'], 'Tondo': ['condo', 'pondo', 'todo', 'tono', 'tonto']}",FP,FP
Parang anak na din ang turing ni Gen.,Parang anak na rin ang turing ni Gen.,Parang anak na rin ang turing ni Gen.,[],{},TP,TP
Nakakasawa na rin raw kasi ang ginagawa ni Alex dahil paulit-ulit lang daw ang paggawa nito ng sablay at kasalanan sa kanyang kapwa.,Nakakasawa na rin daw kasi ang ginagawa ni Alex dahil paulit-ulit lang daw ang paggawa nito ng sablay at kasalanan sa kanyang kapwa.,Nakakasawa na rin daw kasi ang ginagawa ni Alex dahil paulit-ulit lang daw ang paggawa nito ng sablay at kasalanan sa kanyang kapwa.,[],{},TP,TP
Nakasentro muna ang atensiyon ng PBA sa pagsisimula ng PBA Season 46 Philippine Cup bago pagtuunan ng pansin ang paglarga ng inagural season ng 3x3 basketball tournament.,Nakasentro muna ang atensiyon ng PBA sa pagsisimula ng PBA Season 46 Philippine Cup bago pagtuunan ng pansin ang paglarga ng inagural season ng 3x3 basketball tournament.,Nakasentro muna ang atensiyon ng iba sa pagsisimula ng iba Season ag Philippine Cup bago pagtuunan ng pansin ang paglarga ng inaaral season ng x basketball tournament.,"['PBA', 'PBA', '46', 'inagural', '3x3']","{'PBA': ['aba', 'ba', 'iba', 'pa', 'paa'], '46': ['ab', 'ad', 'ag', 'ah', 'ak'], 'inagural': ['inaugural', 'hinaguran', 'inaaral', 'inagusan', 'inapura'], '3x3': ['ex', 'p3', 'x', 'xi', 'aag']}",FP,FP
Hirap rin daw ang kalagayan ngayon ng kaniyang pamilya na naka-quarantine lahat.,Hirap din daw ang kalagayan ngayon ng kaniyang pamilya na naka-quarantine lahat.,Hirap din daw ang kalagayan ngayon ng kaniyang pamilya na naka-quarantine lahat.,[],{},TP,TP
