Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions
Atin pong pinapaalalahanan ang ating mga kababayan na siyasating mabuti ang perang tinatanggap para hindi mabiktima ng mga pekeng salapi.,Atin pong pinapaalalahanan ang ating mga kababayan na siyasating mabuti ang perang tinatanggap para hindi mabiktima ng mga pekeng salapi.,Atin pong pinapaalalahanan ang ating mga kababayan na siyasating mabuti ang perang tinatanggap para hindi mabiktima ng mga pekeng salapi.,[],{}
"Inaresto ang target na si Dean Dexter Bato nang iabot na sa kaniya ang item, at dinakip din ang kaniyang amang si Dexter.","Inaresto ang target na si Dean Dexter Bato nang iabot na sa kaniya ang item, at dinakip din ang kaniyang amang si Dexter.","Inaresto ang target na si Dean center Bato nang iabot na sa kaniya ang item, at dinakip din ang kaniyang amang si center.","['Dexter', 'Dexter']","{'Dexter': ['texter', 'better', 'center', 'daster', 'dealer']}"
So kailan nga kaya makakapag-operate normally ang mga sinehan?,So kailan nga kaya makakapag-operate normally ang mga sinehan?,So kailan nga kaya makakapag-operate normal ang mga sinehan?,['normally'],"{'normally': ['abnormally', 'morally', 'normal', 'formal', 'locally']}"
Bago naman magtanghali kahapon ay naaresto na rin ng mga awtoridad sa Brgy.,Bago naman magtanghali kahapon ay naaresto na rin ng mga awtoridad sa Brgy.,Bago naman magtanghali kahapon ay naaresto na rin ng mga awtoridad sa Brgy.,[],{}
"Ayon sa COA, sinabi ng budget officer ng OVP na hindi nila ito hinihingi at Kongreso ang naglalagay nito sa kanilang budget na ikinagulat nilang lahat.","Ayon sa COA, sinabi ng budget officer ng OVP na hindi nila ito hinihingi at Kongreso ang naglalagay nito sa kanilang budget na ikinagulat nilang lahat.","Ayon sa coal, sinabi ng budget officer ng ap na hindi nila ito hinihingi at Kongreso ang naglalagay nito sa kanilang budget na ikinagulat nilang lahat.","['COA', 'OVP']","{'COA': ['cha', 'co', 'coal', 'coat', 'col'], 'OVP': ['op', 'vp', 'ap', 'app', 'atp']}"
"Ang hirap po na ang gobyerno mismo natin ang number one na violator ng garantiya ng Konstitusyon para sa security of tenure, samantalang hindi nito napupuno ang mga vacancy ng mga permanenteng posisyon sa mga opisina nito, saad ni Villanueva.","Ang hirap po na ang gobyerno mismo natin ang number one na violator ng garantiya ng Konstitusyon para sa security of tenure, samantalang hindi nito napupuno ang mga vacancy ng mga permanenteng posisyon sa mga opisina nito, saad ni Villanueva.","Ang hirap po na ang gobyerno mismo natin ang number one na violator ng garantiya ng Konstitusyon para sa security of tenure, samantalang hindi nito napupuno ang mga ahency ng mga permanenteng posisyon sa mga opisina nito, saad ni Villanueva.",['vacancy'],"{'vacancy': ['vacant', 'agency', 'ahency', 'avance', 'balance']}"
"Sinabi naman ni Meycauayan City Mayor Linabelle Ruth Villarica, magsisilbi itong alternatibong ruta mula sa hangganan ng Valenzuela, Meycauayan at Marilao na hindi na kailangang lumabas sa expressway.","Sinabi naman ni Meycauayan City Mayor Linabelle Ruth Villarica, magsisilbi itong alternatibong ruta mula sa hangganan ng Valenzuela, Meycauayan at Marilao na hindi na kailangang lumabas sa expressway.","Sinabi naman ni magabayan City Mayor pinabale truth balarila, magsisilbi itong alternatibong ruta mula sa hangganan ng aabentura, magabayan at Marilao na hindi na kailangang lumabas sa expressway.","['Meycauayan', 'Linabelle', 'Ruth', 'Villarica', 'Valenzuela', 'Meycauayan']","{'Meycauayan': ['cagayan', 'madamayan', 'magabayan', 'magbabayan', 'magbakayan'], 'Linabelle': ['binabale', 'liable', 'pinabale', 'alienable', 'binababae'], 'Ruth': ['rush', 'ruta', 'truth', 'aut', 'autho'], 'Villarica': ['villarama', 'bailarina', 'balarila', 'diyariya', 'hinarina'], 'Valenzuela': ['sarzuela', 'telenovela', 'aabentura', 'abentura', 'abenturera']}"
Nangako siya kay Kris Aquino na dadalawin niya ito sa Amerika oras na payagan na uli siyang mag-travel sa US.,Nangako siya kay Kris Aquino na dadalawin niya ito sa Amerika oras na payagan na uli siyang mag-travel sa US.,Nangako siya kay Kris aluin na dadalawin niya ito sa anemika oras na payagan na uli siyang mag-travel sa US.,"['Aquino', 'Amerika']","{'Aquino': ['akuin', 'akuing', 'aluin', 'aluing', 'alumno'], 'Amerika': ['aberia', 'amerikana', 'anemika', 'aamerikana', 'abenida']}"
"Ayon kay Dante, noon pa man ay iniisip na ni Tanoy ang pamilya nito kaya laging nag-iipon.","Ayon kay Dante, noon pa man ay iniisip na ni Tanoy ang pamilya nito kaya laging nag-iipon.","Ayon kay Dante, noon pa man ay iniisip na ni tanod ang pamilya nito kaya laging nag-iipon.",['Tanoy'],"{'Tanoy': ['banoy', 'taboy', 'tanod', 'taoy', 'tonoy']}"
More than two years na kaming Gold Squad and hindi namin akalain na aabot kami sa ganito.,More than two years na kaming Gold Squad and hindi namin akalain na aabot kami sa ganito.,More than two years na kaming Gold Squad and hindi namin akalain na aabot kami sa ganito.,[],{}
Nagbabala si Malabon Mayor Lenlen Oreta sa mga ilegal na nagbebenta ng mga bakuna at vaccination slots sa Malabon.,Nagbabala si Malabon Mayor Lenlen Oreta sa mga ilegal na nagbebenta ng mga bakuna at vaccination slots sa Malabon.,Nagbabala si Malabon Mayor lenient arena sa mga ilegal na nagbebenta ng mga bakuna at vaccination slots sa Malabon.,"['Lenlen', 'Oreta']","{'Lenlen': ['helen', 'lender', 'lenient', 'lenses', 'lente'], 'Oreta': ['kreta', 'area', 'arena', 'bareta', 'beta']}"
"Sa ulat ng GMA News ""Unang Balita"" nitong Huwebes, sinabing ang ilan sa mga damit ay hango sa kulay ng Philippine flag, na base sa kanta nilang ""What?""","Sa ulat ng GMA News ""Unang Balita"" nitong Huwebes, sinabing ang ilan sa mga damit ay hango sa kulay ng Philippine flag, na base sa kanta nilang ""What?""","Sa ulat ng gia News ""Unang Balita"" nitong Huwebes, sinabing ang ilan sa mga damit ay hango sa kulay ng Philippine flag, na base sa kanta nilang ""What?""",['GMA'],"{'GMA': ['ama', 'ga', 'gia', 'goma', 'gra']}"
Pinagbawalan din ng Comelec ang mga incumbent candidate at iba pang politiko sa paglalagay ng campaign materials sa relief goods na ipagkakaloob sa mga residente biktima ng bagyong Agaton dahil maari itong mauwi sa diskuwalipikasyon.,Pinagbawalan din ng Comelec ang mga incumbent candidate at iba pang politiko sa paglalagay ng campaign materials sa relief goods na ipagkakaloob sa mga residente biktima ng bagyong Agaton dahil maari itong mauwi sa diskuwalipikasyon.,Pinagbawalan din ng Comelec ang mga incumbent candidate at iba pang politiko sa paglalagay ng campaign materials sa relief goods na ipagkakaloob sa mga residente biktima ng bagyong aato dahil maari itong mauwi sa diskuwalipikasyon.,['Agaton'],"{'Agaton': ['aahon', 'aalon', 'aato', 'aatong', 'aayon']}"
"Ayon sa Land Transportation Office (LTO), naaalarma sila na ang pinakamaraming kaso ng road accidents ay dahil lasing ang driver ng sasakyan.","Ayon sa Land Transportation Office (LTO), naaalarma sila na ang pinakamaraming kaso ng road accidents ay dahil lasing ang driver ng sasakyan.","Ayon sa Land Transportation Office (ito), naaalarma sila na ang pinakamaraming kaso ng road accidents ay dahil lasing ang driver ng sasakyan.",['LTO'],"{'LTO': ['ato', 'eto', 'ito', 'lao', 'lato']}"
Hindi naman natin maiiwasan pag ni-require ng kuwento.,Hindi naman natin maiiwasan pag ni-require ng kuwento.,Hindi naman natin maiiwasan pag ni-require ng kuwento.,[],{}
Nagkataon na may nakita ang mga awtoridad na isang green Chinese tea bag na bahagyang nakabukas na nang suriin ay natukoy na shabu.,Nagkataon na may nakita ang mga awtoridad na isang green Chinese tea bag na bahagyang nakabukas na nang suriin ay natukoy na shabu.,Nagkataon na may nakita ang mga awtoridad na isang green Chinese tea bag na bahagyang nakabukas na nang suriin ay natukoy na shabu.,[],{}
"Ayon kay Division Spokesman Major Jekyll Dulawan, ang isang dosenang bagong kaso ay bahagi ng 1,000 sundalo na sumailalim sa mass testing noong nakaraang linggo.","Ayon kay Division Spokesman Major Jekyll Dulawan, ang isang dosenang bagong kaso ay bahagi ng 1,000 sundalo na sumailalim sa mass testing noong nakaraang linggo.","Ayon kay Division Spokesman Major cell anlawan, ang isang dosenang bagong kaso ay bahagi ng d,aam sundalo na sumailalim sa mass testing noong nakaraang linggo.","['Jekyll', 'Dulawan', '1', '000']","{'Jekyll': ['bell', 'benyal', 'cell', 'ekyc', 'jerky'], 'Dulawan': ['dilawan', 'dulaan', 'anlawan', 'bulaan', 'bulacan'], '1': ['b', 'c', 'd', 'e', 'f'], '000': ['aag', 'aal', 'aam', 'aat', 'aaw']}"
"Salve, tanong ko sa iyo, sino sa palagay mo ang magna-number 1 pag parehong tumakbo sa Senado sina Papa Raffy Tulfo at Willie Revillame?","Salve, tanong ko sa iyo, sino sa palagay mo ang magna-number 1 pag parehong tumakbo sa Senado sina Papa Raffy Tulfo at Willie Revillame?","salvo, tanong ko sa iyo, sino sa palagay mo ang magna-number d pag parehong tumakbo sa Senado sina Papa rainy Tulfo at will reevaluate?","['Salve', '1', 'Raffy', 'Willie', 'Revillame']","{'Salve': ['sale', 'salfe', 'salvo', 'solve', 'valve'], '1': ['b', 'c', 'd', 'e', 'f'], 'Raffy': ['raffle', 'raft', 'rainy', 'rally', 'ramay'], 'Willie': ['wildlife', 'wili', 'will', 'willing', 'airline'], 'Revillame': ['village', 'evaluate', 'reevaluate', 'refile', 'refill']}"
"Lunes lang nang ipresenta ni BuCor officer-in-charge Gregorio Catapang ang dalawang presong sinaksak daw ni Bantag ng patalim (kris) noong Pebrero 2022 habang ""lasing"" at galit tungkol sa ilang nakatakas sa kulungan.","Lunes lang nang ipresenta ni BuCor officer-in-charge Gregorio Catapang ang dalawang presong sinaksak daw ni Bantag ng patalim (kris) noong Pebrero 2022 habang ""lasing"" at galit tungkol sa ilang nakatakas sa kulungan.","Lunes lang nang ipresenta ni babor officer-in-charge alegoriya aagapang ang dalawang presong sinaksak daw ni bangag ng patalim (kris) noong Pebrero aag habang ""lasing"" at galit tungkol sa ilang nakatakas sa kulungan.","['BuCor', 'Gregorio', 'Catapang', 'Bantag', '2022']","{'BuCor': ['butor', 'autor', 'babor', 'balor', 'baor'], 'Gregorio': ['alegoria', 'oratorio', 'alegoriya', 'alegro', 'areglado'], 'Catapang': ['matapang', 'tatapang', 'aagapang', 'aalapang', 'aapang'], 'Bantag': ['banaag', 'banag', 'bangag', 'banlag', 'bansag'], '2022': ['p25', 'aaba', 'aag', 'aako', 'aal']}"
Kinailangan namang bumalik sa gate ng airport ang eroplano at pinababa ang mga pasahero.,Kinailangan namang bumalik sa gate ng airport ang eroplano at pinababa ang mga pasahero.,Kinailangan namang bumalik sa gate ng airport ang eroplano at pinababa ang mga pasahero.,[],{}
Tinawag naman ni Locsin na illegal ang ginawa ng China dahil ang Ayungin Shoal ay bahagi ng Pilipinas at nasa loob ito ng exclusive economic zones at continental shelf.,Tinawag naman ni Locsin na illegal ang ginawa ng China dahil ang Ayungin Shoal ay bahagi ng Pilipinas at nasa loob ito ng exclusive economic zones at continental shelf.,Tinawag naman ni login na illegal ang ginawa ng China dahil ang Ayungin Shoal ay bahagi ng Pilipinas at nasa loob ito ng exclusive economic zones at continental shelf.,['Locsin'],"{'Locsin': ['cousin', 'labsin', 'login', 'loobin', 'toksin']}"
"May kayabangan ang pulitiko, nagpapanggap siya na alam na niya ang lahat, samantalang kailangan pa niyang bumalik sa grade one kung batas ang pag-uusapan.","May kayabangan ang pulitiko, nagpapanggap siya na alam na niya ang lahat, samantalang kailangan pa niyang bumalik sa grade one kung batas ang pag-uusapan.","May kayabangan ang pulitiko, nagpapanggap siya na alam na niya ang lahat, samantalang kailangan pa niyang bumalik sa grade one kung batas ang pag-uusapan.",[],{}
"Hindi ko pa rin maisip kung papano babalik eh,? sabi pa niya.","Hindi ko pa rin maisip kung papano babalik eh,? sabi pa niya.","Hindi ko pa rin maisip kung pagano babalik eh,? sabi pa niya.",['papano'],"{'papano': ['napano', 'paano', 'pagano', 'pampano', 'papaano']}"
"Nangyayari ito kasabay ng sunud-sunod na pagtaas ng presyo ng langis, na siyang nagpataas ng presyo ng bilihin at nagpaliit nang husto sa kita ng mga tsuper sa pampublikong transportasyon James Relativo at may mga ulat mula sa ONE News.","Nangyayari ito kasabay ng sunud-sunod na pagtaas ng presyo ng langis, na siyang nagpataas ng presyo ng bilihin at nagpaliit nang husto sa kita ng mga tsuper sa pampublikong transportasyon James Relativo at may mga ulat mula sa ONE News.","Nangyayari ito kasabay ng sunud-sunod na pagtaas ng presyo ng langis, na siyang nagpataas ng presyo ng bilihin at nagpaliit nang husto sa kita ng mga tsuper sa pampublikong transportasyon James relatives at may mga ulat mula sa ONE News.",['Relativo'],"{'Relativo': ['relative', 'relation', 'relatives', 'creative', 'elastiko']}"
May kani-kanyang buhay na rin daw ang mga anak niya.,May kani-kanyang buhay na rin daw ang mga anak niya.,May kani-kanyang buhay na rin daw ang mga anak niya.,[],{}
"Bagamat nasa 10% na lamang ng ??global peak?? ng mga namamatay noong Enero 2021 ang naitatala sa ngayon, nangangahulugan pa rin ito na nasa 10,000 tao ang namamatay kada linggo dahil sa sakit.","Bagamat nasa 10% na lamang ng ??global peak?? ng mga namamatay noong Enero 2021 ang naitatala sa ngayon, nangangahulugan pa rin ito na nasa 10,000 tao ang namamatay kada linggo dahil sa sakit.","Bagamat nasa ag% na lamang ng ??global peak?? ng mga namamatay noong Enero aag ang naitatala sa ngayon, nangangahulugan pa rin ito na nasa ag,aam tao ang namamatay kara linggo dahil sa sakit.","['10', '2021', '10', '000']","{'10': ['ab', 'ad', 'ag', 'ah', 'ak'], '2021': ['p25', 'aaba', 'aag', 'aako', 'aal'], '000': ['aag', 'aal', 'aam', 'aat', 'aaw']}"
"And sa lahat ng nagbabash and madaming sinasabi sakin dahil sa picture na to, ANG TANGA LANG.","And sa lahat ng nagbabash and madaming sinasabi sakin dahil sa picture na to, ANG TANGA LANG.","And sa lahat ng magbabasa and maraming sinasabi sakin dahil sa picture na to, ANG TANGA LANG.",['nagbabash'],"{'nagbabash': ['nagbabasa', 'nagbabaso', 'magbabasa', 'magbabase', 'magbabaso']}"
Ginawa ang anunsiyo sa pamamagitan ng isang taped program na ipinalabas sa ibat ibang media platforms at sa isang telebisyon.,Ginawa ang anunsiyo sa pamamagitan ng isang taped program na ipinalabas sa ibat ibang media platforms at sa isang telebisyon.,Ginawa ang anunsiyo sa pamamagitan ng isang taped program na ipinalabas sa ibat ibang media platforms at sa isang telebisyon.,[],{}
"Sa ilalim ng Kasambahay Law, tinutukoy na kasambahay ang mga nagtatrabaho upang tumulong sa mga gawain sa bahay at nakatira sa kaniyang amo.","Sa ilalim ng Kasambahay Law, tinutukoy na kasambahay ang mga nagtatrabaho upang tumulong sa mga gawain sa bahay at nakatira sa kaniyang amo.","Sa ilalim ng Kasambahay Law, tinutukoy na kasambahay ang mga nagtatrabaho upang tumulong sa mga gawain sa bahay at nakatira sa kaniyang amo.",[],{}
"Nasa ??critical risk?? na umano ang Pilipinas sa lebel ng COVID-19 dahil sa rami ng nare-rekord na bagong kaso at pagbagsak ng kapabilidad ng mga pagamutan, ayon sa dating tagapayo ng pamahalaan.","Nasa ??critical risk?? na umano ang Pilipinas sa lebel ng COVID-19 dahil sa rami ng nare-rekord na bagong kaso at pagbagsak ng kapabilidad ng mga pagamutan, ayon sa dating tagapayo ng pamahalaan.","Nasa ??critical risk?? na umano ang Pilipinas sa lebel ng COVID-ag dahil sa rami ng nare-rekord na bagong kaso at pagbagsak ng kapabilidad ng mga pagamutan, ayon sa dating tagapayo ng pamahalaan.",['19'],"{'19': ['ab', 'ad', 'ag', 'ah', 'ak']}"
Matatandaang dinischarge mula sa COVID-19 facility ang mag-asawa matapos ang 10-day isolation habang silay asymptomatic.,Matatandaang dinischarge mula sa COVID-19 facility ang mag-asawa matapos ang 10-day isolation habang silay asymptomatic.,Matatandaang dinischarge mula sa COVID-ag facility ang mag-asawa matapos ang ag-day isolation habang silay asymptomatic.,"['19', '10']","{'19': ['ab', 'ad', 'ag', 'ah', 'ak'], '10': ['ab', 'ad', 'ag', 'ah', 'ak']}"
"Mayroong tatlong halimbawa na humahadlang para maging mapayapa ang mundo: Ang kapalaluan ng tao na masyadong ambisyoso at hindi makuntento sa kung ano ang mayroon sila; ang kasakiman na dahilan kaya nalilimutan niya ang salitang ""pagbibigay""; at ang labis na pagkamuhi na pinag-uugatan ng karahasan.","Mayroong tatlong halimbawa na humahadlang para maging mapayapa ang mundo: Ang kapalaluan ng tao na masyadong ambisyoso at hindi makuntento sa kung ano ang mayroon sila; ang kasakiman na dahilan kaya nalilimutan niya ang salitang ""pagbibigay""; at ang labis na pagkamuhi na pinag-uugatan ng karahasan.","Mayroong tatlong halimbawa na humahadlang para maging mapayapa ang mundo: Ang kapalaluan ng tao na masyadong ambisyoso at hindi makuntento sa kung ano ang mayroon sila; ang kasakiman na dahilan kaya nalilimutan niya ang salitang ""pagbibigay""; at ang labis na pagkamuhi na pinag-uugatan ng karahasan.",[],{}
"Bumuo kami ng baby mga one year until na-bless talaga kaming nangyari na siya, ??di ba?","Bumuo kami ng baby mga one year until na-bless talaga kaming nangyari na siya, ??di ba?","Bumuo kami ng baby mga one year until na-bless talaga kaming nangyari na siya, ??di ba?",[],{}
Tinawag naman ni Angel Aquino na pangalawang pamilya ang show.,Tinawag naman ni Angel Aquino na pangalawang pamilya ang show.,Tinawag naman ni anghel aluin na pangalawang pamilya ang show.,"['Angel', 'Aquino']","{'Angel': ['angal', 'anger', 'anghel', 'angil', 'aangal'], 'Aquino': ['akuin', 'akuing', 'aluin', 'aluing', 'alumno']}"
"Una nang sinabi ni presidential spokesperson Harry Roque na target ng gobyerno na mabawasan ng 25% ang COVID-19 cases sa pamamagitan ng NCR Plus bubble restrictions, kung saan ibinabawal na ang mga mass gatherings at mga misa.","Una nang sinabi ni presidential spokesperson Harry Roque na target ng gobyerno na mabawasan ng 25% ang COVID-19 cases sa pamamagitan ng NCR Plus bubble restrictions, kung saan ibinabawal na ang mga mass gatherings at mga misa.","Una nang sinabi ni presidential spokesperson aaray Roque na target ng gobyerno na mabawasan ng ad% ang COVID-ag cases sa pamamagitan ng NCR Plus bubble restrictions, kung saan ibinabawal na ang mga mass gatherings at mga misa.","['Harry', '25', '19']","{'Harry': ['carry', 'larry', 'aaray', 'aray', 'army'], '25': ['p25', 'ab', 'ad', 'ag', 'ah'], '19': ['ab', 'ad', 'ag', 'ah', 'ak']}"
Asahan na ang pagsisikip ng daloy ng trapiko kaugnay ng malawakang rehabilitasyon na isasagawa ng Department of Public Works and Highways (DPWH) sa mga kalsada sa ibat ibang bahagi ng Metro Manila.,Asahan na ang pagsisikip ng daloy ng trapiko kaugnay ng malawakang rehabilitasyon na isasagawa ng Department of Public Works and Highways (DPWH) sa mga kalsada sa ibat ibang bahagi ng Metro Manila.,Asahan na ang pagsisikip ng daloy ng trapiko kaugnay ng malawakang rehabilitasyon na isasagawa ng Department of Public Works and Highways (daw) sa mga kalsada sa ibat ibang bahagi ng Metro Manila.,['DPWH'],"{'DPWH': ['dapwa', 'dash', 'daw', 'dawi', 'depth']}"
"Ayon kay FDA Director General Eric Domingo, sumulat na siya sa Department of Health (DOH) para humingi ng opinyon at hinihintay na lamang ang kasagutan kung ang naturang test kits ay magagamit alinsunod sa testing strategy ng bansa.","Ayon kay FDA Director General Eric Domingo, sumulat na siya sa Department of Health (DOH) para humingi ng opinyon at hinihintay na lamang ang kasagutan kung ang naturang test kits ay magagamit alinsunod sa testing strategy ng bansa.","Ayon kay FDA Director General aria daming, sumulat na siya sa Department of Health (DOH) para humingi ng opinyon at hinihintay na lamang ang kasagutan kung ang naturang test kits ay magagamit alinsunod sa testing strategy ng bansa.","['Eric', 'Domingo']","{'Eric': ['epic', 'ari', 'aria', 'brick', 'brio'], 'Domingo': ['domino', 'coming', 'daming', 'doing', 'domina']}"
