Original Sentence,Gold Sentence
Nabuoang tambalang FranSeth para sa teleseryeng Dirty Linen,Nabuo ang tambalang FranSeth para sa teleseryeng Dirty Linen
Sa kanyang pagtungo sa PAO sinabi ni ni Gng,Sa kanyang pagtungo sa PAO sinabi ni Gng
Patuloy naman ANG paalala ni Mayor Paulino Jr,Patuloy naman ang paalala ni Mayor Paulino Jr
Naalala mo may napuntahan kang ganun,Naalala mo may napuntahan kang ganun
Yung mga kasama ko nagluluto ng ham ham,Yung mga kasama ko nagluluto ng ham
Ang kasalukuyang suweldo aniya ng mga ito ay,Ang kasalukuyang suweldo aniya ng mga ito ay
Na umalingasaw umano ang malan sang amoy,Na umalingasaw umano ang malansang amoy
Tapos say niya di pa ready magshooting,Tapos say niya di pa siya ready magshooting
Kasi nagugutom na ako,Kasi nagugutom na ako
Mahiyain raw si Maine,Mahiyain daw si Maine
Kasi hindi natin alam kung ano ang nangyayari bukas,Kasi hindi natin alam kung ano ang mangyayari bukas
“ayaw ko din namang madaliin,“Ayaw ko rin namang madaliin
Hindi magbibigay ng pahayag si Bangang,Hindi nagbigay ng pahayag si Bangang
Anong gusto nila,Anong gusto nila
Ito ayliban pa sa  milyong dosis na nagexpire na,Ito ay liban pa sa  milyong dosis na nagexpire na
Hindi niya nagpapaapekto,Hindi siya nagpapaapekto
Hindi ko lang nagugustuhan yung nasusulat na PM,Hindi ko lang nagustuhan yung nasusulat na PM
Kasi pag pinapanood mo dirediretso no,Kasi pag pinapanood mo dirediretso no
Parang kulang nila sa followup,Parang kulang sila sa followup
Nakapagtala ang HongKong ng  kaso at  deaths deaths,Nakapagtala ang HongKong ng  kaso at  deaths
Pinapakita umano ito na wala silang idineklarang kita,Nagpapakita umano ito na wala silang idineklarang kita
Saan po ba yung suka,Saan po ba yung suka
Ibinibigay ko lahat sa asawa ko,Ibinigay ko lahat sa asawa ko
Nakatakda ang vault finals Linggo nggabi,Nakatakda ang vault finals Linggo ng gabi
Nagdadala kami ng pagkain tapos tsinelas,Nagdala kami ng pagkain tapos tsinelas
Kinaiinggitan ngayon si Jean Garcia sa bakuran ng GMA,Kinaiinggitan ngayon si Jean Garcia sa bakuran ng GMA
Kelan ang umpisa ng shooting,Kelan ang umpisa ng shooting
Na lindol sa Leyte nitong Linggo ng gabi Enero ,Na lindol sa Leyte nitong Linggo ng gabi Enero 
Binigyan na rin niya ng gamot at binakunahan,Binigyan na rin siya ng gamot at binakunahan
Parang NABLACKMAIL po ako ng babae sabi ni Balenzoga,Parang nablackmail po ako ng babae sabi ni Balenzoga
Hindi nila kasama si Miles,Ngunit hindi nila kasama si Miles
Dahilan dito kaya ipinatawag sila ang isang Atty,Dahilan dito kaya ipinatawag nila ang isang Atty
A ware kaya si Ellen Adarna,Aware kaya si Ellen Adarna
Dapat maangas talaga at maipakita sanay akong makipaglaban,Dapat maangas talaga at maipakita na sanay akong makipaglaban
May pagasa pa kaya itong magamot,May pagasa pa kaya itong magamot
Ta nong ni Inton,Tanong ni Inton
Hihindi naman lahat nabibiyayaan,Hindi naman lahat nabibiyayaan
Ang inaabangan kailan nangyayari iyan kay Julia,Ang inaabangan kailan mangyayari iyan kay Julia
Napaka relaxed” giit niya,Napakarelaxed” giit niya
Duwag rin siya pagdating sa mga multo kwento niya,Duwag din siya pagdating sa mga multo kwento niya
So nakaahon s’ya sa kahirapan,So nakaahon s’ya sa kahirapan
Naintindihan nila na limitado ang mga projects ngayong pandemic,Naiintindihan nila na limitado ang mga projects ngayong pandemic
Paano tinutulugan ang tao,Paano natutulog ang tao
Tangkilin ang sariling atin,Tangkilin ang sariling atin
Sobra siyang OA at OC para siyang maarteng babae,Sobra siyang OA at OC para siyang maarteng babae
Ki nalaglagan dakong alas ng hapon,Kinalaglagan dakong alas ng hapon
Bakit bigla na niyang pinuripuri ang ex niya,Bakit bigla na niyang pinuripuri ang ex niya
Pinagbabato naman daw ng grupo ang sinasakyan ni Pastorin,Pinagbabato naman daw ng grupo ang sasakyan ni Pastorin
Calzada sabayan ng Oas,Calzada sa bayan ng Oas
Na sila ang magka date,Na sila ang magkadate
Kaya umiyak sila then ako umiiyak din ako,Kaya umiiyak sila then ako umiiyak din ako
Ang tanong—saan nga ba patutungo ang senaryong ito,Ang tanong—saan nga ba patutungo ang senaryong ito
Nakakatuwa nakakabalik na na ‘yung dating naretrench,Nakakatuwa nakakabalik na ‘yung dating naretrench
Makikipagkilala ang nasawi na si Romeo Sison Jr,Kinilala ang nasawi na si Romeo Sison Jr
Minsan nakakakain din kami minsan wala,Minsan nakakakain din kami minsan wala
Ang mga naturang bayad ay bigay sa nagtrabaho,Ang mga naturang bayad ay ibibigay sa nagtrabaho
Panoorin muna ang movie bago husgahan,Panoorin muna ang movie bago husgahan
Totoo raw bangbabalik sa nasabing TV network ang aktor,Totoo raw bang babalik sa nasabing TV network ang aktor
Ako huwag niyong gumawa sa akin yan,Ako huwag niyong gagawin sa akin yan
So nahirapan ako sa mga gano’ng bagay,So nahirapan ako sa mga gano’ng mga bagay
Na ibaba ang presyo ng bigas sa Pkilo,Na ibaba ang presyo ng bigas sa Pkilo
Naganap ang trahedya dakong alas nggabi ng Oktubre  ,Naganap ang trahedya dakong alas ng gabi ng Oktubre  
Mahirap paniwalaan pero yun na talaga siya e,Mahirap paniwalaan pero yun na talaga siya e
Funny nga daw ang nasabing pelikula dahil romanticcomedy ito,Funny nga raw ang nasabing pelikula dahil romanticcomedy ito
Nang magkaroon ng pandemic naubos ang ipon ni Dagul,Nang magkaroon ng pandemic naubos ang ipon ni Dagul
Natuto rin daw siya na magaararo dahil sa ama,Natuto rin daw siya na magaararo dahil sa ama
Aware kaya kaya siya rito,Aware kaya siya rito
Dapat raw ay laging nakamonitor na professional pag nagswab,Dapat daw ay laging nakamonitor na professional pag nagswab
Sino ba ‘yung nagiimpluwensya sa kanila,Sino ba ‘yung nagiimpluwensya sa kanila
Magtatapos pinapabihisan na siya for the next scene,Tapos pinapabihisan na siya for the next scene
INARESTO rin sila di ba,Inaresto rin sila di ba
Nakakainis ang dami natatawang dagdag ni Kylie,Nakakainis ang dami natatawang dagdag ni Kylie
Sabi kaagad Ivana,Sabi kaagad ni Ivana
La hat ng opinyong ibinigay mo ‘yun talaga siya,Lahat ng opinyong ibinigay mo ‘yun talaga siya
Nasa  na ang iginagaling sa buong bansa o ,Nasa  na ang gumaling sa buong bansa o 
Ayon kay Bacurnay angsuspect ay residente rin ng Brgy,Ayon kay Bacurnay ang suspect ay residente rin ng Brgy
 pagkatapos ng Pepito Manaloto Ang Unang Kuwento, pagkatapos ng Pepito Manaloto Ang Unang Kuwento
Kasi niya yung lagi kong kasama,Kasi siya yung lagi kong kasama
Pahayag pa nang bagong mayora ng lungsod,Pahayag pa ng bagong mayora ng lungsod
Kasi ito yari talaga ito sa totoong buhay,Kasi ito nangyayari talaga ito sa totoong buhay
Napakagandang balita balita talaga,Napakagandang balita talaga
Pero sisibakin niya ito nang magpositibo sa drug test,Pero sinibak niya ito nang magpositibo sa drug test
Nagpictorial din siya ng barefaced,Nagpictorial din siya ng barefaced
Ngayon ay excited na nila sa kanilang magiging future,Ngayon ay excited na sila sa kanilang magiging future
Kaya wala SIYANG nakuha kay BBM,Kaya wala siyang nakuha kay BBM
Hindi pa nagbigay ng pahayagLBG GMA News,Hindi pa siya nagbigay ng pahayagLBG GMA News
Iyon bang nandiyan siya agad para ipadamang pagdamay,Iyon bang nandiyan siya agad para ipadamang pagdamay
Itinakda kami RITO,Itinakda kami rito
Para sa HALOS  panilya,Para sa halos  panilya
Ang pumasok nila talaga mga liblib,Ang pinapasok nila talaga mga liblib
Hindi naman iyan bastabasta yari na lang eh,Hindi naman iyan bastabasta mangyayari na lang eh
Nabatid na  naman ang HINDI pa makapagdesisyon,Nabatid na  naman ang hindi pa makapagdesisyon
Pero sa isipisip ko magdadrive ako walang lisensya,Pero sa isipisip ko magdadrive ako walang lisensya
Hindi siya buhay ng isang pelikula lang  aniya JL,Hindi siya buhay ng isang pelikula lang aniya JL
Kagaya nitong yari sa isang magandang aktres,Kagaya nitong nangyari sa isang magandang aktres
Ito ay ipalalabas sa Vivamax ngayong October,Ito ay ipalalabas sa Vivamax ngayong October
Ngayon pa ba naman siya magkakaroon ng work,Ngayon pa ba naman siya magkakaroon ng work
Siya rin ay ikinulong,Pero siya rin ay ikinulong
Noong u na ay ayoslangnaman,Noong una ay ayoslangnaman
Kz naging pangrelax ang online gaming,Kz naging pangrelax ang online gaming
Ang sayasaya namin,Ang sayasaya namin
Nakatak dang ilunsad ang ESWF sa Oktubre ,Nakatakdang ilunsad ang ESWF sa Oktubre 
Sabi ni Barbie Ang ganda ko naman both both,Sabi ni Barbie Ang ganda ko naman both
Pati ang mga pabooking naghihirap na,Pati ang mga pabooking naghihirap na
Mabenta rin ang mga pagkain niya sa mga Puti,Mabenta rin ang mga pagkain niya sa mga Puti
Nagsumite si Cris Nievarez ng tiyempong pitongminuto at ,Nagsumite si Cris Nievarez ng tiyempong pitong minuto at 
Sa datos ng ng DOH nitong Dis,Sa datos ng DOH nitong Dis
Ang galing ng teacher ko,Ang galing ng teacher ko
So pa rang mas masaya ngayon” pagbabahagi ni Joko,So parang mas masaya ngayon” pagbabahagi ni Joko
Caliber pistols sa isang bahagi ng kalsada ng BRGY,Caliber pistols sa isang bahagi ng kalsada ng Brgy
Mababaitsila nung sila may kailangan,Mababait sila nung sila may kailangan
Meron tayong PROGRAMANG Balik Probinsya Bagong Pagasa,Meron tayong programang Balik Probinsya Bagong Pagasa
Nagtaas naman ho sila ng mga kamay sumuko naman,Nagtaas naman ho sila ng mga kamay sumuko naman
Namga naglalaro sa Japan BLeague,Na mga naglalaro sa Japan BLeague
Bayan natin ito nila muna ang unahin natin,Bayan natin ito sila muna ang unahin natin
Alam kayang lahat iyan ni aktres,Alam kayang lahat iyan ni aktres
Sabi niya your ‘SabaySabay Tayo’” pag alala ni Marian,Sabi niya your ‘SabaySabay Tayo’” pagalala ni Marian
Ang lumabas ni tong mga numero ay FRJ,Ang lumabas nitong mga numero ay FRJ
Pangunahing inakda atitinataguyod ni Go ang Republic Act No,Pangunahing inakda at itinataguyod ni Go ang Republic Act No
Kukunin ito ng Barako Bull Energy noong  Rookie Draft,Kinuha ito ng Barako Bull Energy noong  Rookie Draft
Posible rin daw tumaas sa P ang pamasahe mataposito,Posible rin daw tumaas sa P ang pamasahe matapos ito
Roon lang tayo sa totoo ayon kay Hontiveros,Doon lang tayo sa totoo ayon kay Hontiveros
Ang tanong ngayon hanggang saan ang suwerte ni Sanya,Ang tanong ngayon hanggang saan ang suwerte ni Sanya
Ano kaya ang magiging reaksyon dito ng PDEA Abangan,Ano kaya ang magiging reaksyon dito ng PDEA Abangan
Hmmm parang bumalik ang saya sa MMFF ,Hmmm parang bumalik ang saya sa MMFF 
So pinalipat siya si Vhong sa mas malaking kuwarto,So pinalipat niya si Vhong sa mas malaking kuwarto
Paglalahad ni Dick,Paglalahad ni Dick
Bughaw na uniporme pulang bar bell gintong medalya,Bughaw na uniporme pulang barbell gintong medalya
Subalit hindi siya natalon ang mas mataas na m,Subalit hindi niya natalon ang mas mataas na m
Rei ng makatsika namin last Wednesday,Rei nang makatsika namin last Wednesday
Pero hindi poako ganun,Pero hindi po ako ganun
Hindi ba nila nahihiya sa mga ginagawa nila,Hindi ba sila nahihiya sa mga ginagawa nila
Hindi raw niya nagtago,Hindi raw siya nagtago
Pe ro magaling na raw sila ayon kay Sen,Pero magaling na raw sila ayon kay Sen
Milyon nitong Nobyembre  AT ,Milyon nitong Nobyembre  at 
Kuya sabi kaagad ni Ivana,Kuya sabi kaagad ni Ivana
Nanonood niya ng championship ng UAAP,Nanonood siya ng championship ng UAAP
Winawarningan ko kayo walang susunod sa iyo,Winawarningan ko kayo walang susunod sa iyo
Milyon ang buwis na malilikom rito ng gobyerno,Milyon ang buwis na malilikom dito ng gobyerno
Nagpathank you si Ruru salahat na sumuporta,Nagpathank you si Ruru sa lahat na sumuporta
Extended pala ang Paano Ang Pangako,Extended pala ang Paano Ang Pangako
Kabilang na dito ang anggulo ng ilegal na droga,Kabilang na rito ang anggulo ng ilegal na droga
Sapagkat nanghuhusga tayo base lamang sa ating nakikita,Sapagkat nanghuhusga tayo base lamang sa ating nakikita
Rito magtatapos ang ating pagkakaibigan dagdag ni Duterte,Dito magtatapos ang ating pagkakaibigan dagdag ni Duterte
Inilipat na ni atty,Inilipat na ni Atty
Isa ang sugatan,Isa ang sugatan
Mas makikipagkilala ninyo pa ‘yung isa’t isa,Mas kikilalanin ninyo pa ‘yung isa’t isa
So sa ngayon wala pa siyang sasabihin sa akin,So sa ngayon wala pa siyang sinasabi sa akin
Naggain na rin siya ng weight,Naggain na rin siya ng weight
Recovered buybust money dalawang piraso ng,Recovered buybust money dalawang piraso ng
Hindi na tayo aabutin ng anim na oras,Hindi na tayo aabot ng anim na oras
PINAMUNUAN ni Mikal Bridges ang Nets sa kanyang  points,Pinamunuan ni Mikal Bridges ang Nets sa kanyang  points
Wala ka ming pinaguusapan,Wala kaming pinaguusapan
Inaasahan rin ang pagdalo ni Pangulong Rodrigo Duterte,Inaasahan din ang pagdalo ni Pangulong Rodrigo Duterte
Baluan PALIMBANG Sultan Kudarat noong Sabado,Baluan Palimbang Sultan Kudarat noong Sabado
Magaling may hitsura pero humindi nabibigyan ng tamang break,Magaling may hitsura pero hindi nabibigyan ng tamang break
Ma ria sa Ang Sa Iyo Ay Akin,Maria sa Ang Sa Iyo Ay Akin
Gaganap sila bilang magasawa sa serye,Gaganap sila bilang magasawa sa serye
Nagtry nga siyang linisin ang sarili pahayag ni Abrazado,Nagtry nga siyang linisin ang sarili pahayag ni Abrazado
Ayaw siya talaga’,Ayaw niya talaga’
Tayo bay naging mabuti sa ating KAPWA,Tayo bay naging mabuti sa ating kapwa
Ako lagi ko naman sinasabi,Ako lagi ko naman sinasabi
Ito ay mas mababa ng ,Ito ay mas mababa nang 
Ano ang magsasabi ko mga kababayan,Ano ang sinasabi ko mga kababayan
May paramdam ulit si Kat Alano kahapon sa Twitter,May paramdam ulit si Kat Alano kahapon sa Twitter
Sagot ni Kiray sa post ngnobyo,Sagot ni Kiray sa post ng nobyo
Nitong Miyerkules may  aktibong kaso ng COVID sa Maynila,Nitong Miyerkules may  aktibong kaso ng COVID sa Maynila
Bakit nga ba siya takot mavideo ano kayang meron,Bakit nga ba siya takot mavideo ano kayang meron
Sinagot naman siya si Rivero,Sinagot naman niya si Rivero
Parang anak na din ang turing ni Gen,Parang anak na rin ang turing ni Gen
Sauna niyang attempt bago nakuha ang m,Sa una niyang attempt bago nakuha ang m
Closeup pa ang braso niyang may dextrose,Closeup pa ang braso niyang may dextrose
Yung pang karaniwang mamamayan huli na naman,Yung pangkaraniwang mamamayan huli na naman
Parehong namatay sina Abay at Coronel,Parehong namatay sina Abay at Coronel
Nung laro ko nagpipray po ako,Nung laro ko nagpipray po ako
Pareho silang inuupakan ngayon sa social media,Pareho silang inuupakan ngayon sa social media
Ano ngayon ang masasabi niya,Ano ngayon ang masasabi niya
kaya nangingitim yun kasi underdialyzed,Kaya nangingitim yun kasi underdialyzed
So yan natutunan ko sa kanya paglalahad ng aktres,So yan ang natutunan ko sa kanya paglalahad ng aktres
 ayon sa pagka kasunod, ayon sa pagkakasunod
Idinemanda nyo ang mga artista namin si Rico Barrera,Idinemanda nyo ang mga artista namin si Rico Barrera
May nanay din kayo ‘di ba,May nanay rin kayo ‘di ba
Ang idaragdagsa presyo nito,Ang idaragdag sa presyo nito
Nauuwi sa wala ipinatatalo langniya,Nauuwi sa wala ipinatatalo lang niya
Napapansin ko kasi na tinatayuan yung balahibo ko aniya,Napapansin ko kasi na tumatayo yung balahibo ko aniya
Narekober sa kay Cubos angisang kalibre,Narekober sa kay Cubos ang isang kalibre
Binabalikan ko siya nagsorry ako,Binalikan ko siya nagsorry ako
Yung yung isa meron nagtext sa akin,Yung isa meron nagtext sa akin
At kailangan pa ba siya iyon,At kailangan pa ba niya iyon
Tsaka mas magkajive kami ng ugali sa COOKING,Tsaka mas magkajive kami ng ugali sa cooking
Nagsimulang mamulat si Sen,Nagsimulang mamulat si Sen
Ganun daw naexcite ang ang mga tagaSorosogon,Ganun daw naexcite ang mga tagaSorosogon
Patuloy ang isinasagawang imbestigasyon ng PNPLBG GMA News,Nagpapatuloy ang isinasagawang imbestigasyon ng PNPLBG GMA News
Bakit tatakbo pa rin VP,Bakit tatakbo pa rin VP
Seriously peopleNasaan ang mga utak nyo tweet ni Andrea,Seriously peopleNasaan ang mga utak nyo tweet ni Andrea
Yong sinabi niya o ipapangako niya ginawa niya,Yong sinabi niya o ipinangako niya ginawa niya
Bigatin nasa wedding entourage ng kasalang DiazNaranjo,Bigatin ang nasa wedding entourage ng kasalang DiazNaranjo
Karamihandiyan ay nanggaling sa mga sumusunod na lugar,Karamihan diyan ay nanggaling sa mga sumusunod na lugar
Pero anong malay natin di ba,Pero anong malay natin di ba
Mag asawa po kami ni Aljur,Magasawa po kami ni Aljur
Nagwawonder ka halohalo parang bumabata karin,Nagwawonder ka halohalo parang bumabata ka rin
Sinabi pang DOTr na nasa ,Sinabi pa ng DOTr na nasa 
Pero dahil sa tiyaga nagbunga ang pagtitiis,Pero dahil sa tiyaga nagbunga ang pagtitiis niya
Noong Abril   INAPRUBAHAN ng ECC ang Board Resolution No,Noong Abril   inaprubahan ng ECC ang Board Resolution No
Limang piraso nang FCCs para sa kalibre,Limang piraso ng FCCs para sa kalibre
Handa namin yung sarili namin,Hinahanda namin yung sarili namin
I remember yung viewers ko na  lang talaga,I remember yung viewers ko na  lang talaga
Matagal tagal nang hindi nakagagawa ng proyekto ang aktres,Matagaltagal nang hindi nakagagawa ng proyekto ang aktres
Magkakasamatayo sa pagdiriwang ng kapanganakan ni Hesus,Magkakasama tayo sa pagdiriwang ng kapanganakan ni Hesus
Itong Senate Bill ,Itong Senate Bill 
Inabot ng  taon bago nanalo ang kaso,Inabot ng  taon bago napanalunan ang kaso
Niligtas raw si Momsen ng kanyang music,Niligtas daw si Momsen ng kanyang music
Una nang sasabihin ng Malacaang,Una nang sinabi ng Malacaang
Sumatutal  na ang mga binawian nang buhay kaugnay nito,Sumatutal  na ang mga binawian ng buhay kaugnay nito
Pwede ring magnominate ngkakilalang Sekyu,Pwede ring magnominate ng kakilalang Sekyu
Feeling ko bagay kami kinikilig pang pahayag ni Dindi,Feeling ko bagay kami kinikilig pang pahayag ni Dindi
Agree SILA na kailangang tumulong,Agree sila na kailangang tumulong
Si Aiko naman gustong ikasal sataong ,Si Aiko naman gustong ikasal sa taong 
GRABE sa macho niyang yun Hihihi,Grabe sa macho niyang yun Hihihi
Hindi lang sa anak sa ibang tao,Hindi lang sa anak sa ibang tao
Meron pala kasi siyang pinaniniwalaan,Meron pala kasi siyang pinaniniwalaan
Pagbahagi NI Gilbert,Pagbahagi ni Gilbert
Bea kailangan magluto ka rin,Bea kailangan magluto ka rin
Lalo na ngayon pa lang niya nagkakaisip,Lalo na ngayon pa lang siya nagkakaisip
Sa presyo nang pagkain at serbisyo noong Marso,Sa presyo ng pagkain at serbisyo noong Marso
Natatawang kuwento ni Baron Tinawagan po akoni direk Brillante,Natatawang kuwento ni Baron Tinawagan po ako ni direk Brillante
Naging matamlay po niya nung mga panahon na yun,Naging matamlay po siya nung mga panahon na yun
Ako rin ay minadali minsan,Ako rin ay nagmamadali minsan
