Pattern_ID,Hybrid_N-Gram,Frequency,Detailed_POS,Rough_POS,POS_Type
301606,VBTS RBW_CCP JJN,30.0,VBTS RBW_CCP JJN,.* .* .*,Only Detailed POS
301608,JJN_CCP NNC PRS,3.0,JJN_CCP NNC PRS,.* .* .*,Only Detailed POS
301609,VBTS CCT PRI_CCP,141.0,VBTS CCT PRI_CCP,.* .* .*,Only Detailed POS
301610,CCT PRI_CCP DTCP,26.0,CCT PRI_CCP DTCP,.* .* .*,Only Detailed POS
301611,PRI_CCP DTCP NNC,105.0,PRI_CCP DTCP NNC,.* .* .*,Only Detailed POS
301612,CCA DTCP JJC_CCP,1.0,CCA DTCP JJC_CCP,.* .* .*,Only Detailed POS
301613,RBW_CCP JJD_CCP NNC,44.0,RBW_CCP JJD_CCP NNC,.* .* .*,Only Detailed POS
301614,JJD_CCP NNC CCB,869.0,JJD_CCP NNC CCB,.* .* .*,Only Detailed POS
301615,CDB DTC PRSP_CCP,1.0,CDB DTC PRSP_CCP,.* .* .*,Only Detailed POS
301616,DTCP NNC_CCP VBH,30.0,DTCP NNC_CCP VBH,.* .* .*,Only Detailed POS
301617,CCA DTCP JJD_CCP,16.0,CCA DTCP JJD_CCP,.* .* .*,Only Detailed POS
301619,VBTS CCB JJD_CCP,111.0,VBTS CCB JJD_CCP,.* .* .*,Only Detailed POS
301620,JJD_CCP NNC DTP,36.0,JJD_CCP NNC DTP,.* .* .*,Only Detailed POS
301622,VBN_CCP NNC DTC,13.0,VBN_CCP NNC DTC,.* .* .*,Only Detailed POS
301623,CCB NNP RBW_CCP,75.0,CCB NNP RBW_CCP,.* .* .*,Only Detailed POS
301624,VBTS CCB PRSP_CCP,67.0,VBTS CCB PRSP_CCP,.* .* .*,Only Detailed POS
301625,CCB PRSP_CCP CCR,4.0,CCB PRSP_CCP CCR,.* .* .*,Only Detailed POS
301627,CCB DTCP VBTR_VBRF,6.0,CCB DTCP VBTR_VBRF,.* .* .*,Only Detailed POS
301628,DTCP VBTR_VBRF CCB,7.0,DTCP VBTR_VBRF CCB,.* .* .*,Only Detailed POS
301629,VBTR_VBRF CCB NNC,21.0,VBTR_VBRF CCB NNC,.* .* .*,Only Detailed POS
301631,VBW CCB NNC_CCP,23.0,VBW CCB NNC_CCP,.* .* .*,Only Detailed POS
301632,CCB NNC_CCP JJD,104.0,CCB NNC_CCP JJD,.* .* .*,Only Detailed POS
301633,NNC_CCP JJD RBW_CCP,7.0,NNC_CCP JJD RBW_CCP,.* .* .*,Only Detailed POS
301634,NNC CCB PRI_CCP,230.0,NNC CCB PRI_CCP,.* .* .*,Only Detailed POS
301635,CCB PRI_CCP NNC,413.0,CCB PRI_CCP NNC,.* .* .*,Only Detailed POS
301636,PRI_CCP NNC DTC,84.0,PRI_CCP NNC DTC,.* .* .*,Only Detailed POS
301638,CCB DTCP NNP_CCP,18.0,CCB DTCP NNP_CCP,.* .* .*,Only Detailed POS
301639,VBTR_VBAF CCP VBH,6.0,VBTR_VBAF CCP VBH,.* .* .*,Only Detailed POS
301640,VBH RBI PRP_CCP,3.0,VBH RBI PRP_CCP,.* .* .*,Only Detailed POS
301641,NNC CCB JJN_CCP,133.0,NNC CCB JJN_CCP,.* .* .*,Only Detailed POS
301647,PRP_CCP NNC CCT,7.0,PRP_CCP NNC CCT,.* .* .*,Only Detailed POS
301649,CDB NNC_CCP NNP,14.0,CDB NNC_CCP NNP,.* .* .*,Only Detailed POS
301650,NNC_CCP NNP LM,215.0,NNC_CCP NNP .*,.* .* .*,Only Detailed POS
301652,VBTR_CCP DTC NNC,22.0,VBTR_CCP DTC NNC,.* .* .*,Only Detailed POS
301653,JJD_CCP NNC CCT,620.0,JJD_CCP NNC CCT,.* .* .*,Only Detailed POS
301654,JJN_CCP NNC VBW,26.0,JJN_CCP NNC VBW,.* .* .*,Only Detailed POS
301656,RBI DTC PRQ_CCP,3.0,RBI DTC PRQ_CCP,.* .* .*,Only Detailed POS
301657,JJN_CCP NNC DTC,85.0,JJN_CCP NNC DTC,.* .* .*,Only Detailed POS
301658,VBTS CCB NNP_CCP,23.0,VBTS CCB NNP_CCP,.* .* .*,Only Detailed POS
301661,NNP RBW PRSP_CCP,2.0,NNP RBW PRSP_CCP,.* .* .*,Only Detailed POS
301662,PRSP_CCP VBOF DTC,5.0,PRSP_CCP VBOF DTC,.* .* .*,Only Detailed POS
301663,VBOF DTC NNC_CCP,31.0,VBOF DTC NNC_CCP,.* .* .*,Only Detailed POS
301664,DTC NNC_CCP PRO,60.0,DTC NNC_CCP PRO,.* .* .*,Only Detailed POS
301666,DTC NNPA RBW_CCP,2.0,DTC NNPA RBW_CCP,.* .* .*,Only Detailed POS
301667,NNPA RBW_CCP CDB,6.0,NNPA RBW_CCP CDB,.* .* .*,Only Detailed POS
301668,RBW_CCP CDB VBW,4.0,RBW_CCP CDB VBW,.* .* .*,Only Detailed POS
301669,PRP_CCP VBW CCB,9.0,PRP_CCP VBW CCB,.* .* .*,Only Detailed POS
301671,CCA CCT NNP_CCP,3.0,CCA CCT NNP_CCP,.* .* .*,Only Detailed POS
301672,RBW_CCP NNP CDB,162.0,RBW_CCP NNP CDB,.* .* .*,Only Detailed POS
301673,NNP JJN_CCP NNC,6.0,NNP JJN_CCP NNC,.* .* .*,Only Detailed POS
301675,DTC JJCS_JJD CCP,46.0,DTC JJCS_JJD CCP,.* .* .*,Only Detailed POS
301676,JJCS_JJD CCP NNC,85.0,JJCS_JJD CCP NNC,.* .* .*,Only Detailed POS
301678,VBW CCT JJN_CCP,8.0,VBW CCT JJN_CCP,.* .* .*,Only Detailed POS
301679,CCT JJN_CCP NNC,296.0,CCT JJN_CCP NNC,.* .* .*,Only Detailed POS
301682,NNP CCT JJN_CCP,38.0,NNP CCT JJN_CCP,.* .* .*,Only Detailed POS
301683,JJN_CCP NNC CCT,155.0,JJN_CCP NNC CCT,.* .* .*,Only Detailed POS
301684,VBAF DTC NNC_CCP,5.0,VBAF DTC NNC_CCP,.* .* .*,Only Detailed POS
301685,DTC NNC_CCP NNP,58.0,DTC NNC_CCP NNP,.* .* .*,Only Detailed POS
301686,NNC_CCP NNP CCT,41.0,NNC_CCP NNP CCT,.* .* .*,Only Detailed POS
301690,JJCS_JJD_CCP VBTS CCB,3.0,JJCS_JJD_CCP VBTS CCB,.* .* .*,Only Detailed POS
301691,RBW_CCP JJN_CCP DTCP,2.0,RBW_CCP JJN_CCP DTCP,.* .* .*,Only Detailed POS
301692,JJN_CCP DTCP NNC,44.0,JJN_CCP DTCP NNC,.* .* .*,Only Detailed POS
301693,NNP DTC NNC_CCP,16.0,NNP DTC NNC_CCP,.* .* .*,Only Detailed POS
301695,CCB CDB NNC_CCP,37.0,CCB CDB NNC_CCP,.* .* .*,Only Detailed POS
301696,RBW_CCP PRI_CCP NNC,23.0,RBW_CCP PRI_CCP NNC,.* .* .*,Only Detailed POS
301697,PRI_CCP NNC LM,1336.0,PRI_CCP NNC .*,.* .* .*,Only Detailed POS
301698,JJN_CCP JJD_CCP NNC,53.0,JJN_CCP JJD_CCP NNC,.* .* .*,Only Detailed POS
301699,VBTS RBW_CCP NNC,37.0,VBTS RBW_CCP NNC,.* .* .*,Only Detailed POS
301700,RBW_CCP NNC CCB,83.0,RBW_CCP NNC CCB,.* .* .*,Only Detailed POS
301701,PRO DTC JJCS_JJD_CCP,12.0,PRO DTC JJCS_JJD_CCP,.* .* .*,Only Detailed POS
301702,DTC JJCS_JJD_CCP NNC,62.0,DTC JJCS_JJD_CCP NNC,.* .* .*,Only Detailed POS
301703,JJCS_JJD_CCP NNC CCP,23.0,JJCS_JJD_CCP NNC CCP,.* .* .*,Only Detailed POS
301704,RBI DTC JJN_CCP,5.0,RBI DTC JJN_CCP,.* .* .*,Only Detailed POS
301705,DTC JJN_CCP VBTS_CCP,4.0,DTC JJN_CCP VBTS_CCP,.* .* .*,Only Detailed POS
301706,JJN_CCP VBTS_CCP NNC,3.0,JJN_CCP VBTS_CCP NNC,.* .* .*,Only Detailed POS
301707,VBTS_CCP NNC LM,157.0,VBTS_CCP NNC .*,.* .* .*,Only Detailed POS
301709,JJD_CCP VBTR CCB,11.0,JJD_CCP VBTR CCB,.* .* .*,Only Detailed POS
301710,VBTR CCB JJN_CCP,20.0,VBTR CCB JJN_CCP,.* .* .*,Only Detailed POS
301711,CCB JJN_CCP NNC,284.0,CCB JJN_CCP NNC,.* .* .*,Only Detailed POS
301713,NNP LM RBD_CCP,85.0,NNP .* RBD_CCP,.* .* .*,Only Detailed POS
301714,CCA NNP RBW_CCP,2.0,CCA NNP RBW_CCP,.* .* .*,Only Detailed POS
301715,NNP RBW_CCP VBTS_CCP,12.0,NNP RBW_CCP VBTS_CCP,.* .* .*,Only Detailed POS
301717,NNP LM JJD_CCP,162.0,NNP .* JJD_CCP,.* .* .*,Only Detailed POS
301718,LM JJD_CCP VBTS,53.0,.* JJD_CCP VBTS,.* .* .*,Only Detailed POS
301719,JJD_CCP VBTS CCT,16.0,JJD_CCP VBTS CCT,.* .* .*,Only Detailed POS
301721,LM RBD_CCP VBTR,43.0,.* RBD_CCP VBTR,.* .* .*,Only Detailed POS
301722,RBD_CCP VBTR DTC,6.0,RBD_CCP VBTR DTC,.* .* .*,Only Detailed POS
301723,JJN_CCP NNC RBW,64.0,JJN_CCP NNC RBW,.* .* .*,Only Detailed POS
301724,VBTS DTC PRSP_CCP,59.0,VBTS DTC PRSP_CCP,.* .* .*,Only Detailed POS
301726,CDB JJD_CCP NNC,6.0,CDB JJD_CCP NNC,.* .* .*,Only Detailed POS
301728,RBW DTC JJD_CCP,11.0,RBW DTC JJD_CCP,.* .* .*,Only Detailed POS
301731,CCT PRQ_CCP JJD,7.0,CCT PRQ_CCP JJD,.* .* .*,Only Detailed POS
301732,CCB JJCS_JJD_CCP NNP,3.0,CCB JJCS_JJD_CCP NNP,.* .* .*,Only Detailed POS
301733,JJCS_JJD_CCP NNP CCT,3.0,JJCS_JJD_CCP NNP CCT,.* .* .*,Only Detailed POS
301734,DTC RBW_CCP VBTR,7.0,DTC RBW_CCP VBTR,.* .* .*,Only Detailed POS
301735,RBW_CCP VBTR CCT,14.0,RBW_CCP VBTR CCT,.* .* .*,Only Detailed POS
301736,PRP LM VBTR_CCP,5.0,PRP .* VBTR_CCP,.* .* .*,Only Detailed POS
301737,LM VBTR_CCP RBD,10.0,.* VBTR_CCP RBD,.* .* .*,Only Detailed POS
301738,VBTF CCT RBW_CCP,1.0,VBTF CCT RBW_CCP,.* .* .*,Only Detailed POS
301739,CCT RBW_CCP NNC,37.0,CCT RBW_CCP NNC,.* .* .*,Only Detailed POS
301740,RBW_CCP NNC CCT,42.0,RBW_CCP NNC CCT,.* .* .*,Only Detailed POS
301741,CCT NNC_CCP DTC,14.0,CCT NNC_CCP DTC,.* .* .*,Only Detailed POS
301742,NNC_CCP DTC DTCP,4.0,NNC_CCP DTC DTCP,.* .* .*,Only Detailed POS
301746,CCT PRC_CCP NNC,12.0,CCT PRC_CCP NNC,.* .* .*,Only Detailed POS
301747,NNC RBW_CCP VBTS_CCP,12.0,NNC RBW_CCP VBTS_CCP,.* .* .*,Only Detailed POS
301748,NNC CCB PRQ_CCP,36.0,NNC CCB PRQ_CCP,.* .* .*,Only Detailed POS
301749,CCB PRQ_CCP NNC,67.0,CCB PRQ_CCP NNC,.* .* .*,Only Detailed POS
301750,PRQ_CCP NNC CCT,36.0,PRQ_CCP NNC CCT,.* .* .*,Only Detailed POS
301753,PRSP_CCP NNC DTC,16.0,PRSP_CCP NNC DTC,.* .* .*,Only Detailed POS
301754,DTC JJC_CCP NNC,22.0,DTC JJC_CCP NNC,.* .* .*,Only Detailed POS
301755,JJC_CCP NNC LM,59.0,JJC_CCP NNC .*,.* .* .*,Only Detailed POS
301756,VBTF CCT NNC_CCP,15.0,VBTF CCT NNC_CCP,.* .* .*,Only Detailed POS
301759,CCT JJD_CCP NNC,543.0,CCT JJD_CCP NNC,.* .* .*,Only Detailed POS
301761,NNC CCT RBW_CCP,20.0,NNC CCT RBW_CCP,.* .* .*,Only Detailed POS
301763,JJD_CCP NNC DTC,78.0,JJD_CCP NNC DTC,.* .* .*,Only Detailed POS
301764,NNC DTC PRSP_CCP,62.0,NNC DTC PRSP_CCP,.* .* .*,Only Detailed POS
301765,NNP DTC JJN_CCP,24.0,NNP DTC JJN_CCP,.* .* .*,Only Detailed POS
301766,DTC JJN_CCP NNC,233.0,DTC JJN_CCP NNC,.* .* .*,Only Detailed POS
301767,CCT NNC_CCP PRO,95.0,CCT NNC_CCP PRO,.* .* .*,Only Detailed POS
301768,NNC_CCP PRO RBW,6.0,NNC_CCP PRO RBW,.* .* .*,Only Detailed POS
301769,CCT VBTS PRS_CCP,2.0,CCT VBTS PRS_CCP,.* .* .*,Only Detailed POS
301770,VBTS PRS_CCP NNC,6.0,VBTS PRS_CCP NNC,.* .* .*,Only Detailed POS
301771,NNP DTC RBI_CCP,2.0,NNP DTC RBI_CCP,.* .* .*,Only Detailed POS
301772,RBI_CCP PRI_CCP NNC,12.0,RBI_CCP PRI_CCP NNC,.* .* .*,Only Detailed POS
301773,PRI_CCP NNC CCT,382.0,PRI_CCP NNC CCT,.* .* .*,Only Detailed POS
301774,NNC_CCP PRO CCT,22.0,NNC_CCP PRO CCT,.* .* .*,Only Detailed POS
301775,PRS DTC PRSP_CCP,45.0,PRS DTC PRSP_CCP,.* .* .*,Only Detailed POS
301776,PRSP_CCP NNC NNPA,4.0,PRSP_CCP NNC NNPA,.* .* .*,Only Detailed POS
301779,NNC CCT RBD_CCP,5.0,NNC CCT RBD_CCP,.* .* .*,Only Detailed POS
301780,RBD_CCP VBTR RBW,4.0,RBD_CCP VBTR RBW,.* .* .*,Only Detailed POS
301782,DTC PRSP_CCP DTCP,135.0,DTC PRSP_CCP DTCP,.* .* .*,Only Detailed POS
301783,DTCP RBW_CCP NNC,7.0,DTCP RBW_CCP NNC,.* .* .*,Only Detailed POS
301784,VBTS CCB PRQ_CCP,16.0,VBTS CCB PRQ_CCP,.* .* .*,Only Detailed POS
301787,RBR CCT JJD_CCP,25.0,RBR CCT JJD_CCP,.* .* .*,Only Detailed POS
301788,JJD_CCP RBF VBTR,2.0,JJD_CCP RBF VBTR,.* .* .*,Only Detailed POS
301791,LM PRI_CCP NNC,1845.0,.* PRI_CCP NNC,.* .* .*,Only Detailed POS
301792,CCA PRO_CCP VBH,2.0,CCA PRO_CCP VBH,.* .* .*,Only Detailed POS
301793,VBH NNC_CCP JJD,10.0,VBH NNC_CCP JJD,.* .* .*,Only Detailed POS
301794,NNC_CCP JJD CCR,2.0,NNC_CCP JJD CCR,.* .* .*,Only Detailed POS
301795,VBTS CCT PRSP_CCP,74.0,VBTS CCT PRSP_CCP,.* .* .*,Only Detailed POS
301796,VBW CCB PRI_CCP,53.0,VBW CCB PRI_CCP,.* .* .*,Only Detailed POS
301797,NNC LM RBD_CCP,157.0,NNC .* RBD_CCP,.* .* .*,Only Detailed POS
301798,RBD_CCP VBTR CCT,7.0,RBD_CCP VBTR CCT,.* .* .*,Only Detailed POS
301800,NNPA LM VBTR_VBAF,19.0,NNPA .* VBTR_VBAF,.* .* .*,Only Detailed POS
301801,LM VBTR_VBAF CCP,107.0,.* VBTR_VBAF CCP,.* .* .*,Only Detailed POS
301802,VBTR_VBAF CCP CCT,8.0,VBTR_VBAF CCP CCT,.* .* .*,Only Detailed POS
301803,CCB NNC_CCP VBTR_VBAF,4.0,CCB NNC_CCP VBTR_VBAF,.* .* .*,Only Detailed POS
301804,NNC_CCP VBTR_VBAF CCB,8.0,NNC_CCP VBTR_VBAF CCB,.* .* .*,Only Detailed POS
301805,VBTR_VBAF CCB NNC,84.0,VBTR_VBAF CCB NNC,.* .* .*,Only Detailed POS
301806,VBS CCB JJD_CCP,2.0,VBS CCB JJD_CCP,.* .* .*,Only Detailed POS
301807,DTCP NNC_CCP VBTR,48.0,DTCP NNC_CCP VBTR,.* .* .*,Only Detailed POS
301808,NNC_CCP VBTR CCB,26.0,NNC_CCP VBTR CCB,.* .* .*,Only Detailed POS
301809,FW LM VBS_CCP,68.0,.* .* VBS_CCP,.* .* .*,Only Detailed POS
301811,DTC NNC_CCP FW,301.0,DTC NNC_CCP .*,.* .* .*,Only Detailed POS
301812,NNC_CCP FW LM,1591.0,NNC_CCP .* .*,.* .* .*,Only Detailed POS
301813,FW LM VBTR_VBAF,838.0,.* .* VBTR_VBAF,.* .* .*,Only Detailed POS
301814,LM VBTR_VBAF JJC,2.0,.* VBTR_VBAF JJC,.* .* .*,Only Detailed POS
