Pattern_ID,RoughPOS_N-Gram,DetailedPOS_N-Gram,Frequency
407598,,PRQ_CCP NNC CCP DTCP,2
407599,,NNC CCP DTCP NNC,69
407600,,CCP DTCP NNC CCB,85
407601,,RBW RBL PRS CCT,2
407602,,RBL PRS CCT JJD,2
407603,,PRS CCT JJD CCP,11
407604,,CCT JJD CCP NNC,445
407605,,JJD CCP NNC CCB,499
407606,,CCP NNC CCB NNP,258
407607,,VBTS CCB PRI RBI_CCP,10
407608,,PRI RBI_CCP VBTR CCP,3
407609,,RBI_CCP VBTR CCP NNC,5
407610,,VBTR CCP NNC CCT,30
407611,,CCP NNC CCT NNC,340
407612,,NNC CCT NNC CCB,1494
407613,,CCT NNC CCB NNC,1696
407614,,NNC CCB NNC CCB,1192
407615,,CCB NNC CCB NNP,581
407616,,CCB NNP NNP JJD,5
407617,,NNP NNP JJD CCT,11
407618,,NNP JJD CCT NNC,9
407619,,JJD CCT NNC CCB,172
407620,,CCP NNP PMC RBK,4
407621,,NNP PMC RBK RBQ,99
407622,,PMC RBK RBQ VBAF,5
407623,,RBK RBQ VBAF DTC,8
407624,,VBAF DTC JJD_CCP NNC,8
407625,,DTC JJD_CCP NNC CCT,97
407626,,JJD_CCP NNC CCT NNC_CCP,12
407627,,NNC CCT NNC_CCP JJD,40
407628,,CCT NNC_CCP JJD CCT,25
407629,,JJD CCT JJN_CCP NNC,7
407630,,CCT JJN_CCP NNC CCB,97
407631,,JJN_CCP NNC CCB NNP,71
407632,,NNC CCB NNP RBK,7
407633,,CCB NNP RBK RBQ,12
407634,,NNP RBK RBQ VBTS,24
407635,,RBK RBQ VBTS DTC,42
407636,,RBQ VBTS DTC JJN_CCP,2
407637,,VBTS DTC JJN_CCP NNC,15
407638,,DTC JJN_CCP NNC PMC,22
407639,,JJN_CCP NNC PMC DTC,21
407640,,NNC PMC DTC PRI,18
407641,,PMC DTC PRI CCT,5
407642,,DTC PRI CCT PRSP,9
407643,,PRI CCT PRSP LM,20
407644,,LM CDB NNC_CCP NNC,3
407645,,CDB NNC_CCP NNC CCP,46
407646,,NNC_CCP NNC CCP JJD_CCP,10
407647,,NNC CCP JJD_CCP NNC,33
407648,,CCP JJD_CCP NNC PMP,16
407649,,DTC DTCP VBTR_VBAF CCP,7
407650,,DTCP VBTR_VBAF CCP NNC,9
407651,,VBTR_VBAF CCP NNC CCA,3
407652,,CCP NNC CCA DTC,25
407653,,NNC CCA DTC DTCP,49
407654,,CCA DTC DTCP NNC,87
407655,,DTC DTCP NNC CCB,588
407656,,DTCP NNC CCB NNC,731
407657,,NNC CCB NNP LM,328
407658,,CCB NNP LM VBTR,47
407659,,NNP LM VBTR CCP,52
407660,,LM VBTR CCP RBM,4
407661,,VBTR CCP RBM VBW,3
407662,,CCP RBM VBW CCB,13
407663,,RBM VBW CCB NNC,23
407664,,VBW CCB NNC CCT,148
407665,,CCB NNC CCT NNC,723
407666,,NNC CCT NNC CCT,397
407667,,CCT NNC CCT NNC,378
407668,,NNC CCT NNC PMC,304
407669,,CCT NNC PMC JJD,15
407670,,NNC PMC JJD CCB,5
407671,,JJD CCB VBW CCP,3
407672,,CCB VBW CCP VBTR,2
407673,,VBW CCP VBTR CCT,2
407674,,CCP VBTR CCT DTCP,45
407675,,VBTR CCT DTCP NNC,90
407676,,CCT DTCP NNC RBL,21
407677,,DTCP NNC RBL JJD,3
407678,,VBTS PRP CCP VBH,2
407679,,CCP VBH JJCC JJD_CCP,3
407680,,VBH JJCC JJD_CCP NNC,7
407681,,JJCC JJD_CCP NNC CCT,41
407682,,JJD_CCP NNC CCT NNP,115
407683,,NNC CCT NNP PMC,287
407684,,CCT NNP PMC CCT,69
407685,,NNP PMC CCT RBF,24
407686,,PMC CCT RBF PRO,11
407687,,CCT RBF PRO VBTF,2
407688,,RBF PRO VBTF CCP,2
407689,,PRO VBTF CCP VBOF,2
407690,,VBTF CCP VBOF DTC,4
407691,,CCP VBOF DTC JJD_CCP,15
407692,,VBOF DTC JJD_CCP NNC,58
407693,,DTC JJD_CCP NNC PMP,33
407694,,JJN_CCP NNC DTC VBTS,56
407695,,NNC DTC VBTS CCA,46
407696,,DTC VBTS CCA DTC,5
407697,,VBTS CCA DTC PRI,3
407698,,CCA DTC PRI CCT,2
407699,,CCT PRSP LM VBTS,10
407700,,PRSP LM VBTS CCT,4
407701,,LM VBTS CCT NNC,324
407702,,VBTS CCT NNC PMP,99
407703,,CCB NNC_CCP VBTR CCP,2
407704,,NNC_CCP VBTR CCP NNPA,2
407705,,VBTR CCP NNPA NNP,7
407706,,CCP NNPA NNP CCP,3
407707,,NNPA NNP CCP DTC,3
407708,,NNP CCP DTC NNC,94
407709,,CCP DTC NNC LM,259
407710,,DTC NNC LM RBM,46
407711,,LM RBM VBAF CCB,20
407712,,RBM VBAF CCB NNC,12
407713,,VBAF CCB NNC CCB,40
407714,,CCB NNC CCB NNC,756
407715,,CCB NNC CCB CDB,27
407716,,NNC CCB CDB CCP,78
407717,,CCB CDB CCP NNP,4
407718,,CDB CCP NNP CCT,3
407719,,CCP NNP CCT NNC,10
407720,,NNP CCT NNC CCB,367
407721,,NNC CCB NNC CCP,597
407722,,CCB NNC CCP PRO,42
407723,,NNC CCP PRO CCB,8
407724,,CCP PRO CCB NNC,4
407725,,PRO CCB NNC PMP,10
407726,,CCB PRI_CCP NNC LM,8
407727,,PRI_CCP NNC LM VBAF,13
407728,,NNC LM VBAF CCT,130
407729,,LM VBAF CCT CDB,19
407730,,VBAF CCT CDB NNC_CCP,4
407731,,CCT CDB NNC_CCP NNC,18
407732,,NNC_CCP NNC CCP NNC,46
407733,,NNC CCP NNC CCA,37
407734,,CCP NNC CCA VBAF,8
407735,,NNC CCA VBAF CCT,35
407736,,CCA VBAF CCT JJD_CCP,6
407737,,VBAF CCT JJD_CCP NNC,42
407738,,CCT JJD_CCP NNC PMP,136
407739,,DTC JJN_CCP NNC LM,62
407740,,JJN_CCP NNC LM CCT,3
407741,,NNC LM CCT NNC,9
407742,,LM CCT NNC CCB,9
407743,,NNC CCB NNC CCT,1094
407744,,CCB NNC CCT NNP,315
407745,,NNC CCT NNP CCB,122
407746,,CCT NNP CCB NNP,306
407747,,NNP CCB NNP PMC,216
407748,,NNP PMC CCP RBK,10
407749,,PMC CCP RBK RBQ,26
407750,,CCP RBK RBQ LM,19
407751,,LM NNC CCB NNC,36
407752,,CCB NNC CCT CCT,184
407753,,NNC CCT CCT JJD_CCP,40
407754,,CCT CCT JJD_CCP NNC,67
407755,,CCT DTCP VBTF CCP,26
407756,,VBTF CCP JJD CCP,3
407757,,CCP JJD CCP NNC,71
407758,,JJD CCP NNC PMC,210
407759,,CCP NNC PMC VBS,8
407760,,NNC PMC VBS PRP_CCP,2
407761,,PMC VBS PRP_CCP VBOF,3
407762,,VBS PRP_CCP VBOF DTC,14
407763,,PRP_CCP VBOF DTC DTCP,12
407764,,VBOF DTC DTCP NNC,200
407765,,DTC DTCP NNC CCT,384
407766,,DTCP NNC CCT CCT,108
407767,,CCT VBTR_VBAF CCP NNC,8
407768,,VBTR_VBAF CCP NNC CCB,12
407769,,CCP NNC CCB NNC,454
407770,,VBTS PRP DTC NNC_CCP,5
407771,,PRP DTC NNC_CCP NNC,6
407772,,DTC NNC_CCP NNC NNC,2
407773,,NNC_CCP NNC NNC CCT,4
407774,,NNC NNC CCT NNC,85
407775,,NNC CCT NNC CCA,215
407776,,CCT NNC CCA NNC,166
407777,,NNC CCA NNC CCT,171
407778,,CCA NNC CCT JJD,8
407779,,NNC CCT JJD CCP,150
407780,,JJD CCP NNC JJC,17
407781,,CCP NNC JJC CCT,6
407782,,NNC JJC CCT NNP,7
407783,,CCT NNP NNP PMP,247
407784,,VBTS DTC JJD_CCP NNC,25
407785,,DTC JJD_CCP NNC CCA,20
407786,,JJD_CCP NNC CCA VBTS,13
407787,,NNC CCA VBTS DTC,46
407788,,CCA VBTS DTC PRI_CCP,10
407789,,VBTS DTC PRI_CCP FW,8
407790,,CCB NNC CCB JJD,27
407791,,NNC CCB JJD CCP,194
407792,,CCB JJD CCP NNC,403
407793,,JJD CCP NNC JJD,16
407794,,CCP NNC JJD RBW,2
407795,,RBW RBW VBTS PRP,2
407796,,RBW VBTS PRP CCT,5
407797,,VBTS PRP CCT NNC,18
407798,,PRP CCT NNC PMC,12
407799,,CCT NNC PMC LM,47
407800,,NNC PMC LM VBTS,103
407801,,RBD RBD CCA NNC,2
407802,,CCA NNC CCT NNC,86
407803,,CCB NNC CCP VBTS,129
407804,,NNC CCP VBTS CCT,301
407805,,CCP VBTS CCT NNC,192
407806,,CCT NNC CCB VBTS,28
407807,,NNC CCB VBTS CCB,9
407808,,CCB VBTS CCB NNC,11
407809,,VBTS CCB NNC CCB,251
407810,,NNC CCB JJD PMP,9
407811,,DTC NNP LM VBTS,110
407812,,NNP LM VBTS CCT,262
407813,,VBTS CCT NNC CCP,91
407814,,CCT NNC CCP CDB,99
407815,,NNC CCP CDB NNC,27
407816,,CCP CDB NNC CCT,10
407817,,CDB NNC CCT CDB,13
407818,,NNC CCT CDB CCT,8
407819,,CCT CDB CCT DTCP,4
407820,,CCT DTCP JJD_CCP NNC,164
407821,,DTCP JJD_CCP NNC CCB,96
407822,,JJD_CCP NNC CCB JJN_CCP,6
407823,,NNC CCB JJN_CCP NNC,161
407824,,CCB JJN_CCP NNC CCB,47
407825,,JJN_CCP NNC CCB NNC,153
407826,,NNC CCB NNC PMC,685
407827,,CCB NNC PMC CCT,105
407828,,NNC PMC CCT VBTS,34
407829,,PMC CCT VBTS CCB,19
407830,,CCT VBTS CCB NNC,26
407831,,VBTS CCB NNC CCP,157
407832,,VBTS CCT NNC CCT,97
407833,,NNC CCT NNC RBK,19
407834,,CCT NNC RBK RBQ,38
407835,,RBK RBQ RBT DTC,3
407836,,DTC PRSP_CCP VBTF NNC,2
407837,,PRSP_CCP VBTF NNC CCT,2
407838,,VBTF NNC CCT JJD_CCP,2
407839,,NNC CCT JJD_CCP NNC,203
407840,,CCT JJD_CCP NNC CCB,280
407841,,JJD_CCP NNC CCB NNC,441
407842,,NNC CCB NNC PMP,1067
407843,,CCR VBTR PRP DTC,4
407844,,VBTR PRP DTC PRSP_CCP,8
407845,,PRP DTC PRSP_CCP DTCP,10
407846,,DTC PRSP_CCP DTCP NNC,213
407847,,PRSP_CCP DTCP NNC CCP,39
407848,,DTCP NNC CCP NNC,108
407849,,NNC CCP NNC PMC,98
407850,,CCP NNC PMC VBTR,10
407851,,NNC PMC VBTR DTC,4
407852,,PMC VBTR DTC PRSP_CCP,3
407853,,VBTR DTC PRSP_CCP DTCP,14
407854,,PRSP_CCP DTCP NNC CCB,23
407855,,DTC NNC CCR CCT,20
407856,,NNC CCR CCT NNC,85
407857,,CCR CCT NNC CCB,127
407858,,CCT NNC CCB CDB,163
407859,,NNC CCB CDB NNC_CCP,11
407860,,CCB CDB NNC_CCP NNC,23
407861,,CCP JJD_CCP NNC CCB,38
407862,,JJD_CCP NNC CCB DTCP,98
407863,,NNC CCB DTCP NNC,1038
407864,,CCB DTCP NNC CCB,463
407865,,DTCP NNC CCB NNP,487
407866,,CCB NNP LM VBTS,197
407867,,NNP LM VBTS NNC,33
407868,,LM VBTS NNC CCB,36
407869,,VBTS NNC CCB JJD_CCP,9
407870,,NNC CCB JJD_CCP NNC,295
407871,,CCB JJD_CCP NNC CCB,154
407872,,NNC CCB NNC CCA,419
407873,,CCB NNC CCA NNC,201
407874,,NNC CCA NNC PMP,126
407875,,RBF VBTF CCT CDB,61
407876,,VBTF CCT CDB DTC,6
407877,,CCT CDB DTC VBTS,9
407878,,DTC VBTS NNC CCB,34
407879,,VBTS NNC CCB NNC,66
407880,,NNC CCB NNC RBW,94
407881,,CCB NNC RBW VBAF,6
407882,,NNC RBW VBAF DTC,21
407883,,VBAF DTC NNP_CCP NNP,2
407884,,DTC NNP_CCP NNP CCT,7
407885,,NNP_CCP NNP CCT NNP,22
407886,,NNP CCT NNP PMP,160
407887,,DTC DTCP NNC CCA,131
407888,,DTCP NNC CCA VBRF,2
407889,,NNC CCA VBRF RBR,2
407890,,CCA VBRF RBR CCT,2
407891,,CCT CCR PRQ_CCP NNC,2
407892,,PRQ_CCP NNC PMC NNC,4
407893,,NNC PMC NNC CCA,76
407894,,PMC NNC CCA NNC,65
407895,,NNC PMSC DTC NNC,9
407896,,PMSC DTC NNC LM,9
407897,,DTC NNC LM RBD_CCP,37
407898,,NNC LM RBD_CCP VBTR_VBAF,2
407899,,LM RBD_CCP VBTR_VBAF CCT,2
407900,,RBD_CCP VBTR_VBAF CCT DTCP,2
407901,,VBTR_VBAF CCT DTCP NNC_CCP,6
407902,,CCT DTCP NNC_CCP NNP,14
407903,,DTCP NNC_CCP NNP CCP,12
407904,,NNC_CCP NNP CCP VBH,6
407905,,NNP CCP VBH NNC,28
407906,,CCP VBH NNC CCP,62
407907,,VBH NNC CCP CDB,44
407908,,NNC CCP CDB RBW,7
407909,,CCP CDB RBW CDB,6
407910,,CDB RBW CDB CCA,2
407911,,CDB CCA DTC NNC,6
407912,,CCA DTC NNC DTC,2
407913,,DTC NNC DTC NNC_CCP,2
407914,,NNC DTC NNC_CCP VBTS,3
407915,,DTC NNC_CCP VBTS NNC,2
407916,,DTC NNP NNP NNP,247
407917,,NNP NNP NNP LM,225
407918,,NNP NNP LM VBTS,505
407919,,LM VBTS CCT PRSP_CCP,35
407920,,VBTS CCT PRSP_CCP JJD_CCP,7
407921,,CCT PRSP_CCP JJD_CCP NNC,46
407922,,PRSP_CCP JJD_CCP NNC CCT,21
407923,,JJD_CCP NNC CCT JJD_CCP,19
407924,,CCT JJD_CCP NNC CCT,104
407925,,JJD_CCP NNC CCT CCT,102
407926,,NNC CCT CCT NNP,110
407927,,CCT CCT NNP NNP,90
407928,,CCT NNP NNP NNC,15
407929,,NNP NNP NNC CCT,21
407930,,NNP NNC CCT NNP,33
407931,,NNC CCT NNP CCT,100
407932,,CCT NNP CCT NNC,63
407933,,NNP CCT NNC CCP,88
407934,,NNC CCP CDB CCA,8
407935,,CCP CDB CCA CDB,4
407936,,CDB CCA CDB PMP,21
407937,,PMS RBD_CCP VBTR CCB,2
407938,,RBD_CCP VBTR CCB DTCP,4
407939,,VBTR CCB DTCP NNC,203
407940,,CCB DTCP NNC DTC,177
407941,,DTCP NNC DTC NNC,68
407942,,NNC DTC NNC CCB,174
407943,,DTC NNC CCB NNC,1029
407944,,CCB NNC CCT VBTS,14
407945,,NNC CCT VBTS PRP,3
407946,,PRI_CCP JJC CCP NNC,4
407947,,JJC CCP NNC DTC,2
407948,,CCP NNC DTC VBTS,96
407949,,NNC DTC VBTS RBI,11
407950,,VBTS RBI RBW CCB,3
407951,,RBW CCB DTCP NNC,10
407952,,CCB DTCP NNC CCT,421
407953,,DTCP NNC CCT NNP,201
407954,,NNC CCT NNP NNP,475
407955,,NNP FW NNP CCP,34
407956,,NNP CCP PRS_CCP VBTS,8
407957,,CCP PRS_CCP VBTS CCP,4
407958,,PRS_CCP VBTS CCP DTC,2
407959,,VBTS CCP DTC PRI_CCP,5
407960,,CCP DTC PRI_CCP NNC,25
407961,,DTC PRI_CCP NNC LM,46
407962,,RBI RBF VBTR CCB,2
407963,,RBF VBTR CCB JJD,2
407964,,VBTR CCB JJD CCP,39
407965,,CCB JJD CCP NNP,12
407966,,JJD CCP NNP NNP,20
407967,,NNP NNP CCR CCT,35
407968,,CCR CCT RBF JJD,6
407969,,CCT RBF JJD CCP,6
407970,,RBF JJD CCP NNC,37
407971,,JJD CCP NNC CCT,430
407972,,NNC CCT NNC PMP,552
407973,,DTC JJC_CCP NNC LM,13
407974,,VBH VBTR_VBAF CCP NNC,4
407975,,CCP NNC RBW CCT,9
407976,,NNC RBW CCT DTC,3
407977,,CCT DTC JJD_CCP NNC,11
407978,,DTC JJD_CCP NNC LM,99
407979,,JJD_CCP NNC LM VBAF,12
407980,,NNC LM VBAF RBW_CCP,3
407981,,LM VBAF RBW_CCP NNC,3
407982,,RBW_CCP NNC CDB PMC,4
407983,,CDB PMC CCA CCT,9
407984,,PMC CCA CCT DTCP,7
407985,,CCA CCT DTCP JJD_CCP,3
407986,,DTCP JJD_CCP NNC PMC,58
407987,,JJD_CCP NNC PMC DTC,36
407988,,NNC PMC DTC NNC,172
407989,,PMC DTC NNC LM,141
407990,,DTC NNC LM JJCS_CCP,8
407991,,VBTS CCB CDB NNC,24
407992,,CCB CDB NNC DTC,8
407993,,CDB NNC DTC NNP,3
407994,,NNC DTC NNP VBW,3
407995,,JJD_CCP JJD_CCP NNC PMP,12
407996,,CCT RBI DTC NNP,4
407997,,RBI DTC NNP LM,5
407998,,DTC NNP LM VBH,21
407999,,LM VBH JJCC JJD_CCP,3
408000,,JJCC JJD_CCP NNC RBW,3
408001,,JJD_CCP NNC RBW CDB,3
408002,,NNC RBW CDB PMC,2
408003,,CDB PMC JJCC JJD,2
408004,,PMC JJCC JJD RBI,6
408005,,JJCC JJD RBI RBI,4
408006,,JJD RBI RBI DTC,39
408007,,RBI RBI DTC CCT,3
408008,,DTC CCT NNP CCA,2
408009,,CCT NNP CCA NNP,86
408010,,NNP CCA NNP RBW,13
408011,,NNP RBW RBW RBI,2
408012,,PRP DTC VBTR CCT,3
408013,,DTC VBTR CCT NNC,20
408014,,VBTR CCT NNC CCP,26
408015,,NNC CCP CDB CCT,16
408016,,CCT JJN_CCP JJD_CCP NNC,12
408017,,JJN_CCP JJD_CCP NNC CCB,15
408018,,CCB NNC RBW VBW,17
408019,,NNC RBW VBW DTC,41
408020,,RBW VBW DTC NNP,6
408021,,VBW DTC NNP PMP,6
408022,,JJN_CCP NNC LM VBTR_VBAF,3
408023,,NNC LM VBTR_VBAF CCB,20
408024,,LM VBTR_VBAF CCB CDB,4
408025,,VBTR_VBAF CCB CDB NNPA,2
408026,,CCB CDB NNPA CCT,2
408027,,CDB NNPA CCT NNC,2
408028,,NNPA CCT NNC CCB,26
408029,,CCB NNC CCA DTC,30
408030,,NNC CCA DTC JJN_CCP,3
408031,,CCA DTC JJN_CCP NNC,9
408032,,DTC DTCP NNC RBL,58
408033,,DTCP NNC RBL CCT,145
408034,,NNC RBL CCT DTCP,74
408035,,RBL CCT DTCP NNC,71
408036,,CCT DTCP NNC CCB,482
408037,,NNC CCB NNP CCP,351
408038,,CCB NNP CCP NNP,62
408039,,NNP CCP NNP CCA,7
408040,,CCP NNP CCA NNP,13
408041,,NNP CCA NNP PMC,98
408042,,CCA NNP PMC CCA,11
408043,,NNP PMC CCA CCT,25
408044,,PMC CCA CCT NNP,5
408045,,CCA CCT NNP CCT,3
408046,,CCT NNP CCT NNP,73
408047,,NNP CCT NNP LM,49
408048,,CCT NNP LM VBTR,20
408049,,NNP LM VBTR DTC,13
408050,,LM VBTR DTC DTCP,17
408051,,VBTR DTC DTCP NNC,94
408052,,DTC DTCP NNC RBW,22
408053,,NNC RBW CDB RBW,4
408054,,RBW CDB RBW CDB,21
408055,,CDB RBW CDB PMP,22
408056,,DTC NNP DTC VBTS,9
408057,,NNP DTC VBTS VBW,4
408058,,DTC VBTS VBW DTC,7
408059,,VBTS VBW DTC CDB,2
408060,,VBW DTC CDB NNC,11
408061,,DTC CDB NNC CCB,18
408062,,CDB NNC CCB DTC,2
408063,,NNC CCB DTC JJD_CCP,4
408064,,CCB DTC JJD_CCP NNC,7
408065,,CCB CCT JJCS_JJD_CCP NNC,2
408066,,CCT JJCS_JJD_CCP NNC DTC,2
408067,,NNC DTC VBW CCB,5
408068,,DTC VBW CCB PRI_CCP,2
408069,,VBW CCB PRI_CCP JJN_CCP,2
408070,,CCB PRI_CCP JJN_CCP NNC_CCP,2
408071,,PRI_CCP JJN_CCP NNC_CCP NNC,5
408072,,JJN_CCP NNC_CCP NNC CCP,21
408073,,NNC_CCP NNC CCP VBTS,28
408074,,CCP VBTS CCT PRSP_CCP,31
408075,,VBTS CCT PRSP_CCP NNC,61
408076,,CCT PRSP_CCP NNC CCT,157
408077,,PRSP_CCP NNC CCT NNP,95
408078,,CCT NNP PMC NNP,275
408079,,NNP PMC NNP PMC,387
408080,,PMC NNP PMC CCA,53
408081,,NNP PMC CCA DTC,89
408082,,PMC CCA DTC JJN_CCP,7
408083,,JJN CCP NNC_CCP NNC,27
408084,,CCP NNC_CCP NNC CCP,35
408085,,RBL CCT PRI_CCP NNC,33
408086,,CCT PRI_CCP NNC CCT,189
408087,,PRI_CCP NNC CCT NNP,112
408088,,NNP PMC NNP PMP,130
408089,,DTC NNC_CCP JJD CCP,14
408090,,NNC_CCP JJD CCP NNP,11
408091,,JJD CCP NNP LM,8
408092,,CCP NNP LM VBTS,24
408093,,NNP LM VBTS CCP,212
408094,,LM VBTS CCP RBW,9
408095,,VBTS CCP RBW CCT,7
408096,,CCP RBW CCT NNC,4
408097,,RBW CCT NNC CCB,71
408098,,NNC CCB NNP CCA,246
408099,,CCB NNP CCA NNP,160
408100,,NNP CCA NNP VBW,3
408101,,NNP VBW VBW DTC,4
408102,,VBW VBW DTC NNC,20
408103,,VBW DTC NNC CCB,151
408104,,DTC NNC CCB DTCP,330
408105,,CCB DTCP NNC PMP,232
408106,,RBW_CCP NNP PMC DTC,26
408107,,NNP PMC DTC DTCP,65
408108,,PMC DTC DTCP NNC,159
408109,,NNC CCB NNC DTC,175
408110,,CCB NNC DTC VBTS,60
408111,,NNC DTC VBTS CCB,72
408112,,DTC VBTS CCB NNC,78
408113,,CCB NNC CCP PRS_CCP,4
408114,,PRS_CCP DTC DTCP NNC,4
408115,,DTC DTCP NNC CCP,304
408116,,DTCP NNC CCP RBD_CCP,13
408117,,NNC CCP RBD_CCP VBW,9
408118,,CCP RBD_CCP VBW CCP,2
408119,,RBD_CCP VBW CCP RBL,2
408120,,VBW CCP RBL NNC,2
408121,,CCP RBL NNC CCT,3
408122,,RBL NNC CCT NNC,2
408123,,DTC JJD_CCP NNC CCB,220
408124,,CCB NNP LM RBL,11
408125,,NNP LM RBL JJD_CCP,5
408126,,CDB NNC RBW RBW_CCP,6
408127,,NNC RBW RBW_CCP JJD_CCP,3
408128,,RBW_CCP JJD_CCP JJN_CCP NNC,2
408129,,JJD_CCP JJN_CCP NNC CCP,3
408130,,JJN_CCP NNC CCP NNC,58
408131,,NNC CCP NNC PMP,128
408132,,DTC JJD CCP NNC,286
408133,,CCP NNC CCT DTCP,64
408134,,NNC CCT DTCP NNC,465
408135,,CCT DTCP NNC LM,70
408136,,NNC LM CCR CCT,12
408137,,LM CCR CCT NNC,13
408138,,CCR CCT NNC CCT,52
408139,,VBTS DTC NNP NNP,39
408140,,DTC NNP NNP CCT,61
408141,,NNP NNP CCT NNC_CCP,13
408142,,NNP CCT NNC_CCP PRO,14
408143,,CCT NNC_CCP PRO CCP,7
408144,,CCP VBH CDB NNC,28
408145,,NNC CDB PMC CCP,3
408146,,CDB PMC CCP VBH,8
408147,,PMC CCP VBH NNC_CCP,10
408148,,CCP VBH NNC_CCP CDB,12
408149,,VBH NNC_CCP CDB NNC,5
408150,,NNC_CCP CDB NNC PMP,2
408151,,CCB PRI_CCP NNC CCT,112
408152,,PRI_CCP NNC CCT PRSP_CCP,11
408153,,NNC CCT PRSP_CCP DTCP,49
408154,,CCT PRSP_CCP DTCP NNC,166
408155,,PRSP_CCP DTCP NNC CCT,95
408156,,NNC CCT NNP LM,96
408157,,CCT NNP LM RBD,5
408158,,NNP LM RBD CCP,27
408159,,LM RBD CCP VBTR_VBAF,15
408160,,RBD CCP VBTR_VBAF RBW,2
408161,,CCP VBTR_VBAF RBW JJD,2
408162,,CCB NNP_CCP NNC CCP,6
408163,,NNP_CCP NNC CCP VBH,3
408164,,NNC CCP VBH NNC_CCP,20
408165,,CCP VBH NNC_CCP NNP,6
408166,,NNP LM VBS_CCP VBH,4
408167,,VBH JJD_CCP NNC CCB,10
408168,,CCB NNP NNP PMC,216
408169,,NNP NNP PMC CCB,41
408170,,NNP PMC CCB RBM,2
408171,,DTC PRI RBI_CCP JJD,10
408172,,PRI RBI_CCP JJD CCP,16
408173,,RBI_CCP JJD CCP NNC,22
408174,,JJD CCP NNC CCP,215
408175,,CCP NNC CCP RBF,15
408176,,NNC CCP RBF JJD,13
408177,,CCP RBF JJD PMP,2
408178,,RBF VBAF DTC NNP,3
408179,,NNP CCA DTP NNP,21
408180,,CCA DTP NNP NNP,44
408181,,DTP NNP NNP LM,471
408182,,NNP NNP LM RBD_CCP,29
408183,,NNP LM RBD_CCP VBW,17
408184,,LM RBD_CCP VBW CCT,20
408185,,RBD_CCP VBW CCT JJN,2
408186,,CCT JJN NNC PMC,3
408187,,NNC PMC CCA PRS,9
408188,,CCA PRS RBI DTC,2
408189,,PRS RBI DTC JJD_CCP,2
408190,,RBD CCB NNC CCT,3
408191,,VBW CCB DTCP NNC,146
408192,,CCB DTCP NNC LM,101
408193,,DTCP NNC LM VBTR,113
408194,,NNC LM VBTR CCT,97
408195,,LM VBTR CCT NNC,60
408196,,VBTR CCT NNC CCB,123
408197,,CCB NNP NNP NNP,479
