Original Sentence,Gold Sentence,Corrected Sentence,Incorrect Words,Spell Suggestions
"Nang kanilang puntahan ang lugar, nakita nilang nakalugmok ang biktimana may mga tama ng bala sa kaliwang bahagi ng ulo at kaliwang dibdib.","Nang kanilang puntahan ang lugar, nakita nilang nakalugmok ang biktimana may mga tama ng bala sa kaliwang bahagi ng ulo at kaliwang dibdib.","Nang kanilang puntahan ang lugar, nakita nilang nakalugmok ang bibiktimang may mga tama ng bala sa kaliwang bahagi ng ulo at kaliwang dibdib.",['biktimana'],"{'biktimana': ['biktimang', 'biktima', 'bibiktimang', 'bigtihan', 'bigtihang']}"
"Ayon kay Los Angeles Police Officer Drake Madison, isang lalaki na may hawak na semi-automatic na handgun ang bumaril sa isang lalaki na nasa edad 30, bago tumakas ang salarin sa isang puting sasakyan at may dala-dalang dalawang French bulldog.","Ayon kay Los Angeles Police Officer Drake Madison, isang lalaki na may hawak na semi-automatic na handgun ang bumaril sa isang lalaki na nasa edad 30, bago tumakas ang salarin sa isang puting sasakyan at may dala-dalang dalawang French bulldog.","Ayon kay Los ages Police Officer atake bariton, isang lalaki na may hawak na semi-automatic na handgun ang bumaril sa isang lalaki na nasa edad ag, bago tumakas ang salarin sa isang puting sasakyan at may dala-dalang dalawang French bulador.","['Angeles', 'Drake', 'Marison', '30', 'bulldog']","{'Angeles': ['agecies', 'agents', 'ages', 'amperes', 'anakle'], 'Drake': ['brake', 'arabe', 'atake', 'brace', 'cake'], 'Marison': ['garison', 'arson', 'bariton', 'dagison', 'garisong'], '30': ['ab', 'ad', 'ag', 'ah', 'ak'], 'bulldog': ['buldog', 'bulabog', 'bulador', 'bulbog', 'bullion']}"
"Nagpapasalamat na lang din ako na binigyan nila ako ng gano’ng title, pero iba naman yung title sa passion,” dagdag ng dalaga.","Nagpapasalamat na lang din ako na binigyan nila ako ng gano’ng title, pero iba naman yung title sa passion,” dagdag ng dalaga.","Nagpapasalamat na lang din ako na binigyan nila ako ng gaano’ng title, pero iba naman yung title sa passion,” dagdag ng dalaga.",['gano'],"{'gano': ['aano', 'ano', 'gaano', 'gabo', 'gago']}"
Wala talagang isang factor na magsasabi kung bakit nagkaka-twining.,Wala talagang isang factor na magsasabi kung bakit nagkaka-twining.,Wala talagang isang factor na magsasabi kung bakit nagkaka-amining.,['twining'],"{'twining': ['tining', 'akining', 'amining', 'awiting', 'bining']}"
"Sa kabila nito, ipinagtanggol ng nakababatang Duterte ang karapatan ng ama na hindi mag-endorso.","Sa kabila nito, ipinagtanggol ng nakababatang Duterte ang karapatan ng ama na hindi mag-endorso.","Sa kabila nito, ipinagtanggol ng nakababatang suwerte ang karapatan ng ama na hindi mag-endorso.",['Duterte'],"{'Duterte': ['butete', 'puwerte', 'suwerte', 'terte', 'bunete']}"
Bubusisiin din ng Kamara ang pinaniniwalaang sabwatan ng ilang tiwaling opisyal ng pamahalaan sa mga lokal na consignees sapagkat sila ang ginagamit ng mga smuggler upang palusutin ang kanilang mga kalakal.,Bubusisiin din ng Kamara ang pinaniniwalaang sabwatan ng ilang tiwaling opisyal ng pamahalaan sa mga lokal na consignees sapagkat sila ang ginagamit ng mga smuggler upang palusutin ang kanilang mga kalakal.,Bubusisiin din ng Kamara ang pinaniniwalaang sabwatan ng ilang tiwaling opisyal ng pamahalaan sa mga lokal na consignees sapagkat sila ang ginagamit ng mga smuggler upang palusutin ang kanilang mga kalakal.,[],{}
Karamihan sa mga kaso ay mga bata na may edad 11-taong gulang pababa.,Karamihan sa mga kaso ay mga bata na may edad 11-taong gulang pababa.,Karamihan sa mga kaso ay mga bata na may edad ag-taong gulang pababa.,['11'],"{'11': ['ab', 'ad', 'ag', 'ah', 'ak']}"
Unang tinukoy ni Yumol na matinding galit ang nag-udyok sa kanya na magawa ang krimen ay dahil na rin aniya sa dinanas nitong sobrang panggigipit ng pamilya Furigay na humantong sa pagpaplano nitong patayin ang alkalde.,Unang tinukoy ni Yumol na matinding galit ang nag-udyok sa kanya na magawa ang krimen ay dahil na rin aniya sa dinanas nitong sobrang panggigipit ng pamilya Furigay na humantong sa pagpaplano nitong patayin ang alkalde.,Unang tinukoy ni budol na matinding galit ang nag-udyok sa kanya na magawa ang krimen ay dahil na rin aniya sa dinanas nitong sobrang panggigipit ng pamilya bibigay na humantong sa pagpaplano nitong patayin ang alkalde.,"['Yumol', 'Furigay']","{'Yumol': ['amol', 'bimol', 'budol', 'buhol', 'bukol'], 'Furigay': ['bumigay', 'arimay', 'bibigay', 'bigay', 'binigay']}"
"Sa rami raw ng gatas niya, namigay pa siya sa ibang mommy na walang gatas para mas tumibay ang kanilang mga anak laban sa sakit.","Sa rami raw ng gatas niya, namigay pa siya sa ibang mommy na walang gatas para mas tumibay ang kanilang mga anak laban sa sakit.","Sa rami raw ng gatas niya, namigay pa siya sa ibang mommy na walang gatas para mas tumibay ang kanilang mga anak laban sa sakit.",[],{}
"Na namatay noong 1998 sa edad 2, ay naging pangulo mula noong December 1965, at napatalsik sa pamamagitan ng People Power Revolution in February 1986.","Na namatay noong 1998 sa edad 2, ay naging pangulo mula noong December 1965, at napatalsik sa pamamagitan ng People Power Revolution in February 1986.","Na namatay noong aako sa edad d, ay naging pangulo mula noong decker aaba, at napatalsik sa pamamagitan ng People Power Revolution in bruas aako.","['1998', '2', 'December', '1965', 'February', '1986']","{'1998': ['aaba', 'aag', 'aako', 'aal', 'aala'], '2': ['b', 'c', 'd', 'e', 'f'], 'December': ['deber', 'deceased', 'decker', 'dedeliber', 'deemed'], '1965': ['p25', 'p75', 'aaba', 'aag', 'aako'], 'February': ['ferry', 'library', 'bruas', 'buay', 'century'], '1986': ['aaba', 'aag', 'aako', 'aal', 'aala']}"
"Pero bumabalik pa rin siya, sabi ni Evelyn.","Pero bumabalik pa rin siya, sabi ni Evelyn.","Pero bumabalik pa rin siya, sabi ni every.",['Evelyn'],"{'Evelyn': ['even', 'evenly', 'every', 'beverly', 'develop']}"
"Dapat lang naman kasi constructive ang sasabihin mo, huwag yung tipo na para bang sobra nang bastos ang pagpuna.","Dapat lang naman kasi constructive ang sasabihin mo, huwag yung tipo na para bang sobra nang bastos ang pagpuna.","Dapat lang naman kasi constructive ang sasabihin mo, huwag yung tipo na para bang sobra nang bastos ang pagpuna.",[],{}
"Ayon sa ulat ng United Nations Food and Agriculture Organization (FAO), 59 milyong Pilipino ang nakaranas ng food insecurity, o bahagya hanggang malubhang kawalan ng pagkuha ng pagkain.","Ayon sa ulat ng United Nations Food and Agriculture Organization (FAO), 59 milyong Pilipino ang nakaranas ng food insecurity, o bahagya hanggang malubhang kawalan ng pagkuha ng pagkain.","Ayon sa ulat ng United Nations Food and Agriculture Organization (cao), ag milyong Pilipino ang nakaranas ng food insecurity, o bahagya hanggang malubhang kawalan ng pagkuha ng pagkain.","['FAO', '59']","{'FAO': ['ao', 'bao', 'cao', 'dao', 'fan'], '59': ['ab', 'ad', 'ag', 'ah', 'ak']}"
Sinasabing sakay ng Honda City na may plakang NDR 7213 ang mga biktima na minamaneho ni Ognes mula P.,Sinasabing sakay ng Honda City na may plakang NDR 7213 ang mga biktima na minamaneho ni Ognes mula P.,Sinasabing sakay ng ronda City na may plakang nur aaba ang mga biktima na minamaneho ni agnas mula P.,"['Honda', 'NDR', '7213', 'Ognes']","{'Honda': ['handa', 'onda', 'ronda', 'sonda', 'banda'], 'NDR': ['ncr', 'nor', 'nur', 'ad', 'ada'], '7213': ['p25', 'p3', 'aaba', 'aag', 'aako'], 'Ognes': ['ones', 'ages', 'agnas', 'agnos', 'arnes']}"
"Doon po, napaupo na lang po ako eh Yung pera na yun pinagipunan ng kapatid ko na construction worker sa ibang bansa, sambit ng biktima.","Doon po, napaupo na lang po ako eh Yung pera na yun pinagipunan ng kapatid ko na construction worker sa ibang bansa, sambit ng biktima.","Doon po, kakaupo na lang po ako eh Yung pera na yun pinagbaunan ng kapatid ko na construction worker sa ibang bansa, sambit ng biktima.","['napaupo', 'pinagipunan']","{'napaupo': ['nakaupo', 'napaubo', 'kakaupo', 'makaupo', 'nagpaulo'], 'pinagipunan': ['pinagpunan', 'pinagtipunan', 'pinagbaunan', 'pinagkunan', 'pinagpunang']}"
"Sa tulong ng mga barangay, inabisuhan ang mga apektadong pamilya na mahigpit na pagbaba-walan ang mga residente na lumabas ng kanilang mga tahanan sa buong panahon ng lockdown mali-ban na lang kung medical frontliners, essential government employees, mga pulis, mga opisyales ng barangay at mga indibiduwal na nangangailangan ng atensyong medikal.","Sa tulong ng mga barangay, inabisuhan ang mga apektadong pamilya na mahigpit na pagbaba-walan ang mga residente na lumabas ng kanilang mga tahanan sa buong panahon ng lockdown mali-ban na lang kung medical frontliners, essential government employees, mga pulis, mga opisyales ng barangay at mga indibiduwal na nangangailangan ng atensyong medikal.","Sa tulong ng mga barangay, inabisuhan ang mga apektadong pamilya na mahigpit na pagbaba-kalan ang mga residente na lumabas ng kanilang mga tahanan sa buong panahon ng lockdown mali-ban na lang kung medical frontliners, essential government employees, mga pulis, mga opisyales ng barangay at mga indibiduwal na nangangailangan ng atensyong medikal.",['walan'],"{'walan': ['alan', 'galan', 'kalan', 'talan', 'wala']}"
"Ngunit ang hindi alam ng biktima, kumuha ng espada at itak ang suspek at sinundan siya.","Ngunit ang hindi alam ng biktima, kumuha ng espada at itak ang suspek at sinundan siya.","Ngunit ang hindi alam ng biktima, kumuha ng espada at itak ang suspek at sinundan siya.",[],{}
Binigyan din daw kaya noon ni Gerald si Bea ng Rolex?,Binigyan din daw kaya noon ni Gerald si Bea ng Rolex?,Binigyan din daw kaya noon ni Gerald si beam ng alex?,"['Bea', 'Rolex']","{'Bea': ['ba', 'be', 'beam', 'bear', 'beat'], 'Rolex': ['role', 'roles', 'alex', 'dole', 'flex']}"
Labing-anim na taong gulang pa lamang noon si Bugoy Cariño nang nagbuntis ang kasintahang si EJ Laure.,Labing-anim na taong gulang pa lamang noon si Bugoy Cariño nang nagbuntis ang kasintahang si EJ Laure.,Labing-anim na taong gulang pa lamang noon si bugok casino nang nagbuntis ang kasintahang si eh laurel.,"['Bugoy', 'Cariño', 'EJ', 'Laure']","{'Bugoy': ['buboy', 'bugnoy', 'bugok', 'buoy', 'iugoy'], 'Cariño': ['cargo', 'caring', 'casino', 'marino', 'narito'], 'EJ': ['e', 'ed', 'eh', 'el', 'em'], 'Laure': ['lakre', 'laude', 'laurel', 'are', 'aura']}"
Sinabi rin ni Belmonte na mayroon din silang Jobs fair caravan na ilalagay sa mga distrito upang mailapit sa tao ang mga trabaho na maaari nilang aplayan at mapasukan para iwas sa gastos sa pamasahe sa paghahanap ng trabaho.,Sinabi rin ni Belmonte na mayroon din silang Jobs fair caravan na ilalagay sa mga distrito upang mailapit sa tao ang mga trabaho na maaari nilang aplayan at mapasukan para iwas sa gastos sa pamasahe sa paghahanap ng trabaho.,Sinabi rin ni bente na mayroon din silang Jobs fair caravan na ilalagay sa mga distrito upang mailapit sa tao ang mga trabaho na maaari nilang aplayan at mapasukan para iwas sa gastos sa pamasahe sa paghahanap ng trabaho.,['Belmonte'],"{'Belmonte': ['beinte', 'belong', 'bente', 'bolante', 'bulante']}"
"Kwento ng biktimang isang college student, pauwi na siya galing school at nag-aabang ng jeep pasado alas-sais Martes ng gabi nang mapinsin niya ang isang lalaki na tumitingin sa kanya.","Kwento ng biktimang isang college student, pauwi na siya galing school at nag-aabang ng jeep pasado alas-sais Martes ng gabi nang mapinsin niya ang isang lalaki na tumitingin sa kanya.","Kwento ng biktimang isang college student, pauwi na siya galing school at nag-aabang ng jeep pasado alas-sais Martes ng gabi nang daginsin niya ang isang lalaki na tumitingin sa kanya.",['mapinsin'],"{'mapinsin': ['mapansin', 'masinsin', 'daginsin', 'hapisin', 'kapansin']}"
Inaabisuhan ni Sobejana ang publiko na ma-ging kalmado at ibibigay ng AFP angseguridad sa bawat Filipino.,Inaabisuhan ni Sobejana ang publiko na ma-ging kalmado at ibibigay ng AFP angseguridad sa bawat Filipino.,Inaabisuhan ni bobedang ang publiko na ma-ging kalmado at ibibigay ng atp seguridad sa bawat Filipino.,"['Sobejana', 'AFP', 'angseguridad']","{'Sobejana': ['bejana', 'soberanya', 'bobedang', 'nobelang', 'nobena'], 'AFP': ['ap', 'app', 'atp', 'dfp', 'aag'], 'angseguridad': ['pangseguridad', 'panseguridad', 'seguridad', 'integridad', 'siguridad']}"
"Humingi umano ang ikalawang grupo ng P400,000 na ransom sa pamilya ng mga biktima.","Humingi umano ang ikalawang grupo ng P400,000 na ransom sa pamilya ng mga biktima.","Humingi umano ang ikalawang grupo ng p3,aam na ransom sa pamilya ng mga biktima.","['P400', '000']","{'P400': ['p', 'p25', 'p3', 'p57', 'p75'], '000': ['aag', 'aal', 'aam', 'aat', 'aaw']}"
"February 2010 naman nang tuluyang maghiwalay ang dalawa dahil ayon kay Ruffa, tutol ang ABS-CBN management sa kanilang relasyon.","February 2010 naman nang tuluyang maghiwalay ang dalawa dahil ayon kay Ruffa, tutol ang ABS-CBN management sa kanilang relasyon.","bruas aako naman nang tuluyang maghiwalay ang dalawa dahil ayon kay rumba, tutol ang abf-ab management sa kanilang relasyon.","['February', '2010', 'Ruffa', 'ABS', 'CBN']","{'February': ['ferry', 'library', 'bruas', 'buay', 'century'], '2010': ['aaba', 'aag', 'aako', 'aal', 'aala'], 'Ruffa': ['rubya', 'rula', 'rumba', 'ruta', 'aruga'], 'ABS': ['ab', 'aba', 'abf', 'abo', 'ads'], 'CBN': ['can', 'con', 'ab', 'aba', 'aban']}"
"Kung may magtatayo ng community pantry para sa mga mahihirap dito sa amin, tutulong ako.","Kung may magtatayo ng community pantry para sa mga mahihirap dito sa amin, tutulong ako.","Kung may magtatayo ng community pantry para sa mga mahihirap dito sa amin, tutulong ako.",[],{}
Hindi ko lang alam kung yun pa rin ang role niya na isang artistang na-link sa karakter ni John Lloyd.,Hindi ko lang alam kung yun pa rin ang role niya na isang artistang na-link sa karakter ni John Lloyd.,Hindi ko lang alam kung yun pa rin ang role niya na isang artistang na-link sa karakter ni John cloud.,['Lloyd'],"{'Lloyd': ['aloy', 'blood', 'cloud', 'flood', 'llaya']}"
"Ayon sa pulisya, walang maipakitang ID ang suspek bagaman may ibinigay umano itong serial number.","Ayon sa pulisya, walang maipakitang ID ang suspek bagaman may ibinigay umano itong serial number.","Ayon sa pulisya, walang maipakitang ID ang suspek bagaman may ibinigay umano itong serial number.",[],{}
May naririnig daw siyang nakikipag-usap sa ilang talent para sa kanilang mga inihahandang programa though sabi nga ng isang showbiz observer matagal pa bago mangyari ito dahil wala pa nga ang mga equipment ng Villar TV unless nga raw magkaroon ng partnership sa ABS-CBN.,May naririnig daw siyang nakikipag-usap sa ilang talent para sa kanilang mga inihahandang programa though sabi nga ng isang showbiz observer matagal pa bago mangyari ito dahil wala pa nga ang mga equipment ng Villar TV unless nga raw magkaroon ng partnership sa ABS-CBN.,May naririnig daw siyang nakikipag-usap sa ilang talent para sa kanilang mga inihahandang programa though sabi nga ng isang showbiz observer matagal pa bago mangyari ito dahil wala pa nga ang mga equipment ng villas TV unless nga raw magkaroon ng partnership sa abf-ab.,"['Villar', 'ABS', 'CBN']","{'Villar': ['pillar', 'villa', 'villas', 'bilyar', 'collar'], 'ABS': ['ab', 'aba', 'abf', 'abo', 'ads'], 'CBN': ['can', 'con', 'ab', 'aba', 'aban']}"
Una nang napaulat na dinukot ng mga armadong lalaki ang mag-asawa at nagawa lang makatakas ng kanilang driver matapos bugbugin.,Una nang napaulat na dinukot ng mga armadong lalaki ang mag-asawa at nagawa lang makatakas ng kanilang driver matapos bugbugin.,Una nang napaulat na dinukot ng mga armadong lalaki ang mag-asawa at nagawa lang makatakas ng kanilang driver matapos bugbugin.,[],{}
"And yes, ilang scholar nga ng kanyang foundation ang nakapagtapos na ng pag-aaral kaya naman abot-langit ngayon ang kaligayahan ng Kapuso Drama Prince.","And yes, ilang scholar nga ng kanyang foundation ang nakapagtapos na ng pag-aaral kaya naman abot-langit ngayon ang kaligayahan ng Kapuso Drama Prince.","And yes, ilang scholar nga ng kanyang foundation ang nakapagtapos na ng pag-aaral kaya naman abot-langit ngayon ang kaligayahan ng abuso Drama iprice.","['Kapuso', 'Prince']","{'Kapuso': ['kapus', 'aabuso', 'abuso', 'baruso', 'isapuso'], 'Prince': ['price', 'princes', 'iprice', 'piece', 'pine']}"
Malamang na um-attend naman sila ng misis niyang si Sarah Lahbati kapag natuloy yung pa-block screening namin.,Malamang na um-attend naman sila ng misis niyang si Sarah Lahbati kapag natuloy yung pa-block screening namin.,Malamang na um-attend naman sila ng misis niyang si sarat kahati kapag natuloy yung pa-block screening namin.,"['Sarah', 'Lahbati']","{'Sarah': ['sara', 'sarap', 'sarat', 'saray', 'aarag'], 'Lahbati': ['babati', 'hahati', 'kahati', 'lahat', 'lahatin']}"
Nag-iisa ka pa rin siya.,Nag-iisa ka pa rin siya.,Nag-iisa ka pa rin siya.,[],{}
Mayorya anya ng mga mambabatas na miyembro ng kaniyang panel ang bumoto sa kanilang irerekomendang hatol kay Teves.,Mayorya anya ng mga mambabatas na miyembro ng kaniyang panel ang bumoto sa kanilang irerekomendang hatol kay Teves.,Mayorya anya ng mga mambabatas na miyembro ng kaniyang panel ang bumoto sa kanilang irerekomendang hatol kay ever.,['Teves'],"{'Teves': ['beses', 'even', 'ever', 'eyes', 'fees']}"
"Nilinaw na hindi lubos na tutol sa modernization program, iginiit ni Go na dapat bigyan ng gobyerno ng sapat na oras at suporta ang mga tradisyunal na jeepney operator sa transition hanggang sa makapag-adjust sa mga kinakailangan ng programa.","Nilinaw na hindi lubos na tutol sa modernization program, iginiit ni Go na dapat bigyan ng gobyerno ng sapat na oras at suporta ang mga tradisyunal na jeepney operator sa transition hanggang sa makapag-adjust sa mga kinakailangan ng programa.","Nilinaw na hindi lubos na tutol sa modernization program, iginiit ni Go na dapat bigyan ng gobyerno ng sapat na oras at suporta ang mga tradisyunal na jeepney operator sa transition hanggang sa makapag-adjust sa mga kinakailangan ng programa.",[],{}
"Dahil may withdrawal slip, natukoy ng Landbank ang may-ari ng pera at naibalik kay Lydia.","Dahil may withdrawal slip, natukoy ng Landbank ang may-ari ng pera at naibalik kay Lydia.","Dahil may withdrawal slip, natukoy ng aanibang ang may-ari ng pera at naibalik kay lia.","['Landbank', 'Lydia']","{'Landbank': ['landmark', 'aaniban', 'aanibang', 'andana', 'andyan'], 'Lydia': ['india', 'lehia', 'lia', 'lida', 'lihia']}"
"Samantala, nag-post din si Chesca ng litrato nila ni Doug at sinabing kapag may espesyal na okasyon ay hindi talaga nakakalimot ang asawa na regaluhan siya ng alahas.","Samantala, nag-post din si Chesca ng litrato nila ni Doug at sinabing kapag may espesyal na okasyon ay hindi talaga nakakalimot ang asawa na regaluhan siya ng alahas.","Samantala, nag-post din si chest ng litrato nila ni dong at sinabing kapag may espesyal na okasyon ay hindi talaga nakakalimot ang asawa na regaluhan siya ng alahas.","['Chesca', 'Doug']","{'Chesca': ['check', 'chess', 'chest', 'ahency', 'ahensya'], 'Doug': ['daug', 'dog', 'dong', 'drug', 'bog']}"
"Bukod sa Novavax, sinabi ni Romualdez na may isa pang kompanya sa Amerika na pinag-aaralan din aniya ang posibleng pagbubukas ng manufacturing plant ng bakuna sa Pilipinas para mapalawak ang kanilang operasyon sa Asya.","Bukod sa Novavax, sinabi ni Romualdez na may isa pang kompanya sa Amerika na pinag-aaralan din aniya ang posibleng pagbubukas ng manufacturing plant ng bakuna sa Pilipinas para mapalawak ang kanilang operasyon sa Asya.","Bukod sa novena, sinabi ni comrade na may isa pang kompanya sa anemika na pinag-aaralan din aniya ang posibleng pagbubukas ng manufacturing plant ng bakuna sa Pilipinas para mapalawak ang kanilang operasyon sa anya.","['Novavax', 'Romualdez', 'Amerika', 'Asya']","{'Novavax': ['naval', 'novela', 'novena', 'avai', 'avatar'], 'Romualdez': ['boulder', 'commander', 'comrade', 'comrades', 'komander'], 'Amerika': ['aberia', 'amerikana', 'anemika', 'aamerikana', 'abenida'], 'Asya': ['adya', 'aksya', 'anya', 'arya', 'asa']}"
"Kasabay nito, binalaan din ni Moreno ang mga traffic enforcers na wag gagawa ng iregularidad dahil tatamaan sila ng ‘one strike policy’ sa mga masasangkot sa extortion at iba pang anomalya sa pagganap sa kanilang trabaho.","Kasabay nito, binalaan din ni Moreno ang mga traffic enforcers na wag gagawa ng iregularidad dahil tatamaan sila ng ‘one strike policy’ sa mga masasangkot sa extortion at iba pang anomalya sa pagganap sa kanilang trabaho.","Kasabay nito, binalaan din ni forego ang mga traffic enforcers na wag gagawa ng iregularidad dahil tatamaan sila ng ‘one strike policy’ sa mga masasangkot sa extortion at iba pang anomalya sa pagganap sa kanilang trabaho.",['Moreno'],"{'Moreno': ['morena', 'eoseno', 'forego', 'ipreno', 'koreo']}"
Inamin naman ng suspek na siya ay nakainom ng alak nang mapatay nito ang kanyang kasamahang sundalo.,Inamin naman ng suspek na siya ay nakainom ng alak nang mapatay nito ang kanyang kasamahang sundalo.,Inamin naman ng suspek na siya ay nakainom ng alak nang mapatay nito ang kanyang kasamahang sundalo.,[],{}
"Hanggang sa ngayon, ang ating pinaghahawakang kumpletong ebidensiya ay ang isang bakunadong individual can still be infected and can still infect others, ani Vergeire.","Hanggang sa ngayon, ang ating pinaghahawakang kumpletong ebidensiya ay ang isang bakunadong individual can still be infected and can still infect others, ani Vergeire.","Hanggang sa ngayon, ang ating pinanghahawakan kumpletong ebidensiya ay ang isang bakunadong individual can still be infected and can still infect others, ani Vergeire.",['pinaghahawakang'],"{'pinaghahawakang': ['pinanghahawakang', 'pinaghahanapang', 'pinanghahawakan', 'ipinaghahawang', 'nahahawakang']}"
Mas maluwag at simple na rin diumano ang layout ng park sa kabuuang 3.4.,Mas maluwag at simple na rin diumano ang layout ng park sa kabuuang 3.4.,Mas maluwag at simple na rin diumano ang layout ng park sa kabuuang d.d.,"['3', '4']","{'3': ['b', 'c', 'd', 'e', 'f'], '4': ['b', 'c', 'd', 'e', 'f']}"
Ang pasyente ay nagkaroon umano ng lagnat noong Hulyo 21 na sinundan ng mga pantal sa mukha at katawan.,Ang pasyente ay nagkaroon umano ng lagnat noong Hulyo 21 na sinundan ng mga pantal sa mukha at katawan.,Ang pasyente ay nagkaroon umano ng lagnat noong Hulyo ag na sinundan ng mga pantal sa mukha at katawan.,['21'],"{'21': ['ab', 'ad', 'ag', 'ah', 'ak']}"
"Base sa ulat ng DepEd-NCR, sinabi ni DepEd spokesperson Michael Poa na ang mga naturang pampublikong paaralan at nag-o-operate na ng full capacity, o 100% ng kanilang mga estudyante ay nakabalik na sa kani-kanilang mga paaralan.","Base sa ulat ng DepEd-NCR, sinabi ni DepEd spokesperson Michael Poa na ang mga naturang pampublikong paaralan at nag-o-operate na ng full capacity, o 100% ng kanilang mga estudyante ay nakabalik na sa kani-kanilang mga paaralan.","Base sa ulat ng DepEd-NCR, sinabi ni DepEd spokesperson Michael pia na ang mga naturang pampublikong paaralan at nag-o-operate na ng full capacity, o aam% ng kanilang mga estudyante ay nakabalik na sa kani-kanilang mga paaralan.","['Poa', '100']","{'Poa': ['pa', 'paa', 'pia', 'pla', 'po'], '100': ['aag', 'aal', 'aam', 'aat', 'aaw']}"
