Pattern_ID,RoughPOS_N-Gram,RPOSN_Freq,DetailedPOS_N-Gram,DPOSN_Freq,Comparison_Replacement_Matrix,POS_N-Gram,Effective_Freq
600032,RB.* RB.*_CC.* VB.* CC.* NN.* CC.*,3.0,,,,RB.* RB.*_CC.* VB.* CC.* NN.* CC.*,3.0
600033,VB.* CC.* NN.* CC.* RB.*_CC.* NN.*,3.0,,,,VB.* CC.* NN.* CC.* RB.*_CC.* NN.*,3.0
600034,CC.* NN.* CC.* VB.* DT.* VB.*,2.0,,,,CC.* NN.* CC.* VB.* DT.* VB.*,2.0
600035,NN.* CC.* VB.* DT.* VB.* CC.*,4.0,,,,NN.* CC.* VB.* DT.* VB.* CC.*,4.0
600036,LM VB.* RB.* CC.* DT.* DT.*,2.0,,,,LM VB.* RB.* CC.* DT.* DT.*,2.0
600037,PM.* VB.*_CC.* VB.* CC.* VB.* CC.*,2.0,,,,PM.* VB.*_CC.* VB.* CC.* VB.* CC.*,2.0
600038,VB.* CC.* CC.* NN.* CC.* JJ.*_CC.*,3.0,,,,VB.* CC.* CC.* NN.* CC.* JJ.*_CC.*,3.0
600039,NN.* CC.* JJ.*_CC.* FW FW CC.*,2.0,,,,NN.* CC.* JJ.*_CC.* FW FW CC.*,2.0
600040,VB.* CC.* PR.*_CC.* NN.* CC.* CC.*,8.0,,,,VB.* CC.* PR.*_CC.* NN.* CC.* CC.*,8.0
600041,PM.* VB.* PR.* DT.* NN.* CC.*,10.0,,,,PM.* VB.* PR.* DT.* NN.* CC.*,10.0
600042,VB.* PR.* DT.* NN.* CC.* PR.*_CC.*,4.0,,,,VB.* PR.* DT.* NN.* CC.* PR.*_CC.*,4.0
600043,PR.* DT.* NN.* CC.* PR.*_CC.* NN.*,7.0,,,,PR.* DT.* NN.* CC.* PR.*_CC.* NN.*,7.0
600044,CC.* PR.*_CC.* NN.* DT.* NN.* PM.*,2.0,,,,CC.* PR.*_CC.* NN.* DT.* NN.* PM.*,2.0
600045,VB.* PR.* DT.* NN.* CC.* DT.*,6.0,,,,VB.* PR.* DT.* NN.* CC.* DT.*,6.0
600046,PR.* DT.* NN.* CC.* DT.* JJ.*_CC.*,2.0,,,,PR.* DT.* NN.* CC.* DT.* JJ.*_CC.*,2.0
600047,VB.* PR.* CC.* PR.*_CC.* NN.* CC.*,13.0,,,,VB.* PR.* CC.* PR.*_CC.* NN.* CC.*,13.0
600048,PR.* CC.* PR.*_CC.* NN.* CC.* DT.*,3.0,,,,PR.* CC.* PR.*_CC.* NN.* CC.* DT.*,3.0
600049,CC.* PR.*_CC.* NN.* CC.* DT.* NN.*,22.0,,,,CC.* PR.*_CC.* NN.* CC.* DT.* NN.*,22.0
600050,CC.* DT.* NN.* CC.* RB.* JJ.*_CC.*,3.0,,,,CC.* DT.* NN.* CC.* RB.* JJ.*_CC.*,3.0
600051,CC.* PR.*_CC.* NN.* CC.* VB.* DT.*,20.0,,,,CC.* PR.*_CC.* NN.* CC.* VB.* DT.*,20.0
600052,PR.*_CC.* NN.* CC.* VB.* DT.* NN.*,13.0,,,,PR.*_CC.* NN.* CC.* VB.* DT.* NN.*,13.0
600053,NN.* CC.* VB.* DT.* NN.* PM.*,5.0,,,,NN.* CC.* VB.* DT.* NN.* PM.*,5.0
600054,CD.* NN.* CC.* RB.*_CC.* VB.* DT.*,2.0,,,,CD.* NN.* CC.* RB.*_CC.* VB.* DT.*,2.0
600055,CC.* NN.* PM.* VB.* CC.* CC.*,2.0,,,,CC.* NN.* PM.* VB.* CC.* CC.*,2.0
600056,PM.* VB.* CC.* CC.* CC.* NN.*,2.0,,,,PM.* VB.* CC.* CC.* CC.* NN.*,2.0
600057,VB.* CC.* CC.* CC.* NN.* CC.*,3.0,,,,VB.* CC.* CC.* CC.* NN.* CC.*,3.0
600058,DT.* NN.* LM VB.* CC.* NN.*_CC.*,9.0,,,,DT.* NN.* LM VB.* CC.* NN.*_CC.*,9.0
600059,NN.* LM VB.* CC.* NN.*_CC.* FW,2.0,,,,NN.* LM VB.* CC.* NN.*_CC.* FW,2.0
600060,DT.* DT.* PR.* CC.* NN.* CC.*,2.0,,,,DT.* DT.* PR.* CC.* NN.* CC.*,2.0
600061,CC.* NN.* CC.* NN.*_CC.* NN.* PM.*,3.0,,,,CC.* NN.* CC.* NN.*_CC.* NN.* PM.*,3.0
600062,CC.* CC.* VB.* PR.* DT.* NN.*,2.0,,,,CC.* CC.* VB.* PR.* DT.* NN.*,2.0
600063,CC.* VB.* PR.* DT.* NN.* CC.*,16.0,,,,CC.* VB.* PR.* DT.* NN.* CC.*,16.0
600064,PR.* CC.* VB.* CC.* NN.* PM.*,4.0,,,,PR.* CC.* VB.* CC.* NN.* PM.*,4.0
600065,CC.* VB.* CC.* NN.* PM.* RB.*,10.0,,,,CC.* VB.* CC.* NN.* PM.* RB.*,10.0
600066,VB.* CC.* NN.* PM.* RB.* PR.*,3.0,,,,VB.* CC.* NN.* PM.* RB.* PR.*,3.0
600067,CC.* PR.* PM.* VB.* RB.* DT.*,2.0,,,,CC.* PR.* PM.* VB.* RB.* DT.*,2.0
600068,PR.* PM.* VB.* RB.* DT.* NN.*,2.0,,,,PR.* PM.* VB.* RB.* DT.* NN.*,2.0
600069,PM.* VB.* RB.* DT.* NN.* CC.*,11.0,,,,PM.* VB.* RB.* DT.* NN.* CC.*,11.0
600070,CC.* PR.* LM VB.*_CC.* VB.* DT.*,2.0,,,,CC.* PR.* LM VB.*_CC.* VB.* DT.*,2.0
600071,PR.* LM VB.*_CC.* VB.* DT.* PR.*_CC.*,2.0,,,,PR.* LM VB.*_CC.* VB.* DT.* PR.*_CC.*,2.0
600072,VB.* DT.* PR.*_CC.* NN.*_CC.* NN.* CC.*,3.0,,,,VB.* DT.* PR.*_CC.* NN.*_CC.* NN.* CC.*,3.0
600073,VB.* PR.*_CC.* VB.* CC.* DT.* PR.*_CC.*,2.0,,,,VB.* PR.*_CC.* VB.* CC.* DT.* PR.*_CC.*,2.0
600074,PR.*_CC.* VB.* CC.* DT.* PR.*_CC.* NN.*,3.0,,,,PR.*_CC.* VB.* CC.* DT.* PR.*_CC.* NN.*,3.0
600075,VB.* CC.* DT.* PR.*_CC.* NN.* LM,13.0,,,,VB.* CC.* DT.* PR.*_CC.* NN.* LM,13.0
600076,CC.* DT.* DT.* NN.*_CC.* JJ.* LM,2.0,,,,CC.* DT.* DT.* NN.*_CC.* JJ.* LM,2.0
600077,RB.* PM.* CC.* DT.* NN.* CC.*,4.0,,,,RB.* PM.* CC.* DT.* NN.* CC.*,4.0
600078,PM.* CC.* DT.* NN.* CC.* PR.*,2.0,,,,PM.* CC.* DT.* NN.* CC.* PR.*,2.0
600079,CC.* DT.* NN.* CC.* PR.* LM,15.0,,,,CC.* DT.* NN.* CC.* PR.* LM,15.0
600080,PM.* VB.* CC.* JJ.* CC.* NN.*,4.0,,,,PM.* VB.* CC.* JJ.* CC.* NN.*,4.0
600081,PR.* CC.* VB.* RB.* DT.* NN.*,2.0,,,,PR.* CC.* VB.* RB.* DT.* NN.*,2.0
600082,CC.* VB.* RB.* DT.* NN.* CC.*,11.0,,,,CC.* VB.* RB.* DT.* NN.* CC.*,11.0
600083,LM DT.* NN.* CC.* PR.*_CC.* NN.*,2.0,,,,LM DT.* NN.* CC.* PR.*_CC.* NN.*,2.0
600084,DT.* NN.* CC.* PR.*_CC.* NN.* PM.*,18.0,,,,DT.* NN.* CC.* PR.*_CC.* NN.* PM.*,18.0
600085,NN.* CC.* PR.*_CC.* NN.* PM.* DT.*,7.0,,,,NN.* CC.* PR.*_CC.* NN.* PM.* DT.*,7.0
600086,CC.* PR.*_CC.* NN.* PM.* DT.* DT.*,2.0,,,,CC.* PR.*_CC.* NN.* PM.* DT.* DT.*,2.0
600087,PR.*_CC.* NN.* PM.* DT.* DT.* NN.*,3.0,,,,PR.*_CC.* NN.* PM.* DT.* DT.* NN.*,3.0
600088,PM.* DT.* DT.* NN.* CC.* VB.*_VB.*,2.0,,,,PM.* DT.* DT.* NN.* CC.* VB.*_VB.*,2.0
600089,DT.* DT.* NN.* CC.* VB.*_VB.* CC.*,2.0,,,,DT.* DT.* NN.* CC.* VB.*_VB.* CC.*,2.0
600090,DT.* NN.* CC.* VB.*_VB.* CC.* VB.*,4.0,,,,DT.* NN.* CC.* VB.*_VB.* CC.* VB.*,4.0
600091,FW PM.* PM.* VB.* RB.* DT.*,2.0,,,,FW PM.* PM.* VB.* RB.* DT.*,2.0
600092,PM.* PM.* VB.* RB.* DT.* NN.*,2.0,,,,PM.* PM.* VB.* RB.* DT.* NN.*,2.0
600093,VB.* RB.* DT.* NN.* CC.* JJ.*_CC.*,6.0,,,,VB.* RB.* DT.* NN.* CC.* JJ.*_CC.*,6.0
600094,RB.* DT.* NN.* CC.* JJ.*_CC.* NN.*,6.0,,,,RB.* DT.* NN.* CC.* JJ.*_CC.* NN.*,6.0
600095,DT.* NN.* CC.* JJ.*_CC.* NN.* CC.*,32.0,,,,DT.* NN.* CC.* JJ.*_CC.* NN.* CC.*,32.0
600096,VB.* PR.* CC.* DT.* NN.* CC.*,25.0,,,,VB.* PR.* CC.* DT.* NN.* CC.*,25.0
600097,VB.* PR.* PM.* DT.* NN.* CC.*,3.0,,,,VB.* PR.* PM.* DT.* NN.* CC.*,3.0
600098,PM.* DT.* NN.* CC.* VB.* CC.*,9.0,,,,PM.* DT.* NN.* CC.* VB.* CC.*,9.0
600099,DT.* NN.* CC.* VB.* CC.* PR.*_CC.*,18.0,,,,DT.* NN.* CC.* VB.* CC.* PR.*_CC.*,18.0
600100,CC.* VB.* CC.* PR.*_CC.* NN.* CC.*,17.0,,,,CC.* VB.* CC.* PR.*_CC.* NN.* CC.*,17.0
600101,VB.* CC.* PR.*_CC.* NN.* CC.* PR.*_CC.*,6.0,,,,VB.* CC.* PR.*_CC.* NN.* CC.* PR.*_CC.*,6.0
600102,CC.* JJ.*_CC.* NN.* PM.* NN.* CC.*,2.0,,,,CC.* JJ.*_CC.* NN.* PM.* NN.* CC.*,2.0
600103,CC.* VB.* CC.* NN.* PM.* CC.*,10.0,,,,CC.* VB.* CC.* NN.* PM.* CC.*,10.0
600104,JJ.* CC.* PR.*_CC.* NN.* PM.* VB.*,2.0,,,,JJ.* CC.* PR.*_CC.* NN.* PM.* VB.*,2.0
600105,CC.* PR.*_CC.* NN.* PM.* VB.* PR.*,5.0,,,,CC.* PR.*_CC.* NN.* PM.* VB.* PR.*,5.0
600106,PR.*_CC.* NN.* PM.* VB.* PR.* CC.*,5.0,,,,PR.*_CC.* NN.* PM.* VB.* PR.* CC.*,5.0
600107,NN.* PM.* VB.* PR.* CC.* VB.*,5.0,,,,NN.* PM.* VB.* PR.* CC.* VB.*,5.0
600108,VB.* PR.* CC.* VB.* CC.* NN.*,6.0,,,,VB.* PR.* CC.* VB.* CC.* NN.*,6.0
600109,PR.* LM RB.* CC.* VB.* CC.*,3.0,,,,PR.* LM RB.* CC.* VB.* CC.*,3.0
600110,LM RB.* CC.* VB.* CC.* NN.*_CC.*,2.0,,,,LM RB.* CC.* VB.* CC.* NN.*_CC.*,2.0
600111,VB.* DT.* PR.*_CC.* NN.* CC.* NN.*,24.0,,,,VB.* DT.* PR.*_CC.* NN.* CC.* NN.*,24.0
600112,PR.*_CC.* NN.* PM.* VB.* DT.* NN.*,8.0,,,,PR.*_CC.* NN.* PM.* VB.* DT.* NN.*,8.0
600113,NN.* RB.* RB.* VB.* CC.* DT.*,5.0,,,,NN.* RB.* RB.* VB.* CC.* DT.*,5.0
600114,VB.* CC.* DT.* CC.* PM.* NN.*,5.0,,,,VB.* CC.* DT.* CC.* PM.* NN.*,5.0
600115,CC.* DT.* CC.* PM.* NN.* CC.*,2.0,,,,CC.* DT.* CC.* PM.* NN.* CC.*,2.0
600116,NN.* PM.* PM.* PR.* LM VB.*,4.0,,,,NN.* PM.* PM.* PR.* LM VB.*,4.0
600117,PM.* PM.* PR.* LM VB.* CC.*,6.0,,,,PM.* PM.* PR.* LM VB.* CC.*,6.0
600118,PM.* PR.* LM VB.* CC.* NN.*,9.0,,,,PM.* PR.* LM VB.* CC.* NN.*,9.0
600119,PR.* LM VB.* CC.* NN.* PM.*,12.0,,,,PR.* LM VB.* CC.* NN.* PM.*,12.0
600120,PM.* JJ.* CC.* PR.* LM VB.*,3.0,,,,PM.* JJ.* CC.* PR.* LM VB.*,3.0
600121,JJ.* CC.* PR.* LM VB.* CC.*,4.0,,,,JJ.* CC.* PR.* LM VB.* CC.*,4.0
600122,CC.* VB.* DT.* VB.* CC.* DT.*,2.0,,,,CC.* VB.* DT.* VB.* CC.* DT.*,2.0
600123,JJ.*_CC.* NN.* CC.* NN.* CC.* NN.*,35.0,,,,JJ.*_CC.* NN.* CC.* NN.* CC.* NN.*,35.0
600124,CC.* NN.* CC.* NN.* PM.* CC.*,27.0,,,,CC.* NN.* CC.* NN.* PM.* CC.*,27.0
600125,CC.* NN.* PM.* CC.* FW PM.*,3.0,,,,CC.* NN.* PM.* CC.* FW PM.*,3.0
600126,CC.* FW PM.* PR.*_CC.* NN.* CC.*,2.0,,,,CC.* FW PM.* PR.*_CC.* NN.* CC.*,2.0
600127,FW PM.* PR.*_CC.* NN.* CC.* VB.*,2.0,,,,FW PM.* PR.*_CC.* NN.* CC.* VB.*,2.0
600128,PM.* PR.*_CC.* NN.* CC.* VB.* DT.*,2.0,,,,PM.* PR.*_CC.* NN.* CC.* VB.* DT.*,2.0
600129,NN.* CC.* VB.* DT.* NN.* CC.*,33.0,,,,NN.* CC.* VB.* DT.* NN.* CC.*,33.0
600130,CC.* PR.*_CC.* NN.*_CC.* VB.* DT.* NN.*,2.0,,,,CC.* PR.*_CC.* NN.*_CC.* VB.* DT.* NN.*,2.0
600131,NN.* RB.* RB.* VB.* PR.* CC.*,4.0,,,,NN.* RB.* RB.* VB.* PR.* CC.*,4.0
600132,CC.* VB.* RB.* DT.* PR.* CC.*,2.0,,,,CC.* VB.* RB.* DT.* PR.* CC.*,2.0
600133,CC.* NN.* LM VB.* CC.* VB.*,27.0,,,,CC.* NN.* LM VB.* CC.* VB.*,27.0
600134,NN.* LM VB.* CC.* VB.* CC.*,47.0,,,,NN.* LM VB.* CC.* VB.* CC.*,47.0
600135,RB.* VB.* CC.* DT.* NN.* CC.*,9.0,,,,RB.* VB.* CC.* DT.* NN.* CC.*,9.0
600136,RB.* DT.* NN.* CC.* PR.*_CC.* NN.*,2.0,,,,RB.* DT.* NN.* CC.* PR.*_CC.* NN.*,2.0
600137,PR.* VB.* DT.* PR.*_CC.* NN.* CC.*,4.0,,,,PR.* VB.* DT.* PR.*_CC.* NN.* CC.*,4.0
600138,VB.* DT.* PR.*_CC.* NN.* CC.* CC.*,3.0,,,,VB.* DT.* PR.*_CC.* NN.* CC.* CC.*,3.0
600139,CC.* CC.* VB.* CC.* DT.* NN.*,2.0,,,,CC.* CC.* VB.* CC.* DT.* NN.*,2.0
600140,CC.* VB.* CC.* DT.* NN.* PM.*,15.0,,,,CC.* VB.* CC.* DT.* NN.* PM.*,15.0
600141,VB.* RB.* DT.* NN.* CC.* JJ.*,2.0,,,,VB.* RB.* DT.* NN.* CC.* JJ.*,2.0
600142,NN.* PM.* NN.* CC.* VB.* CC.*,4.0,,,,NN.* PM.* NN.* CC.* VB.* CC.*,4.0
600143,PM.* NN.* CC.* VB.* CC.* NN.*,8.0,,,,PM.* NN.* CC.* VB.* CC.* NN.*,8.0
600144,PR.* VB.* CC.* DT.* NN.* CC.*,5.0,,,,PR.* VB.* CC.* DT.* NN.* CC.*,5.0
600145,RB.* PR.* VB.* CC.* JJ.*_CC.* NN.*,2.0,,,,RB.* PR.* VB.* CC.* JJ.*_CC.* NN.*,2.0
600146,PR.* DT.* PR.*_CC.* NN.* PM.* NN.*,2.0,,,,PR.* DT.* PR.*_CC.* NN.* PM.* NN.*,2.0
600147,JJ.* CC.* DT.* NN.* PM.* CC.*,4.0,,,,JJ.* CC.* DT.* NN.* PM.* CC.*,4.0
600148,PR.* LM VB.* CC.* NN.* CC.*,42.0,,,,PR.* LM VB.* CC.* NN.* CC.*,42.0
600149,LM VB.* CC.* NN.* CC.* DT.*,29.0,,,,LM VB.* CC.* NN.* CC.* DT.*,29.0
600150,CC.* DT.* NN.* CC.* NN.*_CC.* JJ.*,5.0,,,,CC.* DT.* NN.* CC.* NN.*_CC.* JJ.*,5.0
600151,CC.* PR.* CC.* DT.* NN.* CC.*,8.0,,,,CC.* PR.* CC.* DT.* NN.* CC.*,8.0
600152,CC.* DT.* NN.* CC.* JJ.*_CC.* DT.*,3.0,,,,CC.* DT.* NN.* CC.* JJ.*_CC.* DT.*,3.0
600153,DT.* NN.* CC.* JJ.*_CC.* DT.* NN.*,2.0,,,,DT.* NN.* CC.* JJ.*_CC.* DT.* NN.*,2.0
600154,NN.* CC.* JJ.*_CC.* DT.* NN.* LM,3.0,,,,NN.* CC.* JJ.*_CC.* DT.* NN.* LM,3.0
600155,CC.* JJ.*_CC.* DT.* NN.* LM VB.*,2.0,,,,CC.* JJ.*_CC.* DT.* NN.* LM VB.*,2.0
600156,CC.* VB.* CC.* JJ.*_JJ.*_CC.* NN.* CC.*,3.0,,,,CC.* VB.* CC.* JJ.*_JJ.*_CC.* NN.* CC.*,3.0
600157,PR.* LM DT.* NN.* CC.* VB.*,2.0,,,,PR.* LM DT.* NN.* CC.* VB.*,2.0
600158,NN.* PM.* CC.* DT.* VB.* CC.*,5.0,,,,NN.* PM.* CC.* DT.* VB.* CC.*,5.0
600159,NN.* CC.* RB.* VB.* CC.* PR.*_CC.*,6.0,,,,NN.* CC.* RB.* VB.* CC.* PR.*_CC.*,6.0
600160,CC.* RB.* VB.* CC.* PR.*_CC.* NN.*,7.0,,,,CC.* RB.* VB.* CC.* PR.*_CC.* NN.*,7.0
600161,RB.* VB.* CC.* PR.*_CC.* NN.* DT.*,3.0,,,,RB.* VB.* CC.* PR.*_CC.* NN.* DT.*,3.0
600162,VB.* CC.* PR.*_CC.* NN.* DT.* NN.*,7.0,,,,VB.* CC.* PR.*_CC.* NN.* DT.* NN.*,7.0
600163,RB.* DT.* DT.* NN.* CC.* VB.*,5.0,,,,RB.* DT.* DT.* NN.* CC.* VB.*,5.0
600164,DT.* DT.* NN.* CC.* VB.* CC.*,32.0,,,,DT.* DT.* NN.* CC.* VB.* CC.*,32.0
600165,DT.* NN.* CC.* VB.* CC.* NN.*,29.0,,,,DT.* NN.* CC.* VB.* CC.* NN.*,29.0
600166,NN.* CC.* VB.* CC.* NN.* PM.*,25.0,,,,NN.* CC.* VB.* CC.* NN.* PM.*,25.0
600167,CC.* VB.* CC.* NN.* PM.* NN.*,2.0,,,,CC.* VB.* CC.* NN.* PM.* NN.*,2.0
600168,JJ.* CC.* NN.* CC.* VB.*_VB.* CC.*,5.0,,,,JJ.* CC.* NN.* CC.* VB.*_VB.* CC.*,5.0
600169,VB.* PR.* DT.* JJ.* CC.* NN.*,4.0,,,,VB.* PR.* DT.* JJ.* CC.* NN.*,4.0
600170,PR.* DT.* JJ.* CC.* NN.* CC.*,3.0,,,,PR.* DT.* JJ.* CC.* NN.* CC.*,3.0
600171,DT.* JJ.* CC.* NN.* CC.* VB.*,4.0,,,,DT.* JJ.* CC.* NN.* CC.* VB.*,4.0
600172,JJ.* CC.* NN.* CC.* VB.* CC.*,9.0,,,,JJ.* CC.* NN.* CC.* VB.* CC.*,9.0
600173,VB.* RB.* CC.* DT.* NN.* CC.*,14.0,,,,VB.* RB.* CC.* DT.* NN.* CC.*,14.0
600174,RB.* CC.* DT.* NN.* CC.* VB.*,5.0,,,,RB.* CC.* DT.* NN.* CC.* VB.*,5.0
600175,CC.* DT.* NN.*_CC.* VB.*_VB.* CC.* NN.*,3.0,,,,CC.* DT.* NN.*_CC.* VB.*_VB.* CC.* NN.*,3.0
600176,VB.*_VB.* CC.* NN.* PM.* NN.* CC.*,2.0,,,,VB.*_VB.* CC.* NN.* PM.* NN.* CC.*,2.0
600177,CC.* CC.* DT.* DT.* NN.* LM,2.0,,,,CC.* CC.* DT.* DT.* NN.* LM,2.0
600178,CC.* DT.* DT.* NN.* LM VB.*,37.0,,,,CC.* DT.* DT.* NN.* LM VB.*,37.0
600179,CC.* JJ.*_CC.* NN.* DT.* NN.* PM.*,5.0,,,,CC.* JJ.*_CC.* NN.* DT.* NN.* PM.*,5.0
600180,JJ.*_CC.* NN.* DT.* NN.* PM.* RB.*,3.0,,,,JJ.*_CC.* NN.* DT.* NN.* PM.* RB.*,3.0
600181,NN.* DT.* NN.* PM.* RB.* RB.*,2.0,,,,NN.* DT.* NN.* PM.* RB.* RB.*,2.0
600182,DT.* NN.* PM.* RB.* RB.* VB.*,3.0,,,,DT.* NN.* PM.* RB.* RB.* VB.*,3.0
600183,NN.* PM.* RB.* RB.* VB.* PR.*,4.0,,,,NN.* PM.* RB.* RB.* VB.* PR.*,4.0
600184,CC.* NN.* CC.* VB.* RB.* DT.*,10.0,,,,CC.* NN.* CC.* VB.* RB.* DT.*,10.0
600185,NN.* CC.* VB.* RB.* DT.* DT.*,4.0,,,,NN.* CC.* VB.* RB.* DT.* DT.*,4.0
600186,DT.* DT.* JJ.* PM.* NN.* CC.*,4.0,,,,DT.* DT.* JJ.* PM.* NN.* CC.*,4.0
600187,RB.* CC.* PR.*_CC.* NN.* JJ.* CC.*,2.0,,,,RB.* CC.* PR.*_CC.* NN.* JJ.* CC.*,2.0
600188,RB.* PR.* DT.* NN.* CC.* DT.*,6.0,,,,RB.* PR.* DT.* NN.* CC.* DT.*,6.0
600189,CC.* DT.* NN.* CC.* RB.* VB.*,7.0,,,,CC.* DT.* NN.* CC.* RB.* VB.*,7.0
600190,DT.* NN.* CC.* RB.* VB.* CC.*,10.0,,,,DT.* NN.* CC.* RB.* VB.* CC.*,10.0
600191,CC.* NN.* CC.* NN.*_CC.* PR.* LM,2.0,,,,CC.* NN.* CC.* NN.*_CC.* PR.* LM,2.0
600192,NN.* CC.* NN.*_CC.* PR.* LM CC.*,2.0,,,,NN.* CC.* NN.*_CC.* PR.* LM CC.*,2.0
600193,NN.* CC.* NN.*_CC.* JJ.* CC.* DT.*,3.0,,,,NN.* CC.* NN.*_CC.* JJ.* CC.* DT.*,3.0
600194,NN.*_CC.* JJ.* CC.* DT.* NN.*_CC.* VB.*,2.0,,,,NN.*_CC.* JJ.* CC.* DT.* NN.*_CC.* VB.*,2.0
600195,CC.* JJ.* CC.* NN.* CC.* DT.*,19.0,,,,CC.* JJ.* CC.* NN.* CC.* DT.*,19.0
600196,CC.* NN.* CC.* DT.* JJ.*_CC.* NN.*,13.0,,,,CC.* NN.* CC.* DT.* JJ.*_CC.* NN.*,13.0
600197,CC.* NN.* PM.* CC.* VB.* DT.*,25.0,,,,CC.* NN.* PM.* CC.* VB.* DT.*,25.0
600198,VB.* DT.* CC.* PM.* NN.* CC.*,3.0,,,,VB.* DT.* CC.* PM.* NN.* CC.*,3.0
600199,LM DT.* NN.*_CC.* VB.* CC.* DT.*,3.0,,,,LM DT.* NN.*_CC.* VB.* CC.* DT.*,3.0
600200,CC.* NN.* CC.* DT.* VB.* LM,3.0,,,,CC.* NN.* CC.* DT.* VB.* LM,3.0
