Pattern_ID,Hybrid_N-Gram,Frequency,POS_Type
200662,VBH_CCP_PMS JJ.*,3,Mixed POS
200664,RBW_CCP VB.*,24,Mixed POS
200667,JJCS_JJD_CCP DT.*,2,Mixed POS
200339,LM VBTR_CCP_PMC,1,Mixed POS
200672,JJN_CCP VB.*,11,Mixed POS
200677,PMS_ VB.*,640,Mixed POS
200350,LM JJD_PMP_PMS,3,Mixed POS
200678,RBD_CCP VB.*,52,Mixed POS
200366,FW NNP_PMP_PMS,4,Mixed POS
200371,LM RBD_CCP_PMS,2,Mixed POS
200694,LM_PMS PR.*,278,Mixed POS
200696,NNC_CCP VB.*,67,Mixed POS
200701,LM_PMS JJ.*,502,Mixed POS
200703,VBTR_VBRF_CCP NN.*,7,Mixed POS
200704,PMS_ PR.*,278,Mixed POS
200707,PRSP_CCP JJ.*,10,Mixed POS
200408,LM VBTR_VBAF_PMC,4,Mixed POS
200708,PRI_CCP JJ.*,13,Mixed POS
200715,JJN_CCP JJ.*,17,Mixed POS
200720,RBW_CCP VB.*,24,Mixed POS
200724,CCB_PMS JJ.*,7,Mixed POS
200725,PRS_CCP VB.*,22,Mixed POS
200726,PMS_ VB.*,640,Mixed POS
200442,LM VBTS_PMP_PMS,2,Mixed POS
200732,VBTR_CCP_PMS DT.*,4,Mixed POS
200453,LM VBTR_VBAF_PMP,4,Mixed POS
200733,PMS_ NN.*,2729,Mixed POS
200735,VBTS_PMS RB.*,1,Mixed POS
200736,LM_PMS VB.*,640,Mixed POS
200741,PRI_CCP JJ.*,13,Mixed POS
200742,JJCS_JJD_CCP RB.*,5,Mixed POS
200743,PRI_CCP VB.*,29,Mixed POS
200748,PRI_CCP_PMS VB.*,2,Mixed POS
200750,LM_PMS JJ.*,502,Mixed POS
200751,VBTS_CCP_PMS NN.*,4,Mixed POS
200752,RBI_CCP VB.*,14,Mixed POS
200754,PMS_ RB.*,97,Mixed POS
200760,PRSP_CCP JJ.*,10,Mixed POS
200761,PRS_CCP_PMS DT.*,2,Mixed POS
200765,NNC_CCP_PMS NN.*,6,Mixed POS
200766,PRI_CCP_PMS NN.*,13,Mixed POS
200769,PRS_CCP JJ.*,1,Mixed POS
200774,PMS_ JJ.*,502,Mixed POS
200776,NNC_PMS CC.*,0,Mixed POS
300006,JJ.* RB.* PR.*_PM.*,172,Mixed POS
300007,NN.* CC.* NN.*_PM.*,5267,Mixed POS
300020,PR.* DT.* NN.*_PM.*,869,Mixed POS
300030,JJ.* CC.* NN.*_PM.*,1247,Mixed POS
300037,DT.* DT.* JJ.*_PM.*,534,Mixed POS
300042,NN.* CC.* JJ.*_PM.*,5267,Mixed POS
300046,CC.* DT.* NN.*_PM.*,1991,Mixed POS
300047,DT.* RB.* VB.*_PM.*,212,Mixed POS
300048,CC.* CC.* RB.*_PM.*,381,Mixed POS
300049,RB.* VB.* JJ.*_PM.*,1142,Mixed POS
300053,DT.* NN.* PR.*_PM.*,1315,Mixed POS
300056,CC.* PR.* NN.*_PM.*,3680,Mixed POS
300060,VB.* DT.* NN.*_PM.*,1482,Mixed POS
300063,VB.* CC.* NN.*_PM.*,4383,Mixed POS
300064,DT.* CD.*_PM.* NN.*,3083,Mixed POS
300078,DT.* JJ.* NN.*_PM.*,1821,Mixed POS
300090,RB.* RB.* VB.*_PM.*_PM.*,380,Mixed POS
300093,NN.* CC.* CD.*_PM.*,5267,Mixed POS
300096,JJ.* RB.* NN.*_PM.*,172,Mixed POS
300098,NN.* DT.* VB.*_PM.*,816,Mixed POS
300102,CD.* CC.* NN.*_PM.*,248,Mixed POS
300115,DT.* PR.* NN.*_PM.*,1485,Mixed POS
300116,RB.* CC.* NN.*_PM.*,1043,Mixed POS
300118,NN.* PR.* VB.*_PM.*,332,Mixed POS
300124,CC.* DT.* VB.*_PM.*,1991,Mixed POS
300129,RB.* NN.* CD.*_PM.*,900,Mixed POS
300133,NN.* CC.* VB.*_PM.*,5267,Mixed POS
300136,NN.* DT.* NN.*_PM.*,816,Mixed POS
300137,VB.* CC.* FW_PM.*,4383,Mixed POS
300140,CC.* NN.* CD.*_PM.*,2037,Mixed POS
300142,CC.* JJ.* NN.*_PM.*,2875,Mixed POS
300144,CC.* JJ.* CC.*_NN.*,2875,Mixed POS
300148,DT.* NN.* NN.*_PM.*,1315,Mixed POS
300150,CD.* NN.* VB.*_PM.*,124,Mixed POS
300161,RB.* VB.* NN.*_PM.*,1142,Mixed POS
300162,CC.* VB.* NN.*_PM.*,1361,Mixed POS
300168,NN.*_PM.* CC.* VB.*,1286,Mixed POS
300171,RB.* DT.* NN.*_PM.*,485,Mixed POS
300176,NN.* RB.* CC.*_PM.*,981,Mixed POS
300177,RB.* CC.*_PM.* NN.*,1384,Mixed POS
300178,NN.* RB.*_PM.* CC.*,837,Mixed POS
300179,NN.* RB.* CD.*_PM.*,981,Mixed POS
300180,PM.*_ RB.* PR.*,283,Mixed POS
300182,NN.* CC.* PR.*_PM.*,5267,Mixed POS
300183,CC.* PR.*_PM.* NN.*,6726,Mixed POS
300185,CC.* NN.* PR.*_PM.*_PM.*,2037,Mixed POS
300188,CC.* RB.* NN.*_PM.*,600,Mixed POS
300199,CC.* JJ.* NN.*_PM.*_PM.*,2875,Mixed POS
300204,RB.* CC.* NN.*_PM.*_PM.*,1043,Mixed POS
300212,CC.* DT.* FW_PM.*,1991,Mixed POS
300222,LM VB.* VB.*_PM.*,1233,Mixed POS
300228,PR.* RB.* NN.*_PM.*,474,Mixed POS
300230,NN.* VB.* NN.*_PM.*,535,Mixed POS
300234,JJ.* PR.* RB.*_PM.*,139,Mixed POS
300238,PR.* RB.* VB.*_PM.*,474,Mixed POS
300239,CC.* CC.* NN.*_PM.*,381,Mixed POS
300244,NN.* NN.* NN.*_PM.*,466,Mixed POS
300246,RB.* RB.* VB.*_PM.*,380,Mixed POS
300247,DT.* VB.* RB.*_PM.*,557,Mixed POS
300249,RB.* CC.* CD.*_PM.*,1043,Mixed POS
300255,CC.* VB.* FW_PM.*,1361,Mixed POS
300258,CC.* CD.* NN.*_PM.*,168,Mixed POS
300259,NN.* RB.* NN.*_PM.*,981,Mixed POS
300261,NN.* CC.*_PM.* VB.*,1804,Mixed POS
300262,CC.*_PM.* VB.* CC.*,2254,Mixed POS
300264,CD.* CC.* NN.*_PM.*_PM.*,248,Mixed POS
300268,DT.* DT.* NN.*_PM.*,534,Mixed POS
300270,DT.* CC.* NN.*_PM.*,23,Mixed POS
300271,RB.* DT.* VB.*_PM.*,485,Mixed POS
300272,PR.* RB.* RB.*_PM.*,474,Mixed POS
300277,JJ.* DT.* NN.*_PM.*,351,Mixed POS
300278,NN.* LM VB.*_PM.*,1223,Mixed POS
300279,DT.* PR.* VB.*_PM.*,1485,Mixed POS
300281,NN.* CC.*_PM.* JJ.*,1609,Mixed POS
300284,CC.* NN.* NN.*_PM.*,2037,Mixed POS
300285,RB.* CC.* VB.*_PM.*,1043,Mixed POS
300287,CC.* CC.* VB.*_PM.*,381,Mixed POS
300288,NN.* CC.* NN.*_PM.*_PM.*,5267,Mixed POS
300295,JJ.* JJ.* NN.*_PM.*,393,Mixed POS
300303,CC.* PR.*_PM.* JJ.*,1642,Mixed POS
300304,PR.*_PM.* JJ.* NN.*_PM.*_PM.*,7611,Mixed POS
300307,LM VB.* CC.*_PM.*,1233,Mixed POS
300308,VB.* CC.*_PM.* FW,98,Mixed POS
300309,FW NN.*_PM.* CC.*,16,Mixed POS
300310,CC.* VB.* DT.*_PM.*,1361,Mixed POS
300311,VB.* DT.*_PM.* NN.*,3143,Mixed POS
300312,NN.*_PM.* CC.* CC.*,63,Mixed POS
300313,RB.* VB.* VB.*_PM.*,1142,Mixed POS
300314,CC.* JJ.* PR.*_PM.*,2875,Mixed POS
300315,JJ.* PR.*_PM.* NN.*,1692,Mixed POS
300319,PR.*_PM.* NN.* PR.*,610,Mixed POS
300324,PR.* NN.* VB.*_PM.*,2782,Mixed POS
300326,CC.* NN.* PR.*_PM.*,2037,Mixed POS
300330,LM VB.* RB.*_PM.*,1233,Mixed POS
300336,DT.* JJ.* VB.*_PM.*,1821,Mixed POS
300337,CC.* NN.* LM_PM.*,2037,Mixed POS
300338,LM_PM.* JJ.*_PM.* CC.*,8724,Mixed POS
300339,JJ.*_PM.* CC.* PR.*,3367,Mixed POS
300340,PR.* NN.* NN.*_PM.*,2782,Mixed POS
300341,VB.* CC.* PR.*_PM.*,4383,Mixed POS
300342,PR.* CC.* NN.*_PM.*,565,Mixed POS
300346,PR.* JJ.* NN.*_PM.*_PM.*,681,Mixed POS
300348,DT.* NN.* LM_PM.*,1315,Mixed POS
300349,NN.* LM_PM.* JJ.*,1609,Mixed POS
300350,LM_PM.* JJ.* CC.*,689,Mixed POS
300351,VB.* CC.* JJ.*_PM.*,4383,Mixed POS
300352,CC.* NN.*_PM.* NN.*,6726,Mixed POS
300353,NN.*_PM.* NN.* JJ.*,768,Mixed POS
300357,LM VB.*_PM.* JJ.*,334,Mixed POS
300358,VB.*_PM.* JJ.* CC.*,689,Mixed POS
300359,JJ.* NN.*_PM.* CC.*,2570,Mixed POS
300360,CC.* PR.* DT.*_PM.*,3680,Mixed POS
300361,CC.* DT.* NN.*_PM.*_PM.*,1991,Mixed POS
300362,DT.* NN.* CC.*_PM.*,1315,Mixed POS
300363,CC.*_PM.* VB.* PR.*,640,Mixed POS
300364,VB.* PR.* JJ.*_PM.*,694,Mixed POS
300365,NN.* CC.* VB.*_PM.*_PM.*,5267,Mixed POS
300366,CC.* VB.* RB.*_PM.*,1361,Mixed POS
300367,FW_PM.* CC.* VB.*,1286,Mixed POS
300368,VB.* RB.* CD.*_PM.*,743,Mixed POS
300369,CC.* NN.* CC.*_PM.*,2037,Mixed POS
300370,NN.* CC.*_PM.* DT.*,268,Mixed POS
300371,CC.*_PM.* DT.* NN.*_PM.*,6795,Mixed POS
300372,DT.* NN.*_PM.* RB.*,399,Mixed POS
300373,CC.* PR.*_PM.* NN.*_PM.*,13170,Mixed POS
300374,PR.*_PM.* NN.*_PM.* CC.*,8724,Mixed POS
300375,RB.* VB.* CC.*_PM.*,1142,Mixed POS
300376,VB.* CC.*_PM.* NN.*_PM.*,9214,Mixed POS
300377,CC.*_PM.* NN.*_PM.* CC.*,8724,Mixed POS
300378,NN.*_PM.* CC.* DT.*,263,Mixed POS
300380,NN.* CC.*_PM.* NN.*_PM.*_PM.*,10429,Mixed POS
300381,PR.* LM JJ.*_PM.*,369,Mixed POS
300383,DT.* NN.*_PM.* NN.*_PM.*,6018,Mixed POS
300384,NN.*_PM.* NN.*_PM.* CC.*,8724,Mixed POS
300386,DT.* CC.* PR.*_PM.*,23,Mixed POS
300387,PR.* NN.* JJ.*_PM.*,2782,Mixed POS
300388,CC.* DT.* NN.*_NN.*,1991,Mixed POS
300390,DT.* NN.*_PM.* LM,92,Mixed POS
300391,NN.*_PM.* LM VB.*,998,Mixed POS
300392,VB.* CC.*_PM.* VB.*,730,Mixed POS
300393,CC.* NN.*_PM.* CC.*,647,Mixed POS
300395,VB.* CC.*_PM.* RB.*,426,Mixed POS
300396,CC.*_PM.* RB.* JJ.*,632,Mixed POS
300397,JJ.* CC.* NN.*_PM.*_PM.*,1247,Mixed POS
300398,VB.* PR.* CC.*_PM.*,694,Mixed POS
300399,PR.* CC.*_PM.* RB.*,513,Mixed POS
300400,CC.*_PM.* RB.* NN.*,1133,Mixed POS
300401,VB.* CC.* VB.*_PM.*,4383,Mixed POS
300402,CC.* VB.*_PM.* CC.*,647,Mixed POS
300403,VB.* DT.* FW_PM.*,1482,Mixed POS
300405,NN.* CC.* DT.*_PM.*,5267,Mixed POS
300406,CC.* DT.*_PM.* NN.*_PM.*,13170,Mixed POS
300407,DT.*_PM.* NN.*_PM.* CC.*,8724,Mixed POS
300408,DT.* VB.* NN.*_PM.*,557,Mixed POS
300409,VB.* CC.* NN.*_PM.*_PM.*,4383,Mixed POS
300410,RB.* CD.* CC.*_PM.*,157,Mixed POS
300411,CC.*_PM.* VB.* NN.*,987,Mixed POS
300413,DT.* DT.* NN.*_PM.*_PM.*,534,Mixed POS
300415,CD.* LM VB.*_PM.*,23,Mixed POS
300416,PM.*_ NN.* RB.*,1506,Mixed POS
300417,PM.*_ DT.* DT.*,88,Mixed POS
300420,JJ.* PR.* VB.*_PM.*,139,Mixed POS
300424,PM.*_ DT.* NN.*,3489,Mixed POS
300431,CD.* DT.* VB.*_PM.*,27,Mixed POS
300432,CC.* NN.* FW_PM.*_PM.*,2037,Mixed POS
300433,PR.* NN.* PR.*_PM.*,2782,Mixed POS
300434,PM.*_ CC.* RB.*,463,Mixed POS
300438,PM.*_ JJ.* CC.*,689,Mixed POS
300439,PM.*_ PR.* CC.*,204,Mixed POS
300440,CC.* VB.*_PM.* DT.*,578,Mixed POS
300441,VB.*_PM.* DT.* JJ.*,1221,Mixed POS
300442,NN.* LM VB.*_PM.*_PM.*,1223,Mixed POS
300443,DT.* NN.* DT.*_PM.*,1315,Mixed POS
300444,NN.* DT.*_PM.* NN.*,2427,Mixed POS
300445,DT.*_PM.* NN.* CC.*,5087,Mixed POS
300446,CC.* NN.* NN.*_PM.*_PM.*,2037,Mixed POS
300447,PM.*_ VB.* CC.*,2254,Mixed POS
300448,CC.* PR.* RB.*_PM.*,3680,Mixed POS
300450,RB.* PR.* NN.*_PM.*,380,Mixed POS
300451,NN.* JJ.* CC.*_PM.*,457,Mixed POS
300452,JJ.* CC.*_PM.* NN.*,1692,Mixed POS
300453,NN.*_PM.* DT.* DT.*,88,Mixed POS
300454,DT.* NN.* VB.*_PM.*,1315,Mixed POS
300455,PR.* LM PR.*_PM.*,369,Mixed POS
300456,LM PR.*_PM.* FW,23,Mixed POS
300457,PR.*_PM.* FW CC.*,118,Mixed POS
300458,NN.* NN.* CD.*_PM.*,466,Mixed POS
300462,JJ.* PR.* NN.*_PM.*,139,Mixed POS
300464,LM JJ.* RB.*_PM.*,210,Mixed POS
300467,CD.* CC.* PR.*_PM.*,248,Mixed POS
300470,PR.* JJ.* NN.*_PM.*,681,Mixed POS
300476,LM RB.* JJ.*_PM.*,554,Mixed POS
300480,LM VB.*_PM.* NN.*,325,Mixed POS
300481,VB.*_PM.* NN.* NN.*,1050,Mixed POS
300483,PR.* CC.* VB.*_PM.*,565,Mixed POS
300486,CC.* NN.* RB.*_PM.*,2037,Mixed POS
300488,RB.* PR.*_PM.* FW,38,Mixed POS
300490,CD.* DT.* NN.*_PM.*,27,Mixed POS
300493,VB.* DT.* NN.*_NN.*,1482,Mixed POS
300495,JJ.* CC.* CC.*_PM.*,1247,Mixed POS
300496,NN.* CC.* DT.*_NN.*,5267,Mixed POS
300497,FW DT.* NN.*_PM.*,11,Mixed POS
300498,CC.* PR.*_PM.* FW,298,Mixed POS
300499,PR.*_PM.* FW VB.*,65,Mixed POS
300500,CC.* NN.*_PM.* CC.*_PM.*,13170,Mixed POS
300501,NN.*_PM.* CC.*_PM.* VB.*,6502,Mixed POS
300504,NN.*_PM.* NN.* NN.*,1050,Mixed POS
300505,NN.* LM_PM.* RB.*,730,Mixed POS
300506,LM_PM.* RB.* CC.*,156,Mixed POS
300507,CC.* NN.* JJ.*_PM.*,2037,Mixed POS
300508,CC.* VB.* PR.*_PM.*,1361,Mixed POS
300516,RB.* JJ.* NN.*_PM.*,574,Mixed POS
300520,CD.* PR.* NN.*_PM.*,30,Mixed POS
300522,PR.* PR.* VB.*_PM.*,99,Mixed POS
300525,CC.* PR.* VB.*_PM.*,3680,Mixed POS
300526,VB.* PR.* VB.*_PM.*,694,Mixed POS
300531,LM VB.* NN.*_PM.*,1233,Mixed POS
300538,NN.* LM_PM.* VB.*,1804,Mixed POS
300539,LM_PM.* VB.* CC.*,2254,Mixed POS
300540,VB.* CC.* NN.*_NN.*_PM.*,4383,Mixed POS
300541,CC.* VB.*_PM.* PR.*,902,Mixed POS
300543,JJ.* FW FW_PM.*,90,Mixed POS
300544,JJ.* NN.* NN.*_PM.*,3472,Mixed POS
300546,CC.* NN.* RB.*_PM.*_PM.*,2037,Mixed POS
300547,CC.* CD.* RB.*_PM.*,168,Mixed POS
300549,LM RB.* VB.*_PM.*,554,Mixed POS
300556,VB.* RB.* NN.*_PM.*,743,Mixed POS
300562,VB.* LM NN.*_PM.*,68,Mixed POS
300570,RB.* JJ.* JJ.*_PM.*,574,Mixed POS
300571,DT.* DT.* PR.*_PM.*,534,Mixed POS
300573,NN.* RB.* JJ.*_PM.*,981,Mixed POS
300574,NN.* VB.* DT.*_NN.*,535,Mixed POS
300575,JJ.* VB.* CC.*_PM.*,339,Mixed POS
300576,NN.*_PM.* CC.* NN.*_PM.*,13472,Mixed POS
300577,FW_PM.* DT.* NN.*,3489,Mixed POS
300579,NN.* NN.*_PM.* CC.*,837,Mixed POS
300581,DT.*_PM.* VB.*_PM.* CC.*,8724,Mixed POS
300582,VB.*_PM.* CC.* PR.*,3367,Mixed POS
300583,VB.* CC.* RB.*_PM.*,4383,Mixed POS
300589,JJ.* DT.* VB.*_PM.*,351,Mixed POS
300594,PM.*_ VB.* PR.*,640,Mixed POS
300596,NN.* CC.* NN.*_NN.*_PM.*,5267,Mixed POS
300602,CC.* PR.*_PM.* CC.*,647,Mixed POS
300603,PR.*_PM.* CC.* VB.*,1286,Mixed POS
300606,VB.* JJ.* NN.*_PM.*,455,Mixed POS
300621,PR.* LM VB.*_PM.*,369,Mixed POS
300622,RB.* PR.* CC.*_PM.*,380,Mixed POS
300623,PR.* CC.*_PM.* JJ.*,584,Mixed POS
300624,CC.*_PM.* JJ.* VB.*,384,Mixed POS
300626,VB.*_PM.* CC.* CC.*,63,Mixed POS
300627,PR.*_PM.* PR.* LM,299,Mixed POS
300628,JJ.* CC.* JJ.*_PM.*_PM.*,1247,Mixed POS
300632,CC.* PR.* LM_PM.*,3680,Mixed POS
300633,PR.* LM_PM.* JJ.*,584,Mixed POS
300634,LM_PM.* JJ.* VB.*_PM.*,7611,Mixed POS
300635,JJ.* VB.*_PM.* CC.*,2570,Mixed POS
300636,VB.*_PM.* CC.* NN.*_PM.*,13472,Mixed POS
300637,LM VB.* JJ.*_PM.*,1233,Mixed POS
300638,DT.* PR.* RB.*_PM.*,1485,Mixed POS
300640,CC.* DT.* PR.*_PM.*,1991,Mixed POS
300645,CD.* JJ.* NN.*_PM.*,11,Mixed POS
300646,NN.* LM_PM.* NN.*,2427,Mixed POS
300648,CC.* NN.* VB.*_PM.*,2037,Mixed POS
300650,NN.*_PM.* NN.* RB.*,1506,Mixed POS
300652,FW CC.* NN.*_PM.*,205,Mixed POS
300653,VB.* NN.* NN.*_PM.*,731,Mixed POS
300654,LM RB.* NN.*_PM.*,554,Mixed POS
300655,RB.* VB.* PR.*_PM.*,1142,Mixed POS
300656,VB.* DT.* VB.*_PM.*,1482,Mixed POS
300658,RB.* CC.* PR.*_PM.*,1043,Mixed POS
300660,NN.* CC.* FW_PM.*,5267,Mixed POS
300661,JJ.* CC.* RB.*_PM.*,1247,Mixed POS
300663,CD.* CC.* RB.*_PM.*,248,Mixed POS
300664,CC.* NN.* FW_PM.*,2037,Mixed POS
